{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq191/active_jobs/8955473.1/1.iq191\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'3\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'MANPATH\': \'/usr/share/man:/netopt/share/man\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84/scripts/nup84.isd.modeling_batchsubmit.sh.e8955473\', \'JOB_ID\': \'8955473\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/imp/master/2.3.1/lib/release64\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq191\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SGE_O_HOST\': \'ih15\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'169.230.126.5 39962 172.21.0.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84/scripts/nup84.isd.modeling_batchsubmit.sh.o8955473\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/ih15/active_jobs/8955473.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'1209401344.2;tcp://172.19.12.191:52123\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/usr/share/Modules:/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5430  @ 2.66GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'1209401344.0;tcp://172.19.15.15:35214\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp/2.3.1-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64:/usr/share/Modules/modulefiles/modules:/etc/modulefiles/openmpi-1.6-nodlopen\', \'TMP\': \'/tmp/8955473.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'ih15:56191\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib:/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/imp/master/2.3.1/lib/release64\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84/scripts\', \'TMPDIR\': \'/tmp/8955473.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'9fa1557bf94a8b23-776f27808827ef6c\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/25\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SSH_CLIENT\': \'169.230.126.5 39962 22\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SGE_CELL\': \'qb3cell\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955473.1.long.q:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955473.1.lab.q:/usr/bin:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/salilab/diva1/home/imp/master/2.3.1/bin/release64:/usr/local/sge/bin/linux-x64:/usr/local/bin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/netopt/bin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'1209401345\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955473.1.lab.q:/usr/bin:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/salilab/diva1/home/imp/master/2.3.1/bin/release64:/usr/local/sge/bin/linux-x64:/usr/local/bin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/netopt/bin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'20\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff1209401344\\xff-mca\\xfforte_ess_vpid\\xff2\\xff-mca\\xfforte_ess_num_procs\\xff3\\xff--hnp-uri\\xff"1209401344.0;tcp://172.19.15.15:35214"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_PYCrO26467\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'sali-libraries-x86_64:imp/2.3.1-x86_64:imp-fast-mpi/2.3.1-x86_64:modules:openmpi-1.6-nodlopen\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '2.5', 2: 1071966.5497348444, 3: '0', 4: '0'} 
{0: '1.0', 1: '2.08138298988', 2: 808565.73800533742, 3: '1.0', 4: '0.0'} 
{0: '1.0', 1: '1.73286211491', 2: 544257.93414962292, 3: '0.5', 4: '0.0'} 
{0: '1.0', 1: '1.44269990921', 2: 385419.4319953504, 3: '0.333333333333', 4: '0.0'} 
{0: '1.0', 1: '1.2011244297', 2: 244095.13094321202, 3: '0.25', 4: '0.0'} 
{0: '1.0', 1: '1.0', 2: 165128.44555359395, 3: '0.2', 4: '0.0'} 
{0: '0.833333333333', 1: '1.0', 2: 111000.73295421815, 3: '0.166666666667', 4: '0.166666666667'} 
{0: '0.714285714286', 1: '1.0', 2: 66621.736318147334, 3: '0.142857142857', 4: '0.285714285714'} 
{0: '0.625', 1: '1.0', 2: 40866.715783282896, 3: '0.125', 4: '0.375'} 
{0: '0.555555555556', 1: '1.0', 2: 28864.820109956767, 3: '0.111111111111', 4: '0.444444444444'} 
{0: '0.5', 1: '1.0', 2: 14410.309529405029, 3: '0.1', 4: '0.5'} 
{0: '0.454545454545', 1: '1.0', 2: 7112.8046650710876, 3: '0.0909090909091', 4: '0.545454545455'} 
{0: '0.416666666667', 1: '1.0', 2: 1732.3971546971964, 3: '0.0833333333333', 4: '0.583333333333'} 
{0: '0.384615384615', 1: '1.0', 2: 745.71354729473614, 3: '0.0769230769231', 4: '0.615384615385'} 
{0: '0.357142857143', 1: '1.0', 2: 612.83518574388052, 3: '0.0714285714286', 4: '0.642857142857'} 
{0: '0.333333333333', 1: '1.0', 2: 617.13250799452726, 3: '0.0666666666667', 4: '0.666666666667'} 
{0: '0.3125', 1: '1.0', 2: 598.60858696698165, 3: '0.0625', 4: '0.6875'} 
{0: '0.294117647059', 1: '1.0', 2: 584.51345858394427, 3: '0.0588235294118', 4: '0.705882352941'} 
{0: '0.277777777778', 1: '1.0', 2: 576.32569947381489, 3: '0.0555555555556', 4: '0.722222222222'} 
{0: '0.315789473684', 1: '1.2011244297', 2: 574.67041525108448, 3: '0.0526315789474', 4: '0.736842105263'} 
{0: '0.35', 1: '1.44269990921', 2: 572.45621789762333, 3: '0.05', 4: '0.7'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 569.74505846025352, 3: '0.047619047619', 4: '0.666666666667'} 
{0: '0.363636363636', 1: '1.2011244297', 2: 568.75024732866848, 3: '0.0454545454545', 4: '0.636363636364'} 
{0: '0.347826086957', 1: '1.2011244297', 2: 558.91816123550018, 3: '0.0434782608696', 4: '0.608695652174'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 543.4014250870614, 3: '0.0416666666667', 4: '0.583333333333'} 
{0: '0.32', 1: '1.2011244297', 2: 538.19426623282379, 3: '0.04', 4: '0.56'} 
{0: '0.307692307692', 1: '1.2011244297', 2: 520.56417804696923, 3: '0.0384615384615', 4: '0.538461538462'} 
{0: '0.296296296296', 1: '1.2011244297', 2: 497.81336819800754, 3: '0.037037037037', 4: '0.518518518519'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 489.5585799136436, 3: '0.0357142857143', 4: '0.5'} 
{0: '0.310344827586', 1: '1.0', 2: 474.18581048760518, 3: '0.0344827586207', 4: '0.48275862069'} 
{0: '0.3', 1: '1.0', 2: 483.50111575512142, 3: '0.0333333333333', 4: '0.5'} 
{0: '0.290322580645', 1: '1.0', 2: 473.58997628661564, 3: '0.0322580645161', 4: '0.516129032258'} 
{0: '0.28125', 1: '1.0', 2: 466.03336609877147, 3: '0.03125', 4: '0.53125'} 
{0: '0.272727272727', 1: '1.0', 2: 468.29417999488788, 3: '0.030303030303', 4: '0.545454545455'} 
{0: '0.264705882353', 1: '1.0', 2: 458.43616983027385, 3: '0.0294117647059', 4: '0.558823529412'} 
{0: '0.257142857143', 1: '1.0', 2: 451.41599367501874, 3: '0.0285714285714', 4: '0.571428571429'} 
{0: '0.25', 1: '1.0', 2: 451.03213181862048, 3: '0.0277777777778', 4: '0.583333333333'} 
{0: '0.27027027027', 1: '1.2011244297', 2: 454.24931412766966, 3: '0.027027027027', 4: '0.594594594595'} 
{0: '0.263157894737', 1: '1.2011244297', 2: 467.80553133486524, 3: '0.0263157894737', 4: '0.578947368421'} 
{0: '0.25641025641', 1: '1.2011244297', 2: 457.49934363607093, 3: '0.025641025641', 4: '0.564102564103'} 
{0: '0.25', 1: '1.2011244297', 2: 451.67223393509687, 3: '0.025', 4: '0.55'} 
{0: '0.243902439024', 1: '1.2011244297', 2: 449.71639676199237, 3: '0.0243902439024', 4: '0.536585365854'} 
{0: '0.261904761905', 1: '1.44269990921', 2: 451.98891005562257, 3: '0.0238095238095', 4: '0.52380952381'} 
{0: '0.255813953488', 1: '1.44269990921', 2: 452.96093694568498, 3: '0.0232558139535', 4: '0.511627906977'} 
{0: '0.272727272727', 1: '1.2011244297', 2: 444.90094367693558, 3: '0.0227272727273', 4: '0.5'} 
{0: '0.266666666667', 1: '1.2011244297', 2: 442.16993980168195, 3: '0.0222222222222', 4: '0.488888888889'} 
{0: '0.260869565217', 1: '1.2011244297', 2: 444.16517766167237, 3: '0.0217391304348', 4: '0.478260869565'} 
{0: '0.255319148936', 1: '1.2011244297', 2: 433.9565819507082, 3: '0.0212765957447', 4: '0.468085106383'} 
{0: '0.25', 1: '1.2011244297', 2: 427.02556064659279, 3: '0.0208333333333', 4: '0.458333333333'} 
{0: '0.244897959184', 1: '1.2011244297', 2: 407.97498713600191, 3: '0.0204081632653', 4: '0.448979591837'} 
{0: '0.24', 1: '1.2011244297', 2: 410.06302948415509, 3: '0.02', 4: '0.44'} 
{0: '0.235294117647', 1: '1.2011244297', 2: 410.01607703015981, 3: '0.0196078431373', 4: '0.43137254902'} 
{0: '0.230769230769', 1: '1.2011244297', 2: 409.39144277448486, 3: '0.0192307692308', 4: '0.423076923077'} 
{0: '0.22641509434', 1: '1.2011244297', 2: 416.30564245915338, 3: '0.0188679245283', 4: '0.415094339623'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 403.93537813080911, 3: '0.0185185185185', 4: '0.407407407407'} 
{0: '0.218181818182', 1: '1.2011244297', 2: 399.76302901138865, 3: '0.0181818181818', 4: '0.4'} 
{0: '0.214285714286', 1: '1.2011244297', 2: 398.22199829407509, 3: '0.0178571428571', 4: '0.392857142857'} 
{0: '0.228070175439', 1: '1.0', 2: 391.91116066587711, 3: '0.0175438596491', 4: '0.385964912281'} 
{0: '0.224137931034', 1: '1.0', 2: 380.41587337400722, 3: '0.0172413793103', 4: '0.396551724138'} 
{0: '0.220338983051', 1: '1.0', 2: 388.79651262505638, 3: '0.0169491525424', 4: '0.406779661017'} 
{0: '0.216666666667', 1: '1.0', 2: 382.92054715574227, 3: '0.0166666666667', 4: '0.416666666667'} 
{0: '0.213114754098', 1: '1.0', 2: 380.9207297922178, 3: '0.016393442623', 4: '0.426229508197'} 
{0: '0.209677419355', 1: '1.0', 2: 379.16866303776715, 3: '0.0161290322581', 4: '0.435483870968'} 
{0: '0.206349206349', 1: '1.0', 2: 371.22624358775511, 3: '0.015873015873', 4: '0.444444444444'} 
{0: '0.203125', 1: '1.0', 2: 368.0420381365812, 3: '0.015625', 4: '0.453125'} 
{0: '0.2', 1: '1.0', 2: 372.48540552493949, 3: '0.0153846153846', 4: '0.461538461538'} 
{0: '0.19696969697', 1: '1.0', 2: 365.75098239497606, 3: '0.0151515151515', 4: '0.469696969697'} 
{0: '0.194029850746', 1: '1.0', 2: 364.76080603504647, 3: '0.0149253731343', 4: '0.477611940299'} 
{0: '0.191176470588', 1: '1.0', 2: 373.33339799171881, 3: '0.0147058823529', 4: '0.485294117647'} 
{0: '0.188405797101', 1: '1.0', 2: 373.77648133331201, 3: '0.0144927536232', 4: '0.492753623188'} 
{0: '0.185714285714', 1: '1.0', 2: 375.71532222614479, 3: '0.0142857142857', 4: '0.5'} 
{0: '0.183098591549', 1: '1.0', 2: 373.64729333398606, 3: '0.0140845070423', 4: '0.507042253521'} 
{0: '0.180555555556', 1: '1.0', 2: 375.4673686082777, 3: '0.0138888888889', 4: '0.513888888889'} 
{0: '0.178082191781', 1: '1.0', 2: 368.55998138289482, 3: '0.013698630137', 4: '0.520547945205'} 
{0: '0.175675675676', 1: '1.0', 2: 365.07105493196713, 3: '0.0135135135135', 4: '0.527027027027'} 
{0: '0.173333333333', 1: '1.0', 2: 356.82926066792675, 3: '0.0133333333333', 4: '0.533333333333'} 
{0: '0.171052631579', 1: '1.0', 2: 371.28315279048093, 3: '0.0131578947368', 4: '0.539473684211'} 
{0: '0.168831168831', 1: '1.0', 2: 372.98096820701056, 3: '0.012987012987', 4: '0.545454545455'} 
{0: '0.166666666667', 1: '1.0', 2: 370.07334372342444, 3: '0.0128205128205', 4: '0.551282051282'} 
{0: '0.164556962025', 1: '1.0', 2: 362.91897842521786, 3: '0.0126582278481', 4: '0.556962025316'} 
{0: '0.1625', 1: '1.0', 2: 357.06344649544639, 3: '0.0125', 4: '0.5625'} 
{0: '0.16049382716', 1: '1.0', 2: 351.61304438029066, 3: '0.0123456790123', 4: '0.567901234568'} 
{0: '0.158536585366', 1: '1.0', 2: 344.34473674037139, 3: '0.0121951219512', 4: '0.573170731707'} 
{0: '0.156626506024', 1: '1.0', 2: 361.20061365631369, 3: '0.0120481927711', 4: '0.578313253012'} 
{0: '0.154761904762', 1: '1.0', 2: 350.35045467951664, 3: '0.0119047619048', 4: '0.583333333333'} 
{0: '0.152941176471', 1: '1.0', 2: 347.70415838224841, 3: '0.0117647058824', 4: '0.588235294118'} 
{0: '0.151162790698', 1: '1.0', 2: 341.46544666640369, 3: '0.0116279069767', 4: '0.593023255814'} 
{0: '0.149425287356', 1: '1.0', 2: 338.08802507758998, 3: '0.0114942528736', 4: '0.597701149425'} 
{0: '0.147727272727', 1: '1.0', 2: 353.52191015956708, 3: '0.0113636363636', 4: '0.602272727273'} 
{0: '0.14606741573', 1: '1.0', 2: 338.59712879394374, 3: '0.0112359550562', 4: '0.606741573034'} 
{0: '0.144444444444', 1: '1.0', 2: 327.82885623910437, 3: '0.0111111111111', 4: '0.611111111111'} 
{0: '0.142857142857', 1: '1.0', 2: 343.30374851282511, 3: '0.010989010989', 4: '0.615384615385'} 
{0: '0.141304347826', 1: '1.0', 2: 339.73874237236993, 3: '0.0108695652174', 4: '0.619565217391'} 
{0: '0.139784946237', 1: '1.0', 2: 342.88267251827784, 3: '0.010752688172', 4: '0.623655913978'} 
{0: '0.13829787234', 1: '1.0', 2: 340.16296765189617, 3: '0.0106382978723', 4: '0.627659574468'} 
