{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq64/active_jobs/8955500.1/1.iq64\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'6\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv1/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955500\', \'JOB_ID\': \'8955500\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq64\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq113\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv1/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955500\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq113/active_jobs/8955500.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'1609826304.5;tcp://172.19.12.64:36363\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5345  @ 2.33GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'1609826304.0;tcp://172.19.12.113:34721\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955500.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq113:39765\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv1/scripts\', \'TMPDIR\': \'/tmp/8955500.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'a995a4b816dc3ec3-704303e9aff371d8\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955500.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955500.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'1609826305\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv1/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955500.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff1609826304\\xff-mca\\xfforte_ess_vpid\\xff5\\xff-mca\\xfforte_ess_num_procs\\xff6\\xff--hnp-uri\\xff"1609826304.0;tcp://172.19.12.113:34721"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv1/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '2.5', 2: 1896982.9822359788, 3: '0', 4: '0'} 
{0: '1.0', 1: '2.08138298988', 2: 1586964.8551759045, 3: '1.0', 4: '0.0'} 
{0: '1.0', 1: '1.73286211491', 2: 1287258.6023511724, 3: '0.5', 4: '0.0'} 
{0: '1.0', 1: '1.44269990921', 2: 1007577.0684068203, 3: '0.333333333333', 4: '0.0'} 
{0: '0.75', 1: '1.44269990921', 2: 859358.26596535556, 3: '0.25', 4: '0.0'} 
{0: '0.6', 1: '1.44269990921', 2: 724178.42180678213, 3: '0.2', 4: '0.0'} 
{0: '0.5', 1: '1.44269990921', 2: 578638.15099569492, 3: '0.166666666667', 4: '0.0'} 
{0: '0.428571428571', 1: '1.44269990921', 2: 467127.16974329279, 3: '0.142857142857', 4: '0.0'} 
{0: '0.375', 1: '1.44269990921', 2: 338944.75949681876, 3: '0.125', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 291734.78872179671, 3: '0.111111111111', 4: '0.0'} 
{0: '0.3', 1: '1.44269990921', 2: 226709.71201404228, 3: '0.1', 4: '0.0'} 
{0: '0.363636363636', 1: '1.73286211491', 2: 190584.01752223913, 3: '0.0909090909091', 4: '0.0'} 
{0: '0.416666666667', 1: '2.08138298988', 2: 170199.82071697182, 3: '0.0833333333333', 4: '0.0'} 
{0: '0.384615384615', 1: '2.08138298988', 2: 145919.69090608682, 3: '0.0769230769231', 4: '0.0'} 
{0: '0.357142857143', 1: '2.08138298988', 2: 112610.39952123817, 3: '0.0714285714286', 4: '0.0'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 77131.824341403728, 3: '0.0666666666667', 4: '0.0'} 
{0: '0.3125', 1: '2.08138298988', 2: 55413.725599419595, 3: '0.0625', 4: '0.0'} 
{0: '0.294117647059', 1: '2.08138298988', 2: 35458.31453591655, 3: '0.0588235294118', 4: '0.0'} 
{0: '0.277777777778', 1: '2.08138298988', 2: 19871.285153141016, 3: '0.0555555555556', 4: '0.0'} 
{0: '0.263157894737', 1: '2.08138298988', 2: 8783.5678665332362, 3: '0.0526315789474', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 4511.481603284602, 3: '0.05', 4: '0.0'} 
{0: '0.238095238095', 1: '2.08138298988', 2: 1558.4741892822549, 3: '0.047619047619', 4: '0.0'} 
{0: '0.227272727273', 1: '2.08138298988', 2: 582.11588878209068, 3: '0.0454545454545', 4: '0.0'} 
{0: '0.217391304348', 1: '2.08138298988', 2: 561.52606219409006, 3: '0.0434782608696', 4: '0.0'} 
{0: '0.25', 1: '1.73286211491', 2: 537.47900826215607, 3: '0.0416666666667', 4: '0.0'} 
{0: '0.28', 1: '1.44269990921', 2: 519.62972711509826, 3: '0.04', 4: '0.0'} 
{0: '0.307692307692', 1: '1.2011244297', 2: 506.25240625753815, 3: '0.0384615384615', 4: '0.0'} 
{0: '0.333333333333', 1: '1.0', 2: 513.2714403522366, 3: '0.037037037037', 4: '0.0'} 
{0: '0.321428571429', 1: '1.0', 2: 497.53251864024787, 3: '0.0357142857143', 4: '0.0357142857143'} 
{0: '0.310344827586', 1: '1.0', 2: 484.57034651214298, 3: '0.0344827586207', 4: '0.0689655172414'} 
{0: '0.3', 1: '1.0', 2: 482.42280145883939, 3: '0.0333333333333', 4: '0.1'} 
{0: '0.290322580645', 1: '1.0', 2: 472.15530731998723, 3: '0.0322580645161', 4: '0.129032258065'} 
{0: '0.28125', 1: '1.0', 2: 468.37367564905986, 3: '0.03125', 4: '0.15625'} 
{0: '0.272727272727', 1: '1.0', 2: 461.89924106524455, 3: '0.030303030303', 4: '0.181818181818'} 
{0: '0.264705882353', 1: '1.0', 2: 470.36091627861811, 3: '0.0294117647059', 4: '0.205882352941'} 
{0: '0.257142857143', 1: '1.0', 2: 457.92577122401445, 3: '0.0285714285714', 4: '0.228571428571'} 
{0: '0.25', 1: '1.0', 2: 454.05157689249717, 3: '0.0277777777778', 4: '0.25'} 
{0: '0.243243243243', 1: '1.0', 2: 451.02939892650926, 3: '0.027027027027', 4: '0.27027027027'} 
{0: '0.236842105263', 1: '1.0', 2: 462.67681656617219, 3: '0.0263157894737', 4: '0.289473684211'} 
{0: '0.230769230769', 1: '1.0', 2: 462.83585434023991, 3: '0.025641025641', 4: '0.307692307692'} 
{0: '0.225', 1: '1.0', 2: 442.97951445056839, 3: '0.025', 4: '0.325'} 
{0: '0.219512195122', 1: '1.0', 2: 431.22104810539315, 3: '0.0243902439024', 4: '0.341463414634'} 
{0: '0.214285714286', 1: '1.0', 2: 411.54834922560008, 3: '0.0238095238095', 4: '0.357142857143'} 
{0: '0.209302325581', 1: '1.0', 2: 410.49862878005786, 3: '0.0232558139535', 4: '0.372093023256'} 
{0: '0.204545454545', 1: '1.0', 2: 413.82170004246035, 3: '0.0227272727273', 4: '0.386363636364'} 
{0: '0.2', 1: '1.0', 2: 407.06422218301515, 3: '0.0222222222222', 4: '0.4'} 
{0: '0.195652173913', 1: '1.0', 2: 408.40893777182703, 3: '0.0217391304348', 4: '0.413043478261'} 
{0: '0.191489361702', 1: '1.0', 2: 400.96740703872098, 3: '0.0212765957447', 4: '0.425531914894'} 
{0: '0.1875', 1: '1.0', 2: 396.25456380726291, 3: '0.0208333333333', 4: '0.4375'} 
{0: '0.183673469388', 1: '1.0', 2: 393.12256226910034, 3: '0.0204081632653', 4: '0.448979591837'} 
{0: '0.18', 1: '1.0', 2: 382.54274403623634, 3: '0.02', 4: '0.46'} 
{0: '0.176470588235', 1: '1.0', 2: 384.29863109369774, 3: '0.0196078431373', 4: '0.470588235294'} 
{0: '0.173076923077', 1: '1.0', 2: 379.36732199950097, 3: '0.0192307692308', 4: '0.480769230769'} 
{0: '0.169811320755', 1: '1.0', 2: 386.29482115408905, 3: '0.0188679245283', 4: '0.490566037736'} 
{0: '0.166666666667', 1: '1.0', 2: 381.37687445841584, 3: '0.0185185185185', 4: '0.5'} 
{0: '0.163636363636', 1: '1.0', 2: 378.20886255681381, 3: '0.0181818181818', 4: '0.509090909091'} 
{0: '0.160714285714', 1: '1.0', 2: 379.88847576330386, 3: '0.0178571428571', 4: '0.517857142857'} 
{0: '0.157894736842', 1: '1.0', 2: 382.29731882540887, 3: '0.0175438596491', 4: '0.526315789474'} 
{0: '0.155172413793', 1: '1.0', 2: 372.84348323577979, 3: '0.0172413793103', 4: '0.534482758621'} 
{0: '0.169491525424', 1: '1.2011244297', 2: 371.03219798790678, 3: '0.0169491525424', 4: '0.542372881356'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 364.45571518482359, 3: '0.0166666666667', 4: '0.533333333333'} 
{0: '0.180327868852', 1: '1.0', 2: 359.36179533691086, 3: '0.016393442623', 4: '0.524590163934'} 
{0: '0.177419354839', 1: '1.0', 2: 360.84574984326997, 3: '0.0161290322581', 4: '0.532258064516'} 
{0: '0.174603174603', 1: '1.0', 2: 364.24510237334943, 3: '0.015873015873', 4: '0.539682539683'} 
{0: '0.171875', 1: '1.0', 2: 359.71493910293646, 3: '0.015625', 4: '0.546875'} 
{0: '0.169230769231', 1: '1.0', 2: 358.6073087266891, 3: '0.0153846153846', 4: '0.553846153846'} 
{0: '0.166666666667', 1: '1.0', 2: 356.3539373440334, 3: '0.0151515151515', 4: '0.560606060606'} 
{0: '0.164179104478', 1: '1.0', 2: 349.06601555449623, 3: '0.0149253731343', 4: '0.567164179104'} 
{0: '0.161764705882', 1: '1.0', 2: 349.8982255443438, 3: '0.0147058823529', 4: '0.573529411765'} 
{0: '0.159420289855', 1: '1.0', 2: 360.52959981962903, 3: '0.0144927536232', 4: '0.579710144928'} 
{0: '0.157142857143', 1: '1.0', 2: 348.00323875228298, 3: '0.0142857142857', 4: '0.585714285714'} 
{0: '0.154929577465', 1: '1.0', 2: 346.14413181362778, 3: '0.0140845070423', 4: '0.591549295775'} 
{0: '0.152777777778', 1: '1.0', 2: 352.38464648173868, 3: '0.0138888888889', 4: '0.597222222222'} 
{0: '0.150684931507', 1: '1.0', 2: 354.0652052717835, 3: '0.013698630137', 4: '0.602739726027'} 
{0: '0.148648648649', 1: '1.0', 2: 349.33358557960946, 3: '0.0135135135135', 4: '0.608108108108'} 
{0: '0.16', 1: '1.2011244297', 2: 352.04528341061115, 3: '0.0133333333333', 4: '0.613333333333'} 
{0: '0.157894736842', 1: '1.2011244297', 2: 347.2465593505022, 3: '0.0131578947368', 4: '0.605263157895'} 
{0: '0.168831168831', 1: '1.0', 2: 350.46328888818044, 3: '0.012987012987', 4: '0.597402597403'} 
{0: '0.166666666667', 1: '1.0', 2: 349.7509716009049, 3: '0.0128205128205', 4: '0.602564102564'} 
{0: '0.177215189873', 1: '1.2011244297', 2: 354.45718700641316, 3: '0.0126582278481', 4: '0.607594936709'} 
{0: '0.175', 1: '1.2011244297', 2: 339.04063229583795, 3: '0.0125', 4: '0.6'} 
{0: '0.172839506173', 1: '1.2011244297', 2: 338.67452641407596, 3: '0.0123456790123', 4: '0.592592592593'} 
{0: '0.170731707317', 1: '1.2011244297', 2: 338.15291741242947, 3: '0.0121951219512', 4: '0.585365853659'} 
{0: '0.168674698795', 1: '1.2011244297', 2: 330.31743382930591, 3: '0.0120481927711', 4: '0.578313253012'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 329.52221309639475, 3: '0.0119047619048', 4: '0.571428571429'} 
{0: '0.164705882353', 1: '1.2011244297', 2: 327.24851695651802, 3: '0.0117647058824', 4: '0.564705882353'} 
{0: '0.162790697674', 1: '1.2011244297', 2: 342.54796138734497, 3: '0.0116279069767', 4: '0.558139534884'} 
{0: '0.16091954023', 1: '1.2011244297', 2: 342.61444213392747, 3: '0.0114942528736', 4: '0.551724137931'} 
{0: '0.159090909091', 1: '1.2011244297', 2: 337.05084140725103, 3: '0.0113636363636', 4: '0.545454545455'} 
{0: '0.157303370787', 1: '1.2011244297', 2: 331.62021428049115, 3: '0.0112359550562', 4: '0.539325842697'} 
{0: '0.155555555556', 1: '1.2011244297', 2: 338.74731444204338, 3: '0.0111111111111', 4: '0.533333333333'} 
{0: '0.153846153846', 1: '1.2011244297', 2: 324.92449477910105, 3: '0.010989010989', 4: '0.527472527473'} 
{0: '0.152173913043', 1: '1.2011244297', 2: 331.63949096866736, 3: '0.0108695652174', 4: '0.521739130435'} 
