{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/ad2/active_jobs/8956008.1/1.ad2\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'4\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv2/scripts/nup84.isd.modeling500_batchsubmit.sh.e8956008\', \'JOB_ID\': \'8956008\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'ad2\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq33\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 63619 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv2/scripts/nup84.isd.modeling500_batchsubmit.sh.o8956008\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq33/active_jobs/8956008.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'4060610560.3;tcp://172.19.17.2:58344\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'3\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'AMD Opteron(tm) Processor 6174\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'4060610560.0;tcp://172.19.12.33:56491\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8956008.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq33:50245\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv2/scripts\', \'TMPDIR\': \'/tmp/8956008.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'0d1863677f0e4a2d-e5940b2b77c427c7\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'3\', \'SSH_TTY\': \'/dev/pts/46\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'3\', \'OMPI_MCA_orte_ess_vpid\': \'3\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 63619 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8956008.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956008.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'4060610561\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv2/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956008.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'AuthenticAMD\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff4060610560\\xff-mca\\xfforte_ess_vpid\\xff3\\xff-mca\\xfforte_ess_num_procs\\xff4\\xff--hnp-uri\\xff"4060610560.0;tcp://172.19.12.33:56491"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_xPljIi\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv2/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.0', 2: 557.24015316892314, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.2011244297', 2: 556.54833323394541, 3: '0.0', 4: '1.0'} 
{0: '1.0', 1: '1.44269990921', 2: 524.33130485251036, 3: '0.0', 4: '0.5'} 
{0: '1.0', 1: '1.73286211491', 2: 527.58343205144411, 3: '0.0', 4: '0.333333333333'} 
{0: '1.0', 1: '2.08138298988', 2: 537.16689627312269, 3: '0.0', 4: '0.25'} 
{0: '0.8', 1: '2.08138298988', 2: 527.58372792791124, 3: '0.0', 4: '0.2'} 
{0: '0.666666666667', 1: '2.08138298988', 2: 493.95268164606227, 3: '0.0', 4: '0.166666666667'} 
{0: '0.571428571429', 1: '2.08138298988', 2: 509.40886185825701, 3: '0.0', 4: '0.142857142857'} 
{0: '0.5', 1: '2.08138298988', 2: 499.78751381352407, 3: '0.0', 4: '0.125'} 
{0: '0.444444444444', 1: '2.08138298988', 2: 498.65819667599703, 3: '0.0', 4: '0.111111111111'} 
{0: '0.4', 1: '2.08138298988', 2: 479.02740152542697, 3: '0.0', 4: '0.1'} 
{0: '0.363636363636', 1: '2.08138298988', 2: 472.67901933926498, 3: '0.0', 4: '0.0909090909091'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 467.54610028994023, 3: '0.0', 4: '0.0833333333333'} 
{0: '0.307692307692', 1: '2.08138298988', 2: 487.24440522358873, 3: '0.0', 4: '0.0769230769231'} 
{0: '0.285714285714', 1: '2.08138298988', 2: 476.94651976542559, 3: '0.0', 4: '0.0714285714286'} 
{0: '0.266666666667', 1: '2.08138298988', 2: 466.23640307360824, 3: '0.0', 4: '0.0666666666667'} 
{0: '0.3125', 1: '1.73286211491', 2: 470.32973135528607, 3: '0.0', 4: '0.0625'} 
{0: '0.294117647059', 1: '1.73286211491', 2: 443.7681755251698, 3: '0.0', 4: '0.0588235294118'} 
{0: '0.277777777778', 1: '1.73286211491', 2: 428.98764197915017, 3: '0.0', 4: '0.0555555555556'} 
{0: '0.263157894737', 1: '1.73286211491', 2: 449.32317069994548, 3: '0.0', 4: '0.0526315789474'} 
{0: '0.25', 1: '1.73286211491', 2: 439.91803117638261, 3: '0.0', 4: '0.05'} 
{0: '0.238095238095', 1: '1.73286211491', 2: 436.69602483682502, 3: '0.0', 4: '0.047619047619'} 
{0: '0.227272727273', 1: '1.73286211491', 2: 427.15821277617238, 3: '0.0', 4: '0.0454545454545'} 
{0: '0.217391304348', 1: '1.73286211491', 2: 407.41187756690238, 3: '0.0', 4: '0.0434782608696'} 
{0: '0.208333333333', 1: '1.73286211491', 2: 403.90241439094751, 3: '0.0', 4: '0.0416666666667'} 
{0: '0.2', 1: '1.73286211491', 2: 411.87268694474574, 3: '0.0', 4: '0.04'} 
{0: '0.192307692308', 1: '1.73286211491', 2: 407.84896690055109, 3: '0.0', 4: '0.0384615384615'} 
{0: '0.185185185185', 1: '1.73286211491', 2: 393.81625398201595, 3: '0.0', 4: '0.037037037037'} 
{0: '0.178571428571', 1: '1.73286211491', 2: 385.05435125062888, 3: '0.0', 4: '0.0357142857143'} 
{0: '0.172413793103', 1: '1.73286211491', 2: 389.63535558164745, 3: '0.0', 4: '0.0344827586207'} 
{0: '0.166666666667', 1: '1.73286211491', 2: 412.39808303278011, 3: '0.0', 4: '0.0333333333333'} 
{0: '0.161290322581', 1: '1.73286211491', 2: 413.51440855022372, 3: '0.0', 4: '0.0322580645161'} 
{0: '0.1875', 1: '2.08138298988', 2: 409.55875505436205, 3: '0.0', 4: '0.03125'} 
{0: '0.181818181818', 1: '2.08138298988', 2: 407.08175729714515, 3: '0.0', 4: '0.030303030303'} 
{0: '0.176470588235', 1: '2.08138298988', 2: 438.97301874100157, 3: '0.0', 4: '0.0294117647059'} 
{0: '0.171428571429', 1: '2.08138298988', 2: 415.74933557047149, 3: '0.0', 4: '0.0285714285714'} 
{0: '0.166666666667', 1: '2.08138298988', 2: 415.94240620467059, 3: '0.0', 4: '0.0277777777778'} 
{0: '0.162162162162', 1: '2.08138298988', 2: 424.55740514237073, 3: '0.0', 4: '0.027027027027'} 
{0: '0.157894736842', 1: '2.08138298988', 2: 393.25270416339896, 3: '0.0', 4: '0.0263157894737'} 
{0: '0.153846153846', 1: '2.08138298988', 2: 405.83818134745479, 3: '0.0', 4: '0.025641025641'} 
{0: '0.15', 1: '2.08138298988', 2: 415.8352760597071, 3: '0.0', 4: '0.025'} 
{0: '0.146341463415', 1: '2.08138298988', 2: 403.46811212129296, 3: '0.0', 4: '0.0243902439024'} 
{0: '0.142857142857', 1: '2.08138298988', 2: 400.96642383731785, 3: '0.0', 4: '0.0238095238095'} 
{0: '0.139534883721', 1: '2.08138298988', 2: 394.33415521882205, 3: '0.0', 4: '0.0232558139535'} 
{0: '0.136363636364', 1: '2.08138298988', 2: 383.33757410346607, 3: '0.0', 4: '0.0227272727273'} 
{0: '0.133333333333', 1: '2.08138298988', 2: 402.29525126448715, 3: '0.0', 4: '0.0222222222222'} 
{0: '0.130434782609', 1: '2.08138298988', 2: 399.12505221211819, 3: '0.0', 4: '0.0217391304348'} 
{0: '0.127659574468', 1: '2.08138298988', 2: 396.53335991505105, 3: '0.0', 4: '0.0212765957447'} 
{0: '0.125', 1: '2.08138298988', 2: 417.78951088012388, 3: '0.0', 4: '0.0208333333333'} 
{0: '0.122448979592', 1: '2.08138298988', 2: 412.77104208551003, 3: '0.0', 4: '0.0204081632653'} 
{0: '0.12', 1: '2.08138298988', 2: 416.76368627415508, 3: '0.0', 4: '0.02'} 
{0: '0.117647058824', 1: '2.08138298988', 2: 415.78970441675415, 3: '0.0', 4: '0.0196078431373'} 
{0: '0.115384615385', 1: '2.08138298988', 2: 408.10480246073274, 3: '0.0', 4: '0.0192307692308'} 
{0: '0.11320754717', 1: '2.08138298988', 2: 412.81371736850883, 3: '0.0', 4: '0.0188679245283'} 
{0: '0.111111111111', 1: '2.08138298988', 2: 402.5541894548835, 3: '0.0', 4: '0.0185185185185'} 
{0: '0.109090909091', 1: '2.08138298988', 2: 407.14711361657953, 3: '0.0', 4: '0.0181818181818'} 
{0: '0.125', 1: '1.73286211491', 2: 403.98955090881606, 3: '0.0', 4: '0.0178571428571'} 
{0: '0.122807017544', 1: '1.73286211491', 2: 400.92762758500351, 3: '0.0', 4: '0.0175438596491'} 
{0: '0.137931034483', 1: '2.08138298988', 2: 404.54696789694827, 3: '0.0', 4: '0.0172413793103'} 
{0: '0.135593220339', 1: '2.08138298988', 2: 394.78854698039129, 3: '0.0', 4: '0.0169491525424'} 
{0: '0.15', 1: '1.73286211491', 2: 393.48195281532458, 3: '0.0', 4: '0.0166666666667'} 
{0: '0.16393442623', 1: '1.44269990921', 2: 391.18158196544783, 3: '0.0', 4: '0.016393442623'} 
{0: '0.161290322581', 1: '1.44269990921', 2: 374.74798324335296, 3: '0.0', 4: '0.0161290322581'} 
{0: '0.174603174603', 1: '1.73286211491', 2: 389.76314228649187, 3: '0.0', 4: '0.015873015873'} 
{0: '0.171875', 1: '1.73286211491', 2: 403.2370628107019, 3: '0.0', 4: '0.015625'} 
{0: '0.169230769231', 1: '1.73286211491', 2: 395.35473547284818, 3: '0.0', 4: '0.0153846153846'} 
{0: '0.166666666667', 1: '1.73286211491', 2: 383.08319591583393, 3: '0.0', 4: '0.0151515151515'} 
{0: '0.164179104478', 1: '1.73286211491', 2: 388.23506375117779, 3: '0.0', 4: '0.0149253731343'} 
{0: '0.161764705882', 1: '1.73286211491', 2: 373.90684590995505, 3: '0.0', 4: '0.0147058823529'} 
{0: '0.173913043478', 1: '1.44269990921', 2: 363.79474296910803, 3: '0.0', 4: '0.0144927536232'} 
{0: '0.171428571429', 1: '1.44269990921', 2: 380.62912135997828, 3: '0.0', 4: '0.0142857142857'} 
{0: '0.183098591549', 1: '1.73286211491', 2: 386.82854696701213, 3: '0.0', 4: '0.0140845070423'} 
{0: '0.180555555556', 1: '1.73286211491', 2: 394.08852736024971, 3: '0.0', 4: '0.0138888888889'} 
{0: '0.178082191781', 1: '1.73286211491', 2: 399.78173698006105, 3: '0.0', 4: '0.013698630137'} 
{0: '0.175675675676', 1: '1.73286211491', 2: 397.30097778174957, 3: '0.0', 4: '0.0135135135135'} 
{0: '0.173333333333', 1: '1.73286211491', 2: 406.62634647929389, 3: '0.0', 4: '0.0133333333333'} 
{0: '0.184210526316', 1: '2.08138298988', 2: 399.12675992630568, 3: '0.0', 4: '0.0131578947368'} 
{0: '0.181818181818', 1: '2.08138298988', 2: 413.01294650636669, 3: '0.0', 4: '0.012987012987'} 
{0: '0.179487179487', 1: '2.08138298988', 2: 421.77988173305852, 3: '0.0', 4: '0.0128205128205'} 
{0: '0.177215189873', 1: '2.08138298988', 2: 416.1270687676377, 3: '0.0', 4: '0.0126582278481'} 
{0: '0.1875', 1: '1.73286211491', 2: 406.47676908078483, 3: '0.0', 4: '0.0125'} 
{0: '0.185185185185', 1: '1.73286211491', 2: 390.59127054094023, 3: '0.0', 4: '0.0123456790123'} 
{0: '0.182926829268', 1: '1.73286211491', 2: 388.43987062954648, 3: '0.0', 4: '0.0121951219512'} 
{0: '0.180722891566', 1: '1.73286211491', 2: 372.72710545681139, 3: '0.0', 4: '0.0120481927711'} 
{0: '0.178571428571', 1: '1.73286211491', 2: 373.75397610621167, 3: '0.0', 4: '0.0119047619048'} 
{0: '0.188235294118', 1: '1.44269990921', 2: 370.42755388150914, 3: '0.0', 4: '0.0117647058824'} 
{0: '0.186046511628', 1: '1.44269990921', 2: 372.54861407225428, 3: '0.0', 4: '0.0116279069767'} 
{0: '0.195402298851', 1: '1.73286211491', 2: 384.92121460326803, 3: '0.0', 4: '0.0114942528736'} 
{0: '0.193181818182', 1: '1.73286211491', 2: 370.0154751998532, 3: '0.0', 4: '0.0113636363636'} 
{0: '0.202247191011', 1: '1.44269990921', 2: 360.27656816080116, 3: '0.0', 4: '0.0112359550562'} 
{0: '0.2', 1: '1.44269990921', 2: 365.62402905682586, 3: '0.0', 4: '0.0111111111111'} 
{0: '0.197802197802', 1: '1.44269990921', 2: 368.90371124064774, 3: '0.0', 4: '0.010989010989'} 
{0: '0.195652173913', 1: '1.44269990921', 2: 364.84033037355607, 3: '0.0', 4: '0.0108695652174'} 
{0: '0.193548387097', 1: '1.44269990921', 2: 361.45443688101005, 3: '0.0', 4: '0.010752688172'} 
