{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': "{'SGE_STDIN_PATH': '/dev/null', 'SGE_JOB_SPOOL_DIR': '/var/spool/sge/qb3cell/iq17/active_jobs/8956009.1', 'UPSTART_EVENTS': 'runlevel', 'ENVIRONMENT': 'BATCH', 'NHOSTS': '6', 'OMPI_MCA_orte_num_nodes': '6', 'OMPI_MCA_orte_app_num': '0', 'previous': 'N', 'CONSOLETYPE': 'vt', 'SHELL': '/bin/bash', 'PREVLEVEL': 'N', 'LANGSH_SOURCED': '1', 'UPSTART_INSTANCE': '', 'runlevel': '3', 'SGE_STDERR_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts/nup84.isd.modeling500_batchsubmit.sh.e8956009', 'JOB_ID': '8956009', 'PYTHONPATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi', 'REQUEST': 'nup84.isd.modeling500_batchsubmit.sh', 'SGE_CLUSTER_NAME': 'qb3cluster', 'SGE_TASK_STEPSIZE': 'undefined', 'HOSTNAME': 'iq17', 'OMPI_MCA_orte_ess_num_procs': '6', 'SELINUX_LEVEL_REQUESTED': '', 'SGE_O_HOST': 'chef', 'RUNLEVEL': '3', 'MAIL': '/var/spool/mail/saxen', 'MPI_INCLUDE': '/netopt/mpi/openmpi-1.6.5-nodlopen/include', 'SSH_CONNECTION': '24.4.149.176 63619 169.230.126.5 22', 'SGE_STDOUT_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts/nup84.isd.modeling500_batchsubmit.sh.o8956009', 'SGE_O_SHELL': '/bin/bash', 'PE_HOSTFILE': '/var/spool/sge/qb3cell/iq17/active_jobs/8956009.1/pe_hostfile', 'OMPI_MCA_orte_num_restarts': '0', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'CVS_RSH': 'ssh', 'USER': 'saxen', 'HOME': '/netapp/home/saxen', 'SHLVL': '2', 'JOB_NAME': 'nup84.isd.modeling500_batchsubmit.sh', 'OMPI_MCA_orte_local_daemon_uri': '2343501824.0;tcp://172.19.12.17:54892', 'PE': 'ompi', 'NQUEUES': '6', 'JOB_SCRIPT': '/var/spool/sge/qb3cell/iq17/job_scripts/8956009', 'MODULESHOME': '/usr/share/Modules', 'SGE_ROOT': '/usr/local/sge', 'OMPI_MCA_orte_ess_node_rank': '0', 'OMPI_COMM_WORLD_NODE_RANK': '0', 'UPSTART_JOB': 'rc', 'SGE_O_HOME': '/netapp/home/saxen', 'OMPI_COMM_WORLD_LOCAL_SIZE': '1', 'TMPDIR': '/tmp/8956009.1.long.q', 'MODULEPATH': '/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles', 'OMPI_MCA_orte_cpu_model': 'Intel(R) Xeon(R) CPU           E5345  @ 2.33GHz', 'SGE_BINARY_PATH': '/usr/local/sge/bin/linux-x64', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:', 'OMPI_MCA_orte_hnp_uri': '2343501824.0;tcp://172.19.12.17:54892', 'OMPI_COMM_WORLD_SIZE': '6', '_LMFILES_': '/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64', 'TMP': '/tmp/8956009.1.long.q', 'RESTARTED': '0', 'SGE_O_MAIL': '/var/spool/mail/saxen', 'QUEUE': 'long.q', 'SELINUX_USE_CURRENT_RANGE': '', 'SGE_TASK_FIRST': 'undefined', 'MPI_BIN': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin', 'HISTSIZE': '1000', 'LD_LIBRARY_PATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'MPI_LIB': '/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'LANG': 'en_US.UTF-8', 'G_BROKEN_FILENAMES': '1', 'SGE_CWD_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts', '_': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin/mpirun', 'OMPI_MCA_orte_precondition_transports': '7cce32e5e2959559-c0a3c71990a60699', 'SGE_TASK_ID': 'undefined', 'MPI_SYSCONFIG': '/netopt/mpi/openmpi-1.6.5-nodlopen/etc', 'SELINUX_ROLE_REQUESTED': '', 'OMPI_COMM_WORLD_LOCAL_RANK': '0', 'BASH_FUNC_module()': '() {  eval `/usr/bin/modulecmd bash $*`\\n}', 'OMPI_UNIVERSE_SIZE': '6', 'OMPI_COMM_WORLD_RANK': '0', 'SSH_TTY': '/dev/pts/46', 'OMPI_MCA_mpi_yield_when_idle': '0', 'SGE_CELL': 'qb3cell', 'OMPI_MCA_ess': 'env', 'OMPI_MCA_shmem_RUNTIME_QUERY_hint': 'mmap', 'NSLOTS': '6', 'OMPI_MCA_orte_ess_vpid': '0', 'REQNAME': 'nup84.isd.modeling500_batchsubmit.sh', 'SSH_CLIENT': '24.4.149.176 63619 22', 'LOGNAME': 'saxen', 'SGE_QMASTER_PORT': '6444', 'PATH': '/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956009.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin', 'OMPI_MCA_orte_ess_jobid': '2343501825', 'SGE_O_WORKDIR': '/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts', 'TERM': 'ansi', 'SGE_O_PATH': '/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin', 'OPAL_OUTPUT_STDERR_FD': '29', 'SGE_ACCOUNT': 'sge', 'SGE_EXECD_PORT': '6445', 'ROSETTADIR': '/netapp/home/thompson/Rosetta/rosetta_2014.35', 'OMPI_MCA_orte_cpu_type': 'GenuineIntel', 'MPI_HOME': '/netopt/mpi/openmpi-1.6.5-nodlopen', 'KRB5CCNAME': 'FILE:/tmp/krb5cc_60484_xPljIi', 'SGE_O_LOGNAME': 'saxen', 'WISECONFIGDIR': '/usr/share/wise2/', 'SGE_ARCH': 'linux-x64', 'SGE_TASK_LAST': 'undefined', 'LOADEDMODULES': 'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64', 'SGE_RSH_COMMAND': 'builtin', 'HISTCONTROL': 'ignoredups', 'PWD': '/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts', 'ARC': 'linux-x64', 'MPI_MAN': '/netopt/mpi/openmpi-1.6.5-nodlopen/share/man'}"} 
{0: '0', 1: '1.0', 2: 4670571.4272582456, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.2011244297', 2: 4110678.7869933192, 3: '0.0', 4: '1.0'} 
{0: '1.0', 1: '1.44269990921', 2: 3708158.6123518245, 3: '0.0', 4: '0.5'} 
{0: '1.0', 1: '1.73286211491', 2: 3405397.8718473641, 3: '0.0', 4: '0.333333333333'} 
{0: '1.0', 1: '2.08138298988', 2: 2999918.9456752418, 3: '0.0', 4: '0.25'} 
{0: '1.0', 1: '2.5', 2: 2628839.2530778628, 3: '0.0', 4: '0.2'} 
{0: '0.833333333333', 1: '2.5', 2: 2298658.7683919272, 3: '0.166666666667', 4: '0.166666666667'} 
{0: '0.714285714286', 1: '2.5', 2: 2012963.6671534844, 3: '0.285714285714', 4: '0.142857142857'} 
{0: '0.625', 1: '2.5', 2: 1736798.2805553011, 3: '0.375', 4: '0.125'} 
{0: '0.555555555556', 1: '2.5', 2: 1513069.6254560484, 3: '0.444444444444', 4: '0.111111111111'} 
{0: '0.5', 1: '2.5', 2: 1279721.267378954, 3: '0.5', 4: '0.1'} 
{0: '0.454545454545', 1: '2.5', 2: 1122318.2981619821, 3: '0.545454545455', 4: '0.0909090909091'} 
{0: '0.416666666667', 1: '2.5', 2: 940192.91334870504, 3: '0.583333333333', 4: '0.0833333333333'} 
{0: '0.384615384615', 1: '2.5', 2: 793325.66571616405, 3: '0.615384615385', 4: '0.0769230769231'} 
{0: '0.357142857143', 1: '2.5', 2: 659283.48578682274, 3: '0.642857142857', 4: '0.0714285714286'} 
{0: '0.333333333333', 1: '2.5', 2: 516188.09782917186, 3: '0.666666666667', 4: '0.0666666666667'} 
{0: '0.3125', 1: '2.5', 2: 418726.45616578008, 3: '0.6875', 4: '0.0625'} 
{0: '0.352941176471', 1: '2.08138298988', 2: 314071.33893856534, 3: '0.705882352941', 4: '0.0588235294118'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 243813.60506111349, 3: '0.666666666667', 4: '0.0555555555556'} 
{0: '0.315789473684', 1: '2.08138298988', 2: 170872.62003378375, 3: '0.631578947368', 4: '0.0526315789474'} 
{0: '0.3', 1: '2.08138298988', 2: 100986.37603464854, 3: '0.6', 4: '0.05'} 
{0: '0.285714285714', 1: '2.08138298988', 2: 65325.004392347175, 3: '0.571428571429', 4: '0.047619047619'} 
{0: '0.318181818182', 1: '1.73286211491', 2: 42851.278627834123, 3: '0.545454545455', 4: '0.0454545454545'} 
{0: '0.304347826087', 1: '1.73286211491', 2: 27047.89579137339, 3: '0.521739130435', 4: '0.0434782608696'} 
{0: '0.291666666667', 1: '1.73286211491', 2: 20662.821887046863, 3: '0.5', 4: '0.0416666666667'} 
{0: '0.28', 1: '1.73286211491', 2: 16777.157433927296, 3: '0.48', 4: '0.04'} 
{0: '0.269230769231', 1: '1.73286211491', 2: 14194.698317935632, 3: '0.461538461538', 4: '0.0384615384615'} 
{0: '0.259259259259', 1: '1.73286211491', 2: 5073.1112631555097, 3: '0.444444444444', 4: '0.037037037037'} 
{0: '0.25', 1: '1.73286211491', 2: 3507.0891338359606, 3: '0.428571428571', 4: '0.0357142857143'} 
{0: '0.241379310345', 1: '1.73286211491', 2: 1269.2681529245806, 3: '0.413793103448', 4: '0.0344827586207'} 
{0: '0.233333333333', 1: '1.73286211491', 2: 567.44063298591072, 3: '0.4', 4: '0.0333333333333'} 
{0: '0.225806451613', 1: '1.73286211491', 2: 550.38104256440056, 3: '0.387096774194', 4: '0.0322580645161'} 
{0: '0.21875', 1: '1.73286211491', 2: 573.10601091549688, 3: '0.375', 4: '0.03125'} 
{0: '0.212121212121', 1: '1.73286211491', 2: 551.38965669608638, 3: '0.363636363636', 4: '0.030303030303'} 
{0: '0.235294117647', 1: '2.08138298988', 2: 570.25064085394331, 3: '0.352941176471', 4: '0.0294117647059'} 
{0: '0.228571428571', 1: '2.08138298988', 2: 550.23157284094646, 3: '0.342857142857', 4: '0.0285714285714'} 
{0: '0.25', 1: '1.73286211491', 2: 581.58118753578492, 3: '0.333333333333', 4: '0.0277777777778'} 
{0: '0.243243243243', 1: '1.73286211491', 2: 575.8342402241766, 3: '0.324324324324', 4: '0.027027027027'} 
{0: '0.263157894737', 1: '2.08138298988', 2: 586.41970674581751, 3: '0.315789473684', 4: '0.0263157894737'} 
{0: '0.25641025641', 1: '2.08138298988', 2: 571.78607125168855, 3: '0.307692307692', 4: '0.025641025641'} 
{0: '0.25', 1: '2.08138298988', 2: 579.13483766218383, 3: '0.3', 4: '0.025'} 
{0: '0.243902439024', 1: '2.08138298988', 2: 565.69056585407691, 3: '0.292682926829', 4: '0.0243902439024'} 
{0: '0.238095238095', 1: '2.08138298988', 2: 571.13211096911778, 3: '0.285714285714', 4: '0.0238095238095'} 
{0: '0.232558139535', 1: '2.08138298988', 2: 571.51613778989656, 3: '0.279069767442', 4: '0.0232558139535'} 
{0: '0.227272727273', 1: '2.08138298988', 2: 572.89863671008175, 3: '0.272727272727', 4: '0.0227272727273'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 551.7841772566419, 3: '0.266666666667', 4: '0.0222222222222'} 
{0: '0.239130434783', 1: '1.73286211491', 2: 542.40212220060653, 3: '0.260869565217', 4: '0.0217391304348'} 
{0: '0.234042553191', 1: '1.73286211491', 2: 531.66837195086612, 3: '0.255319148936', 4: '0.0212765957447'} 
{0: '0.229166666667', 1: '1.73286211491', 2: 535.79524253971988, 3: '0.25', 4: '0.0208333333333'} 
{0: '0.224489795918', 1: '1.73286211491', 2: 532.85397530563841, 3: '0.244897959184', 4: '0.0204081632653'} 
{0: '0.22', 1: '1.73286211491', 2: 528.0271708022201, 3: '0.24', 4: '0.02'} 
{0: '0.235294117647', 1: '1.44269990921', 2: 504.95577703236512, 3: '0.235294117647', 4: '0.0196078431373'} 
{0: '0.230769230769', 1: '1.44269990921', 2: 499.61117460279507, 3: '0.230769230769', 4: '0.0192307692308'} 
{0: '0.22641509434', 1: '1.44269990921', 2: 510.94461678310773, 3: '0.22641509434', 4: '0.0188679245283'} 
{0: '0.222222222222', 1: '1.44269990921', 2: 497.17035944575537, 3: '0.222222222222', 4: '0.0185185185185'} 
{0: '0.218181818182', 1: '1.44269990921', 2: 502.11206099795868, 3: '0.218181818182', 4: '0.0181818181818'} 
{0: '0.214285714286', 1: '1.44269990921', 2: 490.73307725266005, 3: '0.214285714286', 4: '0.0178571428571'} 
{0: '0.210526315789', 1: '1.44269990921', 2: 482.65540905187652, 3: '0.210526315789', 4: '0.0175438596491'} 
{0: '0.206896551724', 1: '1.44269990921', 2: 486.85823802665413, 3: '0.206896551724', 4: '0.0172413793103'} 
{0: '0.203389830508', 1: '1.44269990921', 2: 480.13834442521738, 3: '0.203389830508', 4: '0.0169491525424'} 
{0: '0.2', 1: '1.44269990921', 2: 484.43582316180431, 3: '0.2', 4: '0.0166666666667'} 
{0: '0.196721311475', 1: '1.44269990921', 2: 476.5765509752905, 3: '0.196721311475', 4: '0.016393442623'} 
{0: '0.193548387097', 1: '1.44269990921', 2: 479.39925017662728, 3: '0.193548387097', 4: '0.0161290322581'} 
{0: '0.190476190476', 1: '1.44269990921', 2: 481.8514533557111, 3: '0.190476190476', 4: '0.015873015873'} 
{0: '0.1875', 1: '1.44269990921', 2: 485.16509299588745, 3: '0.1875', 4: '0.015625'} 
{0: '0.184615384615', 1: '1.44269990921', 2: 488.23755083467773, 3: '0.184615384615', 4: '0.0153846153846'} 
{0: '0.181818181818', 1: '1.44269990921', 2: 478.7368472797603, 3: '0.181818181818', 4: '0.0151515151515'} 
{0: '0.179104477612', 1: '1.44269990921', 2: 485.5601136789769, 3: '0.179104477612', 4: '0.0149253731343'} 
{0: '0.176470588235', 1: '1.44269990921', 2: 486.9219166483025, 3: '0.176470588235', 4: '0.0147058823529'} 
{0: '0.188405797101', 1: '1.73286211491', 2: 504.41950318689271, 3: '0.173913043478', 4: '0.0144927536232'} 
{0: '0.185714285714', 1: '1.73286211491', 2: 509.25422152797017, 3: '0.171428571429', 4: '0.0142857142857'} 
{0: '0.183098591549', 1: '1.73286211491', 2: 483.85642470859744, 3: '0.169014084507', 4: '0.0140845070423'} 
{0: '0.194444444444', 1: '2.08138298988', 2: 495.1643663999626, 3: '0.166666666667', 4: '0.0138888888889'} 
{0: '0.191780821918', 1: '2.08138298988', 2: 487.70209064754147, 3: '0.164383561644', 4: '0.013698630137'} 
{0: '0.202702702703', 1: '1.73286211491', 2: 478.83463109643543, 3: '0.162162162162', 4: '0.0135135135135'} 
{0: '0.213333333333', 1: '1.44269990921', 2: 470.45053356483777, 3: '0.16', 4: '0.0133333333333'} 
{0: '0.210526315789', 1: '1.44269990921', 2: 488.58431100985581, 3: '0.157894736842', 4: '0.0131578947368'} 
{0: '0.220779220779', 1: '1.73286211491', 2: 482.61675452679145, 3: '0.155844155844', 4: '0.012987012987'} 
{0: '0.217948717949', 1: '1.73286211491', 2: 477.67227362617677, 3: '0.153846153846', 4: '0.0128205128205'} 
{0: '0.227848101266', 1: '1.44269990921', 2: 470.21977617364416, 3: '0.151898734177', 4: '0.0126582278481'} 
{0: '0.225', 1: '1.44269990921', 2: 474.30882695673614, 3: '0.15', 4: '0.0125'} 
