{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq82/active_jobs/8956009.1/1.iq82\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'6\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts/nup84.isd.modeling500_batchsubmit.sh.e8956009\', \'JOB_ID\': \'8956009\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq82\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq17\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 63619 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts/nup84.isd.modeling500_batchsubmit.sh.o8956009\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq17/active_jobs/8956009.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'2343501824.2;tcp://172.19.12.82:48701\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5345  @ 2.33GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'2343501824.0;tcp://172.19.12.17:54892\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8956009.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq17:52595\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts\', \'TMPDIR\': \'/tmp/8956009.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'7cce32e5e2959559-c0a3c71990a60699\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'2\', \'SSH_TTY\': \'/dev/pts/46\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'2\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 63619 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8956009.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956009.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'2343501825\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956009.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'20\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff2343501824\\xff-mca\\xfforte_ess_vpid\\xff2\\xff-mca\\xfforte_ess_num_procs\\xff6\\xff--hnp-uri\\xff"2343501824.0;tcp://172.19.12.17:54892"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_xPljIi\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv3/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.44269990921', 2: 3928069.3554042727, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.73286211491', 2: 3509093.6860911446, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '2.08138298988', 2: 3056171.4867253187, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '2.5', 2: 2618138.0923181265, 3: '0.0', 4: '0.0'} 
{0: '0.75', 1: '2.5', 2: 2311611.6411593878, 3: '0.25', 4: '0.0'} 
{0: '0.8', 1: '2.08138298988', 2: 2048137.6660476015, 3: '0.4', 4: '0.0'} 
{0: '0.666666666667', 1: '2.08138298988', 2: 1832143.3549346502, 3: '0.333333333333', 4: '0.0'} 
{0: '0.571428571429', 1: '2.08138298988', 2: 1664062.6974859994, 3: '0.285714285714', 4: '0.0'} 
{0: '0.5', 1: '2.08138298988', 2: 1374753.0532510034, 3: '0.25', 4: '0.0'} 
{0: '0.444444444444', 1: '2.08138298988', 2: 1182913.3824887725, 3: '0.222222222222', 4: '0.0'} 
{0: '0.4', 1: '2.08138298988', 2: 1008032.1403281577, 3: '0.2', 4: '0.0'} 
{0: '0.363636363636', 1: '2.08138298988', 2: 891067.86355544673, 3: '0.181818181818', 4: '0.0'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 733522.74983596313, 3: '0.166666666667', 4: '0.0'} 
{0: '0.307692307692', 1: '2.08138298988', 2: 647557.65664028015, 3: '0.153846153846', 4: '0.0'} 
{0: '0.285714285714', 1: '2.08138298988', 2: 555631.04316115333, 3: '0.142857142857', 4: '0.0'} 
{0: '0.266666666667', 1: '2.08138298988', 2: 489544.51038885239, 3: '0.133333333333', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 440808.2482417631, 3: '0.125', 4: '0.0'} 
{0: '0.294117647059', 1: '2.5', 2: 385747.00157069589, 3: '0.117647058824', 4: '0.0'} 
{0: '0.277777777778', 1: '2.5', 2: 346430.60281787906, 3: '0.166666666667', 4: '0.0'} 
{0: '0.263157894737', 1: '2.5', 2: 310319.18741545593, 3: '0.210526315789', 4: '0.0'} 
{0: '0.25', 1: '2.5', 2: 254315.45092728458, 3: '0.25', 4: '0.0'} 
{0: '0.238095238095', 1: '2.5', 2: 225673.70782351817, 3: '0.285714285714', 4: '0.0'} 
{0: '0.227272727273', 1: '2.5', 2: 186505.02519150256, 3: '0.318181818182', 4: '0.0'} 
{0: '0.217391304348', 1: '2.5', 2: 152265.07450972707, 3: '0.347826086957', 4: '0.0'} 
{0: '0.208333333333', 1: '2.5', 2: 138481.74778918319, 3: '0.375', 4: '0.0'} 
{0: '0.2', 1: '2.5', 2: 94550.012185724569, 3: '0.4', 4: '0.0'} 
{0: '0.192307692308', 1: '2.5', 2: 71809.571482874191, 3: '0.423076923077', 4: '0.0'} 
{0: '0.185185185185', 1: '2.5', 2: 50114.376893314766, 3: '0.444444444444', 4: '0.0'} 
{0: '0.178571428571', 1: '2.5', 2: 38219.14108480596, 3: '0.464285714286', 4: '0.0'} 
{0: '0.172413793103', 1: '2.5', 2: 31449.550785292042, 3: '0.48275862069', 4: '0.0'} 
{0: '0.166666666667', 1: '2.5', 2: 23203.712686410181, 3: '0.5', 4: '0.0'} 
{0: '0.161290322581', 1: '2.5', 2: 17019.519330657102, 3: '0.516129032258', 4: '0.0'} 
{0: '0.15625', 1: '2.5', 2: 9526.7027863955573, 3: '0.53125', 4: '0.0'} 
{0: '0.151515151515', 1: '2.5', 2: 6444.7516355819416, 3: '0.545454545455', 4: '0.0'} 
{0: '0.147058823529', 1: '2.5', 2: 5267.3999862738956, 3: '0.558823529412', 4: '0.0'} 
{0: '0.142857142857', 1: '2.5', 2: 2454.1172580125085, 3: '0.571428571429', 4: '0.0'} 
{0: '0.138888888889', 1: '2.5', 2: 960.34286701621556, 3: '0.583333333333', 4: '0.0'} 
{0: '0.135135135135', 1: '2.5', 2: 638.62605865934256, 3: '0.594594594595', 4: '0.0'} 
{0: '0.131578947368', 1: '2.5', 2: 636.81962302950922, 3: '0.605263157895', 4: '0.0'} 
{0: '0.128205128205', 1: '2.5', 2: 635.80424403280131, 3: '0.615384615385', 4: '0.0'} 
{0: '0.125', 1: '2.5', 2: 632.5196221647459, 3: '0.625', 4: '0.0'} 
{0: '0.121951219512', 1: '2.5', 2: 611.0794696393807, 3: '0.634146341463', 4: '0.0'} 
{0: '0.119047619048', 1: '2.5', 2: 624.16664006162, 3: '0.642857142857', 4: '0.0'} 
{0: '0.116279069767', 1: '2.5', 2: 626.84771868889004, 3: '0.651162790698', 4: '0.0'} 
{0: '0.113636363636', 1: '2.5', 2: 629.59292260868597, 3: '0.659090909091', 4: '0.0'} 
{0: '0.111111111111', 1: '2.5', 2: 629.52679713204702, 3: '0.666666666667', 4: '0.0'} 
{0: '0.108695652174', 1: '2.5', 2: 633.01586337726326, 3: '0.673913043478', 4: '0.0'} 
{0: '0.106382978723', 1: '2.5', 2: 648.1986775277237, 3: '0.68085106383', 4: '0.0'} 
{0: '0.104166666667', 1: '2.5', 2: 646.90178134147754, 3: '0.6875', 4: '0.0'} 
{0: '0.102040816327', 1: '2.5', 2: 646.80589745233488, 3: '0.69387755102', 4: '0.0'} 
{0: '0.1', 1: '2.5', 2: 628.34718106036496, 3: '0.7', 4: '0.0'} 
{0: '0.0980392156863', 1: '2.5', 2: 630.32623187562274, 3: '0.705882352941', 4: '0.0'} 
{0: '0.0961538461538', 1: '2.5', 2: 619.38437751863466, 3: '0.711538461538', 4: '0.0'} 
{0: '0.0943396226415', 1: '2.5', 2: 614.111563897515, 3: '0.716981132075', 4: '0.0'} 
{0: '0.0925925925926', 1: '2.5', 2: 611.92300517279227, 3: '0.722222222222', 4: '0.0'} 
{0: '0.0909090909091', 1: '2.5', 2: 620.59177065108645, 3: '0.727272727273', 4: '0.0'} 
{0: '0.0892857142857', 1: '2.5', 2: 607.25466722773842, 3: '0.732142857143', 4: '0.0'} 
{0: '0.0877192982456', 1: '2.5', 2: 576.69052041797499, 3: '0.736842105263', 4: '0.0'} 
{0: '0.0862068965517', 1: '2.5', 2: 575.27857000281961, 3: '0.741379310345', 4: '0.0'} 
{0: '0.0847457627119', 1: '2.5', 2: 574.52946413718678, 3: '0.745762711864', 4: '0.0'} 
{0: '0.0833333333333', 1: '2.5', 2: 600.99786960604581, 3: '0.75', 4: '0.0'} 
{0: '0.0819672131148', 1: '2.5', 2: 601.9629745695305, 3: '0.754098360656', 4: '0.0'} 
{0: '0.0806451612903', 1: '2.5', 2: 605.69171717429629, 3: '0.758064516129', 4: '0.0'} 
{0: '0.0793650793651', 1: '2.5', 2: 577.12992462171258, 3: '0.761904761905', 4: '0.0'} 
{0: '0.078125', 1: '2.5', 2: 588.62733658554737, 3: '0.765625', 4: '0.0'} 
{0: '0.0769230769231', 1: '2.5', 2: 580.18254048177721, 3: '0.769230769231', 4: '0.0'} 
{0: '0.0757575757576', 1: '2.5', 2: 567.66119457982552, 3: '0.772727272727', 4: '0.0'} 
{0: '0.0746268656716', 1: '2.5', 2: 570.20349861974194, 3: '0.776119402985', 4: '0.0'} 
{0: '0.0735294117647', 1: '2.5', 2: 577.5434561921146, 3: '0.779411764706', 4: '0.0'} 
{0: '0.0724637681159', 1: '2.5', 2: 566.60373602701895, 3: '0.782608695652', 4: '0.0'} 
{0: '0.0714285714286', 1: '2.5', 2: 568.15539448464517, 3: '0.785714285714', 4: '0.0'} 
{0: '0.0704225352113', 1: '2.5', 2: 563.36041085745262, 3: '0.788732394366', 4: '0.0'} 
{0: '0.0694444444444', 1: '2.5', 2: 552.71847134803386, 3: '0.791666666667', 4: '0.0'} 
{0: '0.0684931506849', 1: '2.5', 2: 553.84147588183714, 3: '0.794520547945', 4: '0.0'} 
{0: '0.0675675675676', 1: '2.5', 2: 558.80015306704274, 3: '0.797297297297', 4: '0.0'} 
{0: '0.0666666666667', 1: '2.5', 2: 557.93680647720396, 3: '0.8', 4: '0.0'} 
{0: '0.0657894736842', 1: '2.5', 2: 566.5196516741297, 3: '0.802631578947', 4: '0.0'} 
{0: '0.0649350649351', 1: '2.5', 2: 561.43533250977976, 3: '0.805194805195', 4: '0.0'} 
{0: '0.0641025641026', 1: '2.5', 2: 544.65192625765667, 3: '0.807692307692', 4: '0.0'} 
{0: '0.0632911392405', 1: '2.5', 2: 545.59158082616943, 3: '0.810126582278', 4: '0.0'} 
{0: '0.0625', 1: '2.5', 2: 544.61694104743469, 3: '0.8125', 4: '0.0'} 
{0: '0.0617283950617', 1: '2.5', 2: 533.45440471496181, 3: '0.814814814815', 4: '0.0'} 
{0: '0.0609756097561', 1: '2.5', 2: 524.97360733084975, 3: '0.817073170732', 4: '0.0'} 
{0: '0.0602409638554', 1: '2.5', 2: 535.43472160768556, 3: '0.819277108434', 4: '0.0'} 
{0: '0.0595238095238', 1: '2.5', 2: 555.39572055777433, 3: '0.821428571429', 4: '0.0'} 
{0: '0.0588235294118', 1: '2.5', 2: 525.7448408821781, 3: '0.823529411765', 4: '0.0'} 
{0: '0.0581395348837', 1: '2.5', 2: 522.66299712798457, 3: '0.825581395349', 4: '0.0'} 
{0: '0.0574712643678', 1: '2.5', 2: 522.03626610716822, 3: '0.827586206897', 4: '0.0'} 
{0: '0.0568181818182', 1: '2.5', 2: 528.94828548157443, 3: '0.829545454545', 4: '0.0'} 
{0: '0.0561797752809', 1: '2.5', 2: 531.96226537004134, 3: '0.831460674157', 4: '0.0'} 
{0: '0.0555555555556', 1: '2.5', 2: 544.75247968545932, 3: '0.833333333333', 4: '0.0'} 
{0: '0.0549450549451', 1: '2.5', 2: 530.07352782967405, 3: '0.835164835165', 4: '0.0'} 
{0: '0.054347826087', 1: '2.5', 2: 538.23949532595668, 3: '0.836956521739', 4: '0.0'} 
{0: '0.0537634408602', 1: '2.5', 2: 529.65726977105226, 3: '0.838709677419', 4: '0.0'} 
{0: '0.0531914893617', 1: '2.5', 2: 537.93738251870923, 3: '0.840425531915', 4: '0.0'} 
{0: '0.0526315789474', 1: '2.5', 2: 538.29794420109295, 3: '0.842105263158', 4: '0.0'} 
{0: '0.0520833333333', 1: '2.5', 2: 517.82618068058969, 3: '0.84375', 4: '0.0'} 
{0: '0.0515463917526', 1: '2.5', 2: 521.33049528072536, 3: '0.845360824742', 4: '0.0'} 
{0: '0.0510204081633', 1: '2.5', 2: 517.7049608108448, 3: '0.84693877551', 4: '0.0'} 
