{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq111/active_jobs/8955503.1/1.iq111\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'6\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv4/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955503\', \'JOB_ID\': \'8955503\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq111\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq197\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv4/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955503\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq197/active_jobs/8955503.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'2288189440.5;tcp://172.19.12.111:45344\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5430  @ 2.66GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'2288189440.0;tcp://172.19.12.197:38977\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955503.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq197:53985\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv4/scripts\', \'TMPDIR\': \'/tmp/8955503.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'4c35aba42d1ef42a-ebdad473b177237b\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955503.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955503.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'2288189441\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv4/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955503.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff2288189440\\xff-mca\\xfforte_ess_vpid\\xff5\\xff-mca\\xfforte_ess_num_procs\\xff6\\xff--hnp-uri\\xff"2288189440.0;tcp://172.19.12.197:38977"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv4/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.0', 2: 469.50655390963379, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.2011244297', 2: 465.18142189589372, 3: '0.0', 4: '1.0'} 
{0: '1.0', 1: '1.44269990921', 2: 477.47864674411528, 3: '0.0', 4: '0.5'} 
{0: '0.666666666667', 1: '1.44269990921', 2: 463.92913736414027, 3: '0.0', 4: '0.333333333333'} 
{0: '0.75', 1: '1.2011244297', 2: 468.89230436191684, 3: '0.0', 4: '0.25'} 
{0: '0.6', 1: '1.2011244297', 2: 468.01389918456954, 3: '0.0', 4: '0.2'} 
{0: '0.666666666667', 1: '1.44269990921', 2: 454.55124607437938, 3: '0.0', 4: '0.166666666667'} 
{0: '0.571428571429', 1: '1.44269990921', 2: 443.7516060833704, 3: '0.0', 4: '0.142857142857'} 
{0: '0.625', 1: '1.2011244297', 2: 428.46956195176648, 3: '0.0', 4: '0.125'} 
{0: '0.555555555556', 1: '1.2011244297', 2: 419.34347417250024, 3: '0.0', 4: '0.111111111111'} 
{0: '0.5', 1: '1.2011244297', 2: 425.46701884049014, 3: '0.0', 4: '0.1'} 
{0: '0.454545454545', 1: '1.2011244297', 2: 418.4482500415844, 3: '0.0', 4: '0.0909090909091'} 
{0: '0.416666666667', 1: '1.2011244297', 2: 400.32057970296222, 3: '0.0', 4: '0.0833333333333'} 
{0: '0.384615384615', 1: '1.2011244297', 2: 409.36761145989834, 3: '0.0', 4: '0.0769230769231'} 
{0: '0.357142857143', 1: '1.2011244297', 2: 412.34720064020115, 3: '0.0', 4: '0.0714285714286'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 409.74885536088357, 3: '0.0', 4: '0.0666666666667'} 
{0: '0.375', 1: '1.44269990921', 2: 412.52471428965237, 3: '0.0', 4: '0.0625'} 
{0: '0.352941176471', 1: '1.44269990921', 2: 413.34901383352354, 3: '0.0', 4: '0.0588235294118'} 
{0: '0.388888888889', 1: '1.2011244297', 2: 382.51687266568888, 3: '0.0', 4: '0.0555555555556'} 
{0: '0.368421052632', 1: '1.2011244297', 2: 371.70351391185164, 3: '0.0', 4: '0.0526315789474'} 
{0: '0.35', 1: '1.2011244297', 2: 386.54516453621858, 3: '0.0', 4: '0.05'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 368.49159699822093, 3: '0.0', 4: '0.047619047619'} 
{0: '0.318181818182', 1: '1.2011244297', 2: 358.97565050354001, 3: '0.0', 4: '0.0454545454545'} 
{0: '0.304347826087', 1: '1.2011244297', 2: 358.61359454605275, 3: '0.0', 4: '0.0434782608696'} 
{0: '0.291666666667', 1: '1.2011244297', 2: 344.78300728982816, 3: '0.0', 4: '0.0416666666667'} 
{0: '0.28', 1: '1.2011244297', 2: 338.08913791198347, 3: '0.0', 4: '0.04'} 
{0: '0.269230769231', 1: '1.2011244297', 2: 335.00036653286031, 3: '0.0', 4: '0.0384615384615'} 
{0: '0.259259259259', 1: '1.2011244297', 2: 334.79822479144036, 3: '0.0', 4: '0.037037037037'} 
{0: '0.25', 1: '1.2011244297', 2: 335.99478528773045, 3: '0.0', 4: '0.0357142857143'} 
{0: '0.241379310345', 1: '1.2011244297', 2: 328.76167355099199, 3: '0.0', 4: '0.0344827586207'} 
{0: '0.233333333333', 1: '1.2011244297', 2: 320.92774649910154, 3: '0.0', 4: '0.0333333333333'} 
{0: '0.225806451613', 1: '1.2011244297', 2: 335.35393645243789, 3: '0.0', 4: '0.0322580645161'} 
{0: '0.21875', 1: '1.2011244297', 2: 344.83045936448571, 3: '0.0', 4: '0.03125'} 
{0: '0.212121212121', 1: '1.2011244297', 2: 343.9494503807781, 3: '0.0', 4: '0.030303030303'} 
{0: '0.205882352941', 1: '1.2011244297', 2: 330.79722412358194, 3: '0.0', 4: '0.0294117647059'} 
{0: '0.2', 1: '1.2011244297', 2: 336.5403931707956, 3: '0.0', 4: '0.0285714285714'} 
{0: '0.194444444444', 1: '1.2011244297', 2: 336.23921607591632, 3: '0.0', 4: '0.0277777777778'} 
{0: '0.189189189189', 1: '1.2011244297', 2: 334.98512978497314, 3: '0.0', 4: '0.027027027027'} 
{0: '0.184210526316', 1: '1.2011244297', 2: 325.37897637231822, 3: '0.0', 4: '0.0263157894737'} 
{0: '0.179487179487', 1: '1.2011244297', 2: 323.26082438578868, 3: '0.0', 4: '0.025641025641'} 
{0: '0.175', 1: '1.2011244297', 2: 334.22781643760266, 3: '0.0', 4: '0.025'} 
{0: '0.170731707317', 1: '1.2011244297', 2: 330.30138271395947, 3: '0.0', 4: '0.0243902439024'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 341.84655739010554, 3: '0.0', 4: '0.0238095238095'} 
{0: '0.162790697674', 1: '1.2011244297', 2: 326.80477234145809, 3: '0.0', 4: '0.0232558139535'} 
{0: '0.159090909091', 1: '1.2011244297', 2: 325.69641147413017, 3: '0.0', 4: '0.0227272727273'} 
{0: '0.155555555556', 1: '1.2011244297', 2: 331.91848714765058, 3: '0.0', 4: '0.0222222222222'} 
{0: '0.152173913043', 1: '1.2011244297', 2: 340.19400984454893, 3: '0.0', 4: '0.0217391304348'} 
{0: '0.148936170213', 1: '1.2011244297', 2: 338.92334003414942, 3: '0.0', 4: '0.0212765957447'} 
{0: '0.145833333333', 1: '1.2011244297', 2: 334.97163479074334, 3: '0.0', 4: '0.0208333333333'} 
{0: '0.142857142857', 1: '1.2011244297', 2: 323.47581996462469, 3: '0.0', 4: '0.0204081632653'} 
{0: '0.14', 1: '1.2011244297', 2: 321.50053485192063, 3: '0.0', 4: '0.02'} 
{0: '0.137254901961', 1: '1.2011244297', 2: 326.28104271211856, 3: '0.0', 4: '0.0196078431373'} 
{0: '0.134615384615', 1: '1.2011244297', 2: 332.0160514787421, 3: '0.0', 4: '0.0192307692308'} 
{0: '0.132075471698', 1: '1.2011244297', 2: 323.9834219056051, 3: '0.0', 4: '0.0188679245283'} 
{0: '0.12962962963', 1: '1.2011244297', 2: 315.39113997173757, 3: '0.0', 4: '0.0185185185185'} 
{0: '0.127272727273', 1: '1.2011244297', 2: 318.41029981465113, 3: '0.0', 4: '0.0181818181818'} 
{0: '0.125', 1: '1.2011244297', 2: 314.53246088707527, 3: '0.0', 4: '0.0178571428571'} 
{0: '0.122807017544', 1: '1.2011244297', 2: 319.20986243367179, 3: '0.0', 4: '0.0175438596491'} 
{0: '0.120689655172', 1: '1.2011244297', 2: 311.22865150340175, 3: '0.0', 4: '0.0172413793103'} 
{0: '0.118644067797', 1: '1.2011244297', 2: 319.89484603853691, 3: '0.0', 4: '0.0169491525424'} 
{0: '0.116666666667', 1: '1.2011244297', 2: 323.0704268326877, 3: '0.0', 4: '0.0166666666667'} 
{0: '0.114754098361', 1: '1.2011244297', 2: 318.48825495783137, 3: '0.0', 4: '0.016393442623'} 
{0: '0.112903225806', 1: '1.2011244297', 2: 325.7092506138008, 3: '0.0', 4: '0.0161290322581'} 
{0: '0.111111111111', 1: '1.2011244297', 2: 320.06341298887088, 3: '0.0', 4: '0.015873015873'} 
{0: '0.109375', 1: '1.2011244297', 2: 338.9421384900981, 3: '0.0', 4: '0.015625'} 
{0: '0.107692307692', 1: '1.2011244297', 2: 335.80194429971561, 3: '0.0', 4: '0.0153846153846'} 
{0: '0.106060606061', 1: '1.2011244297', 2: 329.7024296655631, 3: '0.0', 4: '0.0151515151515'} 
{0: '0.10447761194', 1: '1.2011244297', 2: 322.48587579271623, 3: '0.0', 4: '0.0149253731343'} 
{0: '0.102941176471', 1: '1.2011244297', 2: 316.82845724098871, 3: '0.0', 4: '0.0147058823529'} 
{0: '0.101449275362', 1: '1.2011244297', 2: 318.16333712852946, 3: '0.0', 4: '0.0144927536232'} 
{0: '0.1', 1: '1.2011244297', 2: 312.10974041607921, 3: '0.0', 4: '0.0142857142857'} 
{0: '0.0985915492958', 1: '1.2011244297', 2: 316.56807701887067, 3: '0.0', 4: '0.0140845070423'} 
{0: '0.0972222222222', 1: '1.2011244297', 2: 333.61091037604439, 3: '0.0', 4: '0.0138888888889'} 
{0: '0.0958904109589', 1: '1.2011244297', 2: 324.36735226948861, 3: '0.0', 4: '0.013698630137'} 
{0: '0.0945945945946', 1: '1.2011244297', 2: 319.37393788419871, 3: '0.0', 4: '0.0135135135135'} 
{0: '0.0933333333333', 1: '1.2011244297', 2: 324.33608919117034, 3: '0.0', 4: '0.0133333333333'} 
{0: '0.0921052631579', 1: '1.2011244297', 2: 318.66750674061313, 3: '0.0', 4: '0.0131578947368'} 
{0: '0.0909090909091', 1: '1.2011244297', 2: 303.50118928152773, 3: '0.0', 4: '0.012987012987'} 
{0: '0.0897435897436', 1: '1.2011244297', 2: 311.60872279239965, 3: '0.0', 4: '0.0128205128205'} 
{0: '0.0886075949367', 1: '1.2011244297', 2: 311.87703024038632, 3: '0.0', 4: '0.0126582278481'} 
{0: '0.0875', 1: '1.2011244297', 2: 321.79376600697037, 3: '0.0', 4: '0.0125'} 
{0: '0.0864197530864', 1: '1.2011244297', 2: 311.59459453319522, 3: '0.0', 4: '0.0123456790123'} 
{0: '0.0853658536585', 1: '1.2011244297', 2: 304.12100371640832, 3: '0.0', 4: '0.0121951219512'} 
{0: '0.0843373493976', 1: '1.2011244297', 2: 309.8155244494726, 3: '0.0', 4: '0.0120481927711'} 
{0: '0.0833333333333', 1: '1.2011244297', 2: 308.35133942277258, 3: '0.0', 4: '0.0119047619048'} 
{0: '0.0823529411765', 1: '1.2011244297', 2: 316.56463625114543, 3: '0.0', 4: '0.0117647058824'} 
{0: '0.0813953488372', 1: '1.2011244297', 2: 317.18976701100053, 3: '0.0', 4: '0.0116279069767'} 
{0: '0.0804597701149', 1: '1.2011244297', 2: 307.50506648957111, 3: '0.0', 4: '0.0114942528736'} 
{0: '0.0795454545455', 1: '1.2011244297', 2: 305.42361198623064, 3: '0.0', 4: '0.0113636363636'} 
{0: '0.0786516853933', 1: '1.2011244297', 2: 311.8605660249234, 3: '0.0', 4: '0.0112359550562'} 
{0: '0.0777777777778', 1: '1.2011244297', 2: 315.16278107283244, 3: '0.0', 4: '0.0111111111111'} 
{0: '0.0769230769231', 1: '1.2011244297', 2: 321.48628804159608, 3: '0.0', 4: '0.010989010989'} 
{0: '0.0760869565217', 1: '1.2011244297', 2: 315.86343550505694, 3: '0.0', 4: '0.0108695652174'} 
