{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/ih34/active_jobs/8955504.1/1.ih34\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'4\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955504\', \'JOB_ID\': \'8955504\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'ih34\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq98\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955504\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq98/active_jobs/8955504.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'2106523648.2;tcp://172.19.15.34:35676\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'2\', \'OMPI_COMM_WORLD_NODE_RANK\': \'2\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'3\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'2106523648.0;tcp://172.19.12.98:51582\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955504.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq98:60090\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'TMPDIR\': \'/tmp/8955504.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'1851e346f73c2077-0918c397de21e5fc\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'2\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'4\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'3\', \'OMPI_MCA_orte_ess_vpid\': \'4\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955504.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955504.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'2106523649\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955504.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'26\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff2106523648\\xff-mca\\xfforte_ess_vpid\\xff2\\xff-mca\\xfforte_ess_num_procs\\xff4\\xff--hnp-uri\\xff"2106523648.0;tcp://172.19.12.98:51582"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.73286211491', 2: 479.17107944073217, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.73286211491', 2: 479.16726129210156, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 464.52618736412455, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 446.53924962366852, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.44269990921', 2: 435.64798585254744, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.44269990921', 2: 427.25554797173311, 3: '0.0', 4: '0.0'} 
{0: '0.166666666667', 1: '1.44269990921', 2: 424.34603470529618, 3: '0.0', 4: '0.0'} 
{0: '0.142857142857', 1: '1.44269990921', 2: 421.88337833303757, 3: '0.0', 4: '0.0'} 
{0: '0.125', 1: '1.44269990921', 2: 410.82735200564673, 3: '0.0', 4: '0.0'} 
{0: '0.111111111111', 1: '1.44269990921', 2: 407.90342709028437, 3: '0.0', 4: '0.0'} 
{0: '0.1', 1: '1.44269990921', 2: 397.72112857670948, 3: '0.0', 4: '0.0'} 
{0: '0.0909090909091', 1: '1.44269990921', 2: 398.87329505476373, 3: '0.0', 4: '0.0'} 
{0: '0.0833333333333', 1: '1.44269990921', 2: 376.80162930502223, 3: '0.0', 4: '0.0'} 
{0: '0.0769230769231', 1: '1.44269990921', 2: 392.95229929658581, 3: '0.0', 4: '0.0'} 
{0: '0.0714285714286', 1: '1.44269990921', 2: 386.7671450219292, 3: '0.0', 4: '0.0'} 
{0: '0.0666666666667', 1: '1.44269990921', 2: 397.13545575423262, 3: '0.0', 4: '0.0'} 
{0: '0.0625', 1: '1.44269990921', 2: 377.19621645152893, 3: '0.0', 4: '0.0'} 
{0: '0.0588235294118', 1: '1.44269990921', 2: 387.93201215309227, 3: '0.0', 4: '0.0'} 
{0: '0.0555555555556', 1: '1.44269990921', 2: 394.09353735795594, 3: '0.0', 4: '0.0'} 
{0: '0.0526315789474', 1: '1.44269990921', 2: 398.78367551867041, 3: '0.0', 4: '0.0'} 
{0: '0.05', 1: '1.44269990921', 2: 402.14405610980788, 3: '0.0', 4: '0.0'} 
{0: '0.047619047619', 1: '1.44269990921', 2: 402.6910676502365, 3: '0.0', 4: '0.0'} 
{0: '0.0454545454545', 1: '1.44269990921', 2: 400.95620504965717, 3: '0.0', 4: '0.0'} 
{0: '0.0434782608696', 1: '1.44269990921', 2: 381.73507360208805, 3: '0.0', 4: '0.0'} 
{0: '0.0416666666667', 1: '1.44269990921', 2: 388.3853717046282, 3: '0.0', 4: '0.0'} 
{0: '0.04', 1: '1.44269990921', 2: 375.42020278120202, 3: '0.0', 4: '0.0'} 
{0: '0.0384615384615', 1: '1.44269990921', 2: 383.85144029883304, 3: '0.0', 4: '0.0'} 
{0: '0.037037037037', 1: '1.44269990921', 2: 390.34309239737104, 3: '0.0', 4: '0.0'} 
{0: '0.0357142857143', 1: '1.44269990921', 2: 388.79197361536581, 3: '0.0', 4: '0.0'} 
{0: '0.0344827586207', 1: '1.44269990921', 2: 398.16704613463753, 3: '0.0', 4: '0.0'} 
{0: '0.0333333333333', 1: '1.44269990921', 2: 391.73860147731631, 3: '0.0', 4: '0.0'} 
{0: '0.0322580645161', 1: '1.44269990921', 2: 378.59943932938819, 3: '0.0', 4: '0.0'} 
{0: '0.03125', 1: '1.44269990921', 2: 384.8964207532627, 3: '0.0', 4: '0.0'} 
{0: '0.030303030303', 1: '1.44269990921', 2: 386.98647562416039, 3: '0.0', 4: '0.0'} 
{0: '0.0294117647059', 1: '1.44269990921', 2: 386.54605041342177, 3: '0.0', 4: '0.0'} 
{0: '0.0285714285714', 1: '1.44269990921', 2: 377.98966538340488, 3: '0.0', 4: '0.0'} 
{0: '0.0277777777778', 1: '1.44269990921', 2: 369.20185106743077, 3: '0.0', 4: '0.0'} 
{0: '0.027027027027', 1: '1.44269990921', 2: 376.78072843680434, 3: '0.0', 4: '0.0'} 
{0: '0.0263157894737', 1: '1.44269990921', 2: 381.15996689947491, 3: '0.0', 4: '0.0'} 
{0: '0.025641025641', 1: '1.44269990921', 2: 386.80606251837952, 3: '0.0', 4: '0.0'} 
{0: '0.025', 1: '1.44269990921', 2: 384.61418339291833, 3: '0.0', 4: '0.0'} 
{0: '0.0487804878049', 1: '1.73286211491', 2: 402.74493858855305, 3: '0.0', 4: '0.0'} 
{0: '0.047619047619', 1: '1.73286211491', 2: 382.99675487428277, 3: '0.0', 4: '0.0'} 
{0: '0.0697674418605', 1: '1.44269990921', 2: 389.78407512591247, 3: '0.0', 4: '0.0'} 
{0: '0.0681818181818', 1: '1.44269990921', 2: 396.35451281842353, 3: '0.0', 4: '0.0'} 
{0: '0.0888888888889', 1: '1.73286211491', 2: 372.75022888234514, 3: '0.0', 4: '0.0'} 
{0: '0.0869565217391', 1: '1.73286211491', 2: 388.622504884438, 3: '0.0', 4: '0.0'} 
{0: '0.106382978723', 1: '1.44269990921', 2: 384.26671176058233, 3: '0.0', 4: '0.0'} 
{0: '0.104166666667', 1: '1.44269990921', 2: 387.05734004506587, 3: '0.0', 4: '0.0'} 
{0: '0.122448979592', 1: '1.73286211491', 2: 387.14920293021078, 3: '0.0', 4: '0.0'} 
{0: '0.12', 1: '1.73286211491', 2: 382.80966767075478, 3: '0.0', 4: '0.0'} 
{0: '0.117647058824', 1: '1.73286211491', 2: 390.81210690437194, 3: '0.0', 4: '0.0'} 
{0: '0.115384615385', 1: '1.73286211491', 2: 392.08079124167404, 3: '0.0', 4: '0.0'} 
{0: '0.11320754717', 1: '1.73286211491', 2: 389.96120721279442, 3: '0.0', 4: '0.0'} 
{0: '0.111111111111', 1: '1.73286211491', 2: 391.18564118151528, 3: '0.0', 4: '0.0'} 
{0: '0.109090909091', 1: '1.73286211491', 2: 391.94800880612604, 3: '0.0', 4: '0.0'} 
{0: '0.107142857143', 1: '1.73286211491', 2: 394.58951766947547, 3: '0.0', 4: '0.0'} 
{0: '0.105263157895', 1: '1.73286211491', 2: 393.76914121146064, 3: '0.0', 4: '0.0'} 
{0: '0.103448275862', 1: '1.73286211491', 2: 398.19977193062255, 3: '0.0', 4: '0.0'} 
{0: '0.101694915254', 1: '1.73286211491', 2: 386.09337848703393, 3: '0.0', 4: '0.0'} 
{0: '0.1', 1: '1.73286211491', 2: 399.56367555579953, 3: '0.0', 4: '0.0'} 
{0: '0.114754098361', 1: '1.44269990921', 2: 402.55661330675662, 3: '0.0', 4: '0.0'} 
{0: '0.112903225806', 1: '1.44269990921', 2: 381.9902242374751, 3: '0.0', 4: '0.0'} 
{0: '0.126984126984', 1: '1.73286211491', 2: 374.55892957986896, 3: '0.0', 4: '0.0'} 
{0: '0.125', 1: '1.73286211491', 2: 370.11641427428214, 3: '0.0', 4: '0.0'} 
{0: '0.138461538462', 1: '1.44269990921', 2: 370.16980172652893, 3: '0.0', 4: '0.0'} 
{0: '0.136363636364', 1: '1.44269990921', 2: 385.55079222716989, 3: '0.0', 4: '0.0'} 
{0: '0.149253731343', 1: '1.73286211491', 2: 373.78974527939289, 3: '0.0', 4: '0.0'} 
{0: '0.147058823529', 1: '1.73286211491', 2: 385.68129980296783, 3: '0.0', 4: '0.0'} 
{0: '0.144927536232', 1: '1.73286211491', 2: 380.47845961764858, 3: '0.0', 4: '0.0'} 
{0: '0.142857142857', 1: '1.73286211491', 2: 383.49550911838674, 3: '0.0', 4: '0.0'} 
{0: '0.140845070423', 1: '1.73286211491', 2: 406.64606188344175, 3: '0.0', 4: '0.0'} 
{0: '0.138888888889', 1: '1.73286211491', 2: 402.43656195886069, 3: '0.0', 4: '0.0'} 
{0: '0.13698630137', 1: '1.73286211491', 2: 401.05277999992001, 3: '0.0', 4: '0.0'} 
{0: '0.135135135135', 1: '1.73286211491', 2: 387.46664673739497, 3: '0.0', 4: '0.0'} 
{0: '0.133333333333', 1: '1.73286211491', 2: 403.35940497187687, 3: '0.0', 4: '0.0'} 
{0: '0.131578947368', 1: '1.73286211491', 2: 398.99491992089776, 3: '0.0', 4: '0.0'} 
{0: '0.12987012987', 1: '1.73286211491', 2: 407.67891035695703, 3: '0.0', 4: '0.0'} 
{0: '0.128205128205', 1: '1.73286211491', 2: 406.47269528753429, 3: '0.0', 4: '0.0'} 
{0: '0.126582278481', 1: '1.73286211491', 2: 403.34514863063526, 3: '0.0', 4: '0.0'} 
{0: '0.1375', 1: '2.08138298988', 2: 403.79238208365888, 3: '0.0', 4: '0.0'} 
{0: '0.135802469136', 1: '2.08138298988', 2: 396.53758763825095, 3: '0.0', 4: '0.0'} 
{0: '0.146341463415', 1: '1.73286211491', 2: 389.80285182385057, 3: '0.0', 4: '0.0'} 
{0: '0.144578313253', 1: '1.73286211491', 2: 386.05252377690545, 3: '0.0', 4: '0.0'} 
{0: '0.142857142857', 1: '1.73286211491', 2: 393.22723756755954, 3: '0.0', 4: '0.0'} 
{0: '0.141176470588', 1: '1.73286211491', 2: 389.61552272071714, 3: '0.0', 4: '0.0'} 
{0: '0.139534883721', 1: '1.73286211491', 2: 385.9602183920083, 3: '0.0', 4: '0.0'} 
{0: '0.137931034483', 1: '1.73286211491', 2: 396.54591681556246, 3: '0.0', 4: '0.0'} 
{0: '0.136363636364', 1: '1.73286211491', 2: 399.44277910077506, 3: '0.0', 4: '0.0'} 
{0: '0.134831460674', 1: '1.73286211491', 2: 384.54030565797262, 3: '0.0', 4: '0.0'} 
{0: '0.133333333333', 1: '1.73286211491', 2: 386.54678011587748, 3: '0.0', 4: '0.0'} 
{0: '0.131868131868', 1: '1.73286211491', 2: 396.38804786403671, 3: '0.0', 4: '0.0'} 
{0: '0.130434782609', 1: '1.73286211491', 2: 392.18505019970502, 3: '0.0', 4: '0.0'} 
{0: '0.129032258065', 1: '1.73286211491', 2: 390.37187564259312, 3: '0.0', 4: '0.0'} 
{0: '0.127659574468', 1: '1.73286211491', 2: 395.37084777675562, 3: '0.0', 4: '0.0'} 
{0: '0.126315789474', 1: '1.73286211491', 2: 394.62044192898372, 3: '0.0', 4: '0.0'} 
{0: '0.125', 1: '1.73286211491', 2: 403.76638796850864, 3: '0.0', 4: '0.0'} 
{0: '0.123711340206', 1: '1.73286211491', 2: 395.4077317713552, 3: '0.0', 4: '0.0'} 
{0: '0.122448979592', 1: '1.73286211491', 2: 403.77434215003973, 3: '0.0', 4: '0.0'} 
