{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/ih33/active_jobs/8955504.1/1.ih33\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'4\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955504\', \'JOB_ID\': \'8955504\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'ih33\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq98\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955504\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq98/active_jobs/8955504.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'2106523648.3;tcp://172.19.15.33:47568\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'2106523648.0;tcp://172.19.12.98:51582\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955504.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq98:43966\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'TMPDIR\': \'/tmp/8955504.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'1851e346f73c2077-0918c397de21e5fc\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955504.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955504.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'2106523649\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955504.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff2106523648\\xff-mca\\xfforte_ess_vpid\\xff3\\xff-mca\\xfforte_ess_num_procs\\xff4\\xff--hnp-uri\\xff"2106523648.0;tcp://172.19.12.98:51582"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv5/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '2.5', 2: 1278682.2441870586, 3: '0', 4: '0'} 
{0: '1.0', 1: '2.08138298988', 2: 1065834.8724004566, 3: '1.0', 4: '0.0'} 
{0: '1.0', 1: '1.73286211491', 2: 862731.36851329997, 3: '0.5', 4: '0.0'} 
{0: '1.0', 1: '1.44269990921', 2: 652443.97005867888, 3: '0.333333333333', 4: '0.0'} 
{0: '1.0', 1: '1.2011244297', 2: 491373.72613870341, 3: '0.25', 4: '0.0'} 
{0: '1.0', 1: '1.0', 2: 355015.03491918318, 3: '0.2', 4: '0.0'} 
{0: '0.833333333333', 1: '1.0', 2: 249486.62127331228, 3: '0.166666666667', 4: '0.166666666667'} 
{0: '0.714285714286', 1: '1.0', 2: 183060.87365149937, 3: '0.142857142857', 4: '0.285714285714'} 
{0: '0.625', 1: '1.0', 2: 113048.89034281335, 3: '0.125', 4: '0.375'} 
{0: '0.555555555556', 1: '1.0', 2: 79008.117191638637, 3: '0.111111111111', 4: '0.444444444444'} 
{0: '0.5', 1: '1.0', 2: 56523.951516559267, 3: '0.1', 4: '0.5'} 
{0: '0.454545454545', 1: '1.0', 2: 39085.406940792011, 3: '0.0909090909091', 4: '0.545454545455'} 
{0: '0.416666666667', 1: '1.0', 2: 24473.602030778275, 3: '0.0833333333333', 4: '0.583333333333'} 
{0: '0.384615384615', 1: '1.0', 2: 14797.782957432548, 3: '0.0769230769231', 4: '0.615384615385'} 
{0: '0.357142857143', 1: '1.0', 2: 7038.6061794826255, 3: '0.0714285714286', 4: '0.642857142857'} 
{0: '0.333333333333', 1: '1.0', 2: 3448.1717118132738, 3: '0.0666666666667', 4: '0.666666666667'} 
{0: '0.3125', 1: '1.0', 2: 1195.1699803118154, 3: '0.0625', 4: '0.6875'} 
{0: '0.294117647059', 1: '1.0', 2: 554.15342037102857, 3: '0.0588235294118', 4: '0.705882352941'} 
{0: '0.277777777778', 1: '1.0', 2: 540.1920958165606, 3: '0.0555555555556', 4: '0.722222222222'} 
{0: '0.263157894737', 1: '1.0', 2: 532.95986888082848, 3: '0.0526315789474', 4: '0.736842105263'} 
{0: '0.25', 1: '1.0', 2: 531.47187135419119, 3: '0.05', 4: '0.75'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 527.36331492144291, 3: '0.047619047619', 4: '0.761904761905'} 
{0: '0.272727272727', 1: '1.2011244297', 2: 526.78270441740949, 3: '0.0454545454545', 4: '0.727272727273'} 
{0: '0.260869565217', 1: '1.2011244297', 2: 529.80300288576314, 3: '0.0434782608696', 4: '0.695652173913'} 
{0: '0.25', 1: '1.2011244297', 2: 522.73061578335398, 3: '0.0416666666667', 4: '0.666666666667'} 
{0: '0.24', 1: '1.2011244297', 2: 523.86196686494031, 3: '0.04', 4: '0.64'} 
{0: '0.230769230769', 1: '1.2011244297', 2: 518.17954190945852, 3: '0.0384615384615', 4: '0.615384615385'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 508.62805409732459, 3: '0.037037037037', 4: '0.592592592593'} 
{0: '0.214285714286', 1: '1.2011244297', 2: 512.17986072528026, 3: '0.0357142857143', 4: '0.571428571429'} 
{0: '0.206896551724', 1: '1.2011244297', 2: 520.91591552097066, 3: '0.0344827586207', 4: '0.551724137931'} 
{0: '0.2', 1: '1.2011244297', 2: 495.21590040822753, 3: '0.0333333333333', 4: '0.533333333333'} 
{0: '0.193548387097', 1: '1.2011244297', 2: 496.23754900948086, 3: '0.0322580645161', 4: '0.516129032258'} 
{0: '0.1875', 1: '1.2011244297', 2: 493.36873101473736, 3: '0.03125', 4: '0.5'} 
{0: '0.181818181818', 1: '1.2011244297', 2: 480.344967353968, 3: '0.030303030303', 4: '0.484848484848'} 
{0: '0.176470588235', 1: '1.2011244297', 2: 481.2368580306873, 3: '0.0294117647059', 4: '0.470588235294'} 
{0: '0.171428571429', 1: '1.2011244297', 2: 474.18905293847132, 3: '0.0285714285714', 4: '0.457142857143'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 467.70146883412815, 3: '0.0277777777778', 4: '0.444444444444'} 
{0: '0.189189189189', 1: '1.0', 2: 462.48039982075818, 3: '0.027027027027', 4: '0.432432432432'} 
{0: '0.184210526316', 1: '1.0', 2: 469.9788200006123, 3: '0.0263157894737', 4: '0.447368421053'} 
{0: '0.179487179487', 1: '1.0', 2: 476.09993276481526, 3: '0.025641025641', 4: '0.461538461538'} 
{0: '0.175', 1: '1.0', 2: 466.45059826482679, 3: '0.025', 4: '0.475'} 
{0: '0.170731707317', 1: '1.0', 2: 458.58470596184907, 3: '0.0243902439024', 4: '0.487804878049'} 
{0: '0.166666666667', 1: '1.0', 2: 458.79249218049608, 3: '0.0238095238095', 4: '0.5'} 
{0: '0.162790697674', 1: '1.0', 2: 457.0251104434916, 3: '0.0232558139535', 4: '0.511627906977'} 
{0: '0.159090909091', 1: '1.0', 2: 450.43204986493197, 3: '0.0227272727273', 4: '0.522727272727'} 
{0: '0.155555555556', 1: '1.0', 2: 443.24889151322475, 3: '0.0222222222222', 4: '0.533333333333'} 
{0: '0.152173913043', 1: '1.0', 2: 422.80635173008812, 3: '0.0217391304348', 4: '0.54347826087'} 
{0: '0.148936170213', 1: '1.0', 2: 403.6266826669904, 3: '0.0212765957447', 4: '0.553191489362'} 
{0: '0.145833333333', 1: '1.0', 2: 396.41889331090039, 3: '0.0208333333333', 4: '0.5625'} 
{0: '0.142857142857', 1: '1.0', 2: 388.68717391517487, 3: '0.0204081632653', 4: '0.571428571429'} 
{0: '0.14', 1: '1.0', 2: 383.85387018113863, 3: '0.02', 4: '0.58'} 
{0: '0.137254901961', 1: '1.0', 2: 383.85931050925734, 3: '0.0196078431373', 4: '0.588235294118'} 
{0: '0.134615384615', 1: '1.0', 2: 389.53081506488388, 3: '0.0192307692308', 4: '0.596153846154'} 
{0: '0.132075471698', 1: '1.0', 2: 391.39033309323997, 3: '0.0188679245283', 4: '0.603773584906'} 
{0: '0.12962962963', 1: '1.0', 2: 383.17420015609764, 3: '0.0185185185185', 4: '0.611111111111'} 
{0: '0.127272727273', 1: '1.0', 2: 383.08333151766715, 3: '0.0181818181818', 4: '0.618181818182'} 
{0: '0.125', 1: '1.0', 2: 385.64994445712296, 3: '0.0178571428571', 4: '0.625'} 
{0: '0.122807017544', 1: '1.0', 2: 381.92667968800043, 3: '0.0175438596491', 4: '0.631578947368'} 
{0: '0.120689655172', 1: '1.0', 2: 375.51140033849089, 3: '0.0172413793103', 4: '0.637931034483'} 
{0: '0.118644067797', 1: '1.0', 2: 373.1110065482668, 3: '0.0169491525424', 4: '0.64406779661'} 
{0: '0.116666666667', 1: '1.0', 2: 368.97746286676283, 3: '0.0166666666667', 4: '0.65'} 
{0: '0.114754098361', 1: '1.0', 2: 362.32935823842314, 3: '0.016393442623', 4: '0.655737704918'} 
{0: '0.112903225806', 1: '1.0', 2: 365.53890827377268, 3: '0.0161290322581', 4: '0.661290322581'} 
{0: '0.111111111111', 1: '1.0', 2: 349.03627833176017, 3: '0.015873015873', 4: '0.666666666667'} 
{0: '0.109375', 1: '1.0', 2: 339.54803728006306, 3: '0.015625', 4: '0.671875'} 
{0: '0.107692307692', 1: '1.0', 2: 356.77067892259913, 3: '0.0153846153846', 4: '0.676923076923'} 
{0: '0.106060606061', 1: '1.0', 2: 354.04543168517864, 3: '0.0151515151515', 4: '0.681818181818'} 
{0: '0.10447761194', 1: '1.0', 2: 350.81891537940749, 3: '0.0149253731343', 4: '0.686567164179'} 
{0: '0.102941176471', 1: '1.0', 2: 359.1972190455017, 3: '0.0147058823529', 4: '0.691176470588'} 
{0: '0.115942028986', 1: '1.2011244297', 2: 358.93518726094806, 3: '0.0144927536232', 4: '0.695652173913'} 
{0: '0.114285714286', 1: '1.2011244297', 2: 355.53721779617757, 3: '0.0142857142857', 4: '0.685714285714'} 
{0: '0.12676056338', 1: '1.0', 2: 345.08628704820586, 3: '0.0140845070423', 4: '0.676056338028'} 
{0: '0.125', 1: '1.0', 2: 345.64572907295502, 3: '0.0138888888889', 4: '0.680555555556'} 
{0: '0.123287671233', 1: '1.0', 2: 343.39937268143115, 3: '0.013698630137', 4: '0.684931506849'} 
{0: '0.121621621622', 1: '1.0', 2: 354.41064183565743, 3: '0.0135135135135', 4: '0.689189189189'} 
{0: '0.133333333333', 1: '1.2011244297', 2: 346.47494083984805, 3: '0.0133333333333', 4: '0.693333333333'} 
{0: '0.131578947368', 1: '1.2011244297', 2: 338.59611170178852, 3: '0.0131578947368', 4: '0.684210526316'} 
{0: '0.142857142857', 1: '1.0', 2: 337.92631213377427, 3: '0.012987012987', 4: '0.675324675325'} 
{0: '0.141025641026', 1: '1.0', 2: 334.43431331234689, 3: '0.0128205128205', 4: '0.679487179487'} 
{0: '0.139240506329', 1: '1.0', 2: 336.7978854014824, 3: '0.0126582278481', 4: '0.683544303797'} 
{0: '0.1375', 1: '1.0', 2: 328.70113449022261, 3: '0.0125', 4: '0.6875'} 
{0: '0.135802469136', 1: '1.0', 2: 327.91265694406223, 3: '0.0123456790123', 4: '0.691358024691'} 
{0: '0.134146341463', 1: '1.0', 2: 334.28343019199741, 3: '0.0121951219512', 4: '0.69512195122'} 
{0: '0.132530120482', 1: '1.0', 2: 323.65884577809788, 3: '0.0120481927711', 4: '0.698795180723'} 
{0: '0.130952380952', 1: '1.0', 2: 322.99900044851137, 3: '0.0119047619048', 4: '0.702380952381'} 
{0: '0.129411764706', 1: '1.0', 2: 325.99762720729842, 3: '0.0117647058824', 4: '0.705882352941'} 
{0: '0.127906976744', 1: '1.0', 2: 329.80180092962291, 3: '0.0116279069767', 4: '0.709302325581'} 
{0: '0.126436781609', 1: '1.0', 2: 314.36265656638022, 3: '0.0114942528736', 4: '0.712643678161'} 
{0: '0.125', 1: '1.0', 2: 314.99081359302988, 3: '0.0113636363636', 4: '0.715909090909'} 
{0: '0.123595505618', 1: '1.0', 2: 312.87109496143404, 3: '0.0112359550562', 4: '0.719101123596'} 
{0: '0.122222222222', 1: '1.0', 2: 325.37186409677309, 3: '0.0111111111111', 4: '0.722222222222'} 
{0: '0.120879120879', 1: '1.0', 2: 325.91433597456228, 3: '0.010989010989', 4: '0.725274725275'} 
{0: '0.119565217391', 1: '1.0', 2: 314.07996289186013, 3: '0.0108695652174', 4: '0.728260869565'} 
