{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/ad10/active_jobs/8955506.1/1.ad10\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'2\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955506\', \'JOB_ID\': \'8955506\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'ad10\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'ad6\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955506\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/ad6/active_jobs/8955506.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'3764256768.1;tcp://172.19.17.10:49795\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'AMD Opteron(tm) Processor 6174\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'3764256768.0;tcp://172.19.17.6:50295\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955506.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'ad6:48887\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts\', \'TMPDIR\': \'/tmp/8955506.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'aa80daea72964066-2a615b2002e08bc9\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955506.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955506.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'3764256769\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955506.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'20\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'AuthenticAMD\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff3764256768\\xff-mca\\xfforte_ess_vpid\\xff1\\xff-mca\\xfforte_ess_num_procs\\xff2\\xff--hnp-uri\\xff"3764256768.0;tcp://172.19.17.6:50295"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.2011244297', 2: 514.06372274909393, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.2011244297', 2: 524.08214913481333, 3: '0.0', 4: '0.0'} 
{0: '0.5', 1: '1.44269990921', 2: 510.50095374076534, 3: '0.0', 4: '0.0'} 
{0: '0.666666666667', 1: '1.73286211491', 2: 529.85517870064552, 3: '0.0', 4: '0.0'} 
{0: '0.5', 1: '1.73286211491', 2: 510.42937623533311, 3: '0.0', 4: '0.0'} 
{0: '0.4', 1: '1.73286211491', 2: 504.97982893921073, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '1.73286211491', 2: 521.19263237299833, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '1.73286211491', 2: 522.32634213575466, 3: '0.0', 4: '0.0'} 
{0: '0.375', 1: '2.08138298988', 2: 508.21817899056219, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 488.45248204990889, 3: '0.0', 4: '0.0'} 
{0: '0.4', 1: '1.73286211491', 2: 484.01985693171525, 3: '0.0', 4: '0.0'} 
{0: '0.363636363636', 1: '1.73286211491', 2: 457.2431568219248, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '1.73286211491', 2: 465.3716039550759, 3: '0.0', 4: '0.0'} 
{0: '0.307692307692', 1: '1.73286211491', 2: 445.19588510138306, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '1.73286211491', 2: 453.89607630483999, 3: '0.0', 4: '0.0'} 
{0: '0.266666666667', 1: '1.73286211491', 2: 428.31763009218247, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.73286211491', 2: 427.60104576321976, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '1.73286211491', 2: 437.09267200490802, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '1.73286211491', 2: 408.95124790648225, 3: '0.0', 4: '0.0'} 
{0: '0.210526315789', 1: '1.73286211491', 2: 422.86393969795938, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.73286211491', 2: 415.30224929982722, 3: '0.0', 4: '0.0'} 
{0: '0.190476190476', 1: '1.73286211491', 2: 395.07998697409209, 3: '0.0', 4: '0.0'} 
{0: '0.181818181818', 1: '1.73286211491', 2: 380.86008597156075, 3: '0.0', 4: '0.0'} 
{0: '0.217391304348', 1: '1.44269990921', 2: 383.55792440523885, 3: '0.0', 4: '0.0'} 
{0: '0.208333333333', 1: '1.44269990921', 2: 358.32651969860507, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.44269990921', 2: 352.27684187032969, 3: '0.0', 4: '0.0'} 
{0: '0.192307692308', 1: '1.44269990921', 2: 346.34674414039841, 3: '0.0', 4: '0.0'} 
{0: '0.185185185185', 1: '1.44269990921', 2: 362.06853337093924, 3: '0.0', 4: '0.0'} 
{0: '0.214285714286', 1: '1.2011244297', 2: 354.14916309453787, 3: '0.0', 4: '0.0'} 
{0: '0.206896551724', 1: '1.2011244297', 2: 357.38612497657533, 3: '0.0', 4: '0.0'} 
{0: '0.233333333333', 1: '1.44269990921', 2: 366.3036340615821, 3: '0.0', 4: '0.0'} 
{0: '0.225806451613', 1: '1.44269990921', 2: 354.29854620277598, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.2011244297', 2: 336.57610595529098, 3: '0.0', 4: '0.0'} 
{0: '0.242424242424', 1: '1.2011244297', 2: 348.06945706942525, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '1.2011244297', 2: 328.13695537264522, 3: '0.0', 4: '0.0'} 
{0: '0.228571428571', 1: '1.2011244297', 2: 342.91303484674626, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.44269990921', 2: 331.43618452827417, 3: '0.0', 4: '0.0'} 
{0: '0.243243243243', 1: '1.44269990921', 2: 327.39695339162205, 3: '0.0', 4: '0.0'} 
{0: '0.263157894737', 1: '1.2011244297', 2: 327.64656878567831, 3: '0.0', 4: '0.0'} 
{0: '0.25641025641', 1: '1.2011244297', 2: 321.84504102639261, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.2011244297', 2: 306.81420375766504, 3: '0.0', 4: '0.0'} 
{0: '0.243902439024', 1: '1.2011244297', 2: 316.5157271775019, 3: '0.0', 4: '0.0'} 
{0: '0.261904761905', 1: '1.44269990921', 2: 342.75075927989525, 3: '0.0', 4: '0.0'} 
{0: '0.255813953488', 1: '1.44269990921', 2: 332.47324406735339, 3: '0.0', 4: '0.0'} 
{0: '0.272727272727', 1: '1.2011244297', 2: 310.10995432401484, 3: '0.0', 4: '0.0'} 
{0: '0.266666666667', 1: '1.2011244297', 2: 317.02385093741697, 3: '0.0', 4: '0.0'} 
{0: '0.260869565217', 1: '1.2011244297', 2: 318.31451287876519, 3: '0.0', 4: '0.0'} 
{0: '0.255319148936', 1: '1.2011244297', 2: 305.52194851745139, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.2011244297', 2: 318.70807495106646, 3: '0.0', 4: '0.0'} 
{0: '0.244897959184', 1: '1.2011244297', 2: 311.26816243243809, 3: '0.0', 4: '0.0'} 
{0: '0.24', 1: '1.2011244297', 2: 312.42993803222538, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '1.2011244297', 2: 302.05320276136558, 3: '0.0', 4: '0.0'} 
{0: '0.230769230769', 1: '1.2011244297', 2: 307.29858331660279, 3: '0.0', 4: '0.0'} 
{0: '0.22641509434', 1: '1.2011244297', 2: 301.99893197614801, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 297.97113399460994, 3: '0.0', 4: '0.0'} 
{0: '0.218181818182', 1: '1.2011244297', 2: 294.91669460426908, 3: '0.0', 4: '0.0'} 
{0: '0.214285714286', 1: '1.2011244297', 2: 304.7069798153006, 3: '0.0', 4: '0.0'} 
{0: '0.210526315789', 1: '1.2011244297', 2: 306.91487512601276, 3: '0.0', 4: '0.0'} 
{0: '0.206896551724', 1: '1.2011244297', 2: 305.22906659179284, 3: '0.0', 4: '0.0'} 
{0: '0.203389830508', 1: '1.2011244297', 2: 310.35036332728805, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.2011244297', 2: 309.21041532473367, 3: '0.0', 4: '0.0'} 
{0: '0.196721311475', 1: '1.2011244297', 2: 299.27433863916548, 3: '0.0', 4: '0.0'} 
{0: '0.193548387097', 1: '1.2011244297', 2: 297.48137250752023, 3: '0.0', 4: '0.0'} 
{0: '0.190476190476', 1: '1.2011244297', 2: 295.08327928999478, 3: '0.0', 4: '0.0'} 
{0: '0.1875', 1: '1.2011244297', 2: 293.15110068815039, 3: '0.0', 4: '0.0'} 
{0: '0.184615384615', 1: '1.2011244297', 2: 299.02492298033428, 3: '0.0', 4: '0.0'} 
{0: '0.181818181818', 1: '1.2011244297', 2: 318.6748036674154, 3: '0.0', 4: '0.0'} 
{0: '0.179104477612', 1: '1.2011244297', 2: 313.92603927557514, 3: '0.0', 4: '0.0'} 
{0: '0.191176470588', 1: '1.44269990921', 2: 326.73036355645502, 3: '0.0', 4: '0.0'} 
{0: '0.188405797101', 1: '1.44269990921', 2: 309.03321571717549, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.2011244297', 2: 314.85025704843315, 3: '0.0', 4: '0.0'} 
{0: '0.197183098592', 1: '1.2011244297', 2: 303.28379920200001, 3: '0.0', 4: '0.0'} 
{0: '0.194444444444', 1: '1.2011244297', 2: 308.72500801945409, 3: '0.0', 4: '0.0'} 
{0: '0.191780821918', 1: '1.2011244297', 2: 308.18133741629998, 3: '0.0', 4: '0.0'} 
{0: '0.189189189189', 1: '1.2011244297', 2: 314.40782735365838, 3: '0.0', 4: '0.0'} 
{0: '0.186666666667', 1: '1.2011244297', 2: 296.08580923634736, 3: '0.0', 4: '0.0'} 
{0: '0.184210526316', 1: '1.2011244297', 2: 313.73792316006984, 3: '0.0', 4: '0.0'} 
{0: '0.181818181818', 1: '1.2011244297', 2: 318.11353850622623, 3: '0.0', 4: '0.0'} 
{0: '0.179487179487', 1: '1.2011244297', 2: 315.78844266842708, 3: '0.0', 4: '0.0'} 
{0: '0.177215189873', 1: '1.2011244297', 2: 308.21936068958831, 3: '0.0', 4: '0.0'} 
{0: '0.175', 1: '1.2011244297', 2: 309.3124527543294, 3: '0.0', 4: '0.0'} 
{0: '0.172839506173', 1: '1.2011244297', 2: 312.64241388218227, 3: '0.0', 4: '0.0'} 
{0: '0.170731707317', 1: '1.2011244297', 2: 318.26394133522979, 3: '0.0', 4: '0.0'} 
{0: '0.168674698795', 1: '1.2011244297', 2: 308.99715926565779, 3: '0.0', 4: '0.0'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 322.35968364262055, 3: '0.0', 4: '0.0'} 
{0: '0.164705882353', 1: '1.2011244297', 2: 312.89013102453413, 3: '0.0', 4: '0.0'} 
{0: '0.162790697674', 1: '1.2011244297', 2: 314.54932941236109, 3: '0.0', 4: '0.0'} 
{0: '0.16091954023', 1: '1.2011244297', 2: 308.40948303418799, 3: '0.0', 4: '0.0'} 
{0: '0.159090909091', 1: '1.2011244297', 2: 323.11113201934069, 3: '0.0', 4: '0.0'} 
{0: '0.157303370787', 1: '1.2011244297', 2: 304.76951258002123, 3: '0.0', 4: '0.0'} 
{0: '0.155555555556', 1: '1.2011244297', 2: 314.74398240271393, 3: '0.0', 4: '0.0'} 
{0: '0.153846153846', 1: '1.2011244297', 2: 312.02005804560378, 3: '0.0', 4: '0.0'} 
{0: '0.152173913043', 1: '1.2011244297', 2: 307.00479653010927, 3: '0.0', 4: '0.0'} 
{0: '0.150537634409', 1: '1.2011244297', 2: 303.95140046859905, 3: '0.0', 4: '0.0'} 
{0: '0.148936170213', 1: '1.2011244297', 2: 292.84662529536564, 3: '0.0', 4: '0.0'} 
{0: '0.147368421053', 1: '1.2011244297', 2: 309.66781274426887, 3: '0.0', 4: '0.0'} 
{0: '0.145833333333', 1: '1.2011244297', 2: 309.25640879115497, 3: '0.0', 4: '0.0'} 
{0: '0.144329896907', 1: '1.2011244297', 2: 308.34429843763121, 3: '0.0', 4: '0.0'} 
{0: '0.142857142857', 1: '1.2011244297', 2: 308.95359100064763, 3: '0.0', 4: '0.0'} 
