{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq244/active_jobs/8955507.1/1.iq244\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'4\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv8/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955507\', \'JOB_ID\': \'8955507\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq244\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq235\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 58609 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv8/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955507\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq235/active_jobs/8955507.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'347406336.3;tcp://172.19.12.244:34257\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'347406336.0;tcp://172.19.12.235:34891\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955507.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq235:45735\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv8/scripts\', \'TMPDIR\': \'/tmp/8955507.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'9cb2bfe4e17dd518-dbd69116e066e4b4\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'5\', \'SSH_TTY\': \'/dev/pts/41\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'5\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 58609 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955507.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955507.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'347406337\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv8/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955507.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff347406336\\xff-mca\\xfforte_ess_vpid\\xff3\\xff-mca\\xfforte_ess_num_procs\\xff4\\xff--hnp-uri\\xff"347406336.0;tcp://172.19.12.235:34891"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_VVpK9q\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_cv8/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '2.5', 2: 531.87159990670261, 3: '0', 4: '0'} 
{0: '1.0', 1: '2.08138298988', 2: 533.99051017009742, 3: '1.0', 4: '0.0'} 
{0: '1.0', 1: '1.73286211491', 2: 492.16330103146288, 3: '0.5', 4: '0.0'} 
{0: '1.0', 1: '1.44269990921', 2: 475.42899730680824, 3: '0.333333333333', 4: '0.0'} 
{0: '0.75', 1: '1.44269990921', 2: 468.91312423379941, 3: '0.25', 4: '0.0'} 
{0: '0.6', 1: '1.44269990921', 2: 451.22648420815824, 3: '0.2', 4: '0.0'} 
{0: '0.5', 1: '1.44269990921', 2: 458.7353810354619, 3: '0.166666666667', 4: '0.0'} 
{0: '0.571428571429', 1: '1.73286211491', 2: 452.43651983430459, 3: '0.142857142857', 4: '0.0'} 
{0: '0.5', 1: '1.73286211491', 2: 443.72867767279553, 3: '0.125', 4: '0.0'} 
{0: '0.444444444444', 1: '1.73286211491', 2: 414.47528646108714, 3: '0.111111111111', 4: '0.0'} 
{0: '0.4', 1: '1.73286211491', 2: 416.78024756453578, 3: '0.1', 4: '0.0'} 
{0: '0.454545454545', 1: '1.44269990921', 2: 417.09800970120813, 3: '0.0909090909091', 4: '0.0'} 
{0: '0.416666666667', 1: '1.44269990921', 2: 424.73230183165236, 3: '0.0833333333333', 4: '0.0'} 
{0: '0.384615384615', 1: '1.44269990921', 2: 406.25025095893488, 3: '0.0769230769231', 4: '0.0'} 
{0: '0.428571428571', 1: '1.2011244297', 2: 387.61796790074374, 3: '0.0714285714286', 4: '0.0'} 
{0: '0.4', 1: '1.2011244297', 2: 385.31437317195457, 3: '0.0666666666667', 4: '0.0'} 
{0: '0.375', 1: '1.2011244297', 2: 390.85053237699617, 3: '0.0625', 4: '0.0'} 
{0: '0.352941176471', 1: '1.2011244297', 2: 397.46469026206785, 3: '0.0588235294118', 4: '0.0'} 
{0: '0.388888888889', 1: '1.44269990921', 2: 403.11340512029909, 3: '0.0555555555556', 4: '0.0'} 
{0: '0.368421052632', 1: '1.44269990921', 2: 399.01518665527578, 3: '0.0526315789474', 4: '0.0'} 
{0: '0.35', 1: '1.44269990921', 2: 400.5136426628913, 3: '0.05', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 396.63368703728497, 3: '0.047619047619', 4: '0.0'} 
{0: '0.318181818182', 1: '1.44269990921', 2: 404.3109231695496, 3: '0.0454545454545', 4: '0.0'} 
{0: '0.304347826087', 1: '1.44269990921', 2: 383.54861545974245, 3: '0.0434782608696', 4: '0.0'} 
{0: '0.291666666667', 1: '1.44269990921', 2: 395.22951629715197, 3: '0.0416666666667', 4: '0.0'} 
{0: '0.28', 1: '1.44269990921', 2: 380.40782242838634, 3: '0.04', 4: '0.0'} 
{0: '0.269230769231', 1: '1.44269990921', 2: 376.04108573571784, 3: '0.0384615384615', 4: '0.0'} 
{0: '0.259259259259', 1: '1.44269990921', 2: 373.50443812913795, 3: '0.037037037037', 4: '0.0'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 371.8418741641641, 3: '0.0357142857143', 4: '0.0'} 
{0: '0.275862068966', 1: '1.2011244297', 2: 376.82443707491569, 3: '0.0344827586207', 4: '0.0'} 
{0: '0.3', 1: '1.44269990921', 2: 387.32822407546877, 3: '0.0333333333333', 4: '0.0'} 
{0: '0.290322580645', 1: '1.44269990921', 2: 378.81020643559572, 3: '0.0322580645161', 4: '0.0'} 
{0: '0.3125', 1: '1.2011244297', 2: 372.08803863198568, 3: '0.03125', 4: '0.0'} 
{0: '0.30303030303', 1: '1.2011244297', 2: 380.74517990331822, 3: '0.030303030303', 4: '0.0'} 
{0: '0.323529411765', 1: '1.44269990921', 2: 368.10188443909959, 3: '0.0294117647059', 4: '0.0'} 
{0: '0.314285714286', 1: '1.44269990921', 2: 394.32233608395359, 3: '0.0285714285714', 4: '0.0'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 383.88512297243346, 3: '0.0277777777778', 4: '0.0'} 
{0: '0.324324324324', 1: '1.2011244297', 2: 362.17389291545402, 3: '0.027027027027', 4: '0.0'} 
{0: '0.342105263158', 1: '1.44269990921', 2: 378.45523878231222, 3: '0.0263157894737', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 373.44524287286669, 3: '0.025641025641', 4: '0.0'} 
{0: '0.35', 1: '1.2011244297', 2: 368.56669496018492, 3: '0.025', 4: '0.0'} 
{0: '0.341463414634', 1: '1.2011244297', 2: 371.55079987347381, 3: '0.0243902439024', 4: '0.0'} 
{0: '0.357142857143', 1: '1.44269990921', 2: 364.34302914910535, 3: '0.0238095238095', 4: '0.0'} 
{0: '0.348837209302', 1: '1.44269990921', 2: 375.81115607724615, 3: '0.0232558139535', 4: '0.0'} 
{0: '0.340909090909', 1: '1.44269990921', 2: 362.39089485233899, 3: '0.0227272727273', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 363.47589504242353, 3: '0.0222222222222', 4: '0.0'} 
{0: '0.347826086957', 1: '1.2011244297', 2: 362.63674071779428, 3: '0.0217391304348', 4: '0.0'} 
{0: '0.340425531915', 1: '1.2011244297', 2: 360.04791673819898, 3: '0.0212765957447', 4: '0.0'} 
{0: '0.354166666667', 1: '1.44269990921', 2: 362.17686384064928, 3: '0.0208333333333', 4: '0.0'} 
{0: '0.34693877551', 1: '1.44269990921', 2: 367.46685064584716, 3: '0.0204081632653', 4: '0.0'} 
{0: '0.34', 1: '1.44269990921', 2: 368.82132559206173, 3: '0.02', 4: '0.0'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 365.8052792871743, 3: '0.0196078431373', 4: '0.0'} 
{0: '0.326923076923', 1: '1.44269990921', 2: 361.32002456322419, 3: '0.0192307692308', 4: '0.0'} 
{0: '0.320754716981', 1: '1.44269990921', 2: 357.38840348174551, 3: '0.0188679245283', 4: '0.0'} 
{0: '0.314814814815', 1: '1.44269990921', 2: 345.11654048030039, 3: '0.0185185185185', 4: '0.0'} 
{0: '0.309090909091', 1: '1.44269990921', 2: 346.54805424449705, 3: '0.0181818181818', 4: '0.0'} 
{0: '0.321428571429', 1: '1.2011244297', 2: 327.19594422022794, 3: '0.0178571428571', 4: '0.0'} 
{0: '0.333333333333', 1: '1.0', 2: 329.24244154194258, 3: '0.0175438596491', 4: '0.0'} 
{0: '0.327586206897', 1: '1.0', 2: 332.04550244495016, 3: '0.0172413793103', 4: '0.0172413793103'} 
{0: '0.338983050847', 1: '1.2011244297', 2: 336.77486446470516, 3: '0.0169491525424', 4: '0.0338983050847'} 
{0: '0.35', 1: '1.44269990921', 2: 354.68345871206668, 3: '0.0166666666667', 4: '0.0333333333333'} 
{0: '0.344262295082', 1: '1.44269990921', 2: 363.59303139991476, 3: '0.016393442623', 4: '0.0327868852459'} 
{0: '0.338709677419', 1: '1.44269990921', 2: 359.49046823751303, 3: '0.0161290322581', 4: '0.0322580645161'} 
{0: '0.333333333333', 1: '1.44269990921', 2: 345.03544515883692, 3: '0.015873015873', 4: '0.031746031746'} 
{0: '0.328125', 1: '1.44269990921', 2: 351.72942674461433, 3: '0.015625', 4: '0.03125'} 
{0: '0.323076923077', 1: '1.44269990921', 2: 356.60399249295017, 3: '0.0153846153846', 4: '0.0307692307692'} 
{0: '0.318181818182', 1: '1.44269990921', 2: 363.59061822225397, 3: '0.0151515151515', 4: '0.030303030303'} 
{0: '0.313432835821', 1: '1.44269990921', 2: 380.8242055088985, 3: '0.0149253731343', 4: '0.0298507462687'} 
{0: '0.308823529412', 1: '1.44269990921', 2: 364.16916133420989, 3: '0.0147058823529', 4: '0.0294117647059'} 
{0: '0.304347826087', 1: '1.44269990921', 2: 355.22057994409454, 3: '0.0144927536232', 4: '0.0289855072464'} 
{0: '0.3', 1: '1.44269990921', 2: 350.11774354235803, 3: '0.0142857142857', 4: '0.0285714285714'} 
{0: '0.295774647887', 1: '1.44269990921', 2: 354.93615000499619, 3: '0.0140845070423', 4: '0.0281690140845'} 
{0: '0.291666666667', 1: '1.44269990921', 2: 363.94959912212374, 3: '0.0138888888889', 4: '0.0277777777778'} 
{0: '0.287671232877', 1: '1.44269990921', 2: 357.43792000256479, 3: '0.013698630137', 4: '0.027397260274'} 
{0: '0.283783783784', 1: '1.44269990921', 2: 364.71491667569978, 3: '0.0135135135135', 4: '0.027027027027'} 
{0: '0.293333333333', 1: '1.73286211491', 2: 360.72833964313844, 3: '0.0133333333333', 4: '0.0266666666667'} 
{0: '0.289473684211', 1: '1.73286211491', 2: 360.99319662274786, 3: '0.0131578947368', 4: '0.0263157894737'} 
{0: '0.298701298701', 1: '1.44269990921', 2: 358.58800513602932, 3: '0.012987012987', 4: '0.025974025974'} 
{0: '0.294871794872', 1: '1.44269990921', 2: 370.68433528417677, 3: '0.0128205128205', 4: '0.025641025641'} 
{0: '0.291139240506', 1: '1.44269990921', 2: 354.92865913204196, 3: '0.0126582278481', 4: '0.0253164556962'} 
{0: '0.2875', 1: '1.44269990921', 2: 362.27186550559401, 3: '0.0125', 4: '0.025'} 
{0: '0.283950617284', 1: '1.44269990921', 2: 348.61380568073287, 3: '0.0123456790123', 4: '0.0246913580247'} 
{0: '0.280487804878', 1: '1.44269990921', 2: 362.12399886468825, 3: '0.0121951219512', 4: '0.0243902439024'} 
{0: '0.277108433735', 1: '1.44269990921', 2: 350.94036563689417, 3: '0.0120481927711', 4: '0.0240963855422'} 
{0: '0.27380952381', 1: '1.44269990921', 2: 360.71754873119733, 3: '0.0119047619048', 4: '0.0238095238095'} 
{0: '0.270588235294', 1: '1.44269990921', 2: 365.82320044488222, 3: '0.0117647058824', 4: '0.0235294117647'} 
{0: '0.267441860465', 1: '1.44269990921', 2: 345.11080039220707, 3: '0.0116279069767', 4: '0.0232558139535'} 
{0: '0.264367816092', 1: '1.44269990921', 2: 333.11764166830068, 3: '0.0114942528736', 4: '0.0229885057471'} 
{0: '0.272727272727', 1: '1.2011244297', 2: 334.64976601982607, 3: '0.0113636363636', 4: '0.0227272727273'} 
{0: '0.280898876404', 1: '1.0', 2: 333.81558664371931, 3: '0.0112359550562', 4: '0.0224719101124'} 
{0: '0.277777777778', 1: '1.0', 2: 338.14763805374383, 3: '0.0111111111111', 4: '0.0333333333333'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 340.37331788181075, 3: '0.010989010989', 4: '0.043956043956'} 
