{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': "{'SGE_STDIN_PATH': '/dev/null', 'SGE_JOB_SPOOL_DIR': '/var/spool/sge/qb3cell/iq255/active_jobs/8955508.1', 'UPSTART_EVENTS': 'runlevel', 'ENVIRONMENT': 'BATCH', 'NHOSTS': '5', 'OMPI_MCA_orte_num_nodes': '5', 'OMPI_MCA_orte_app_num': '0', 'previous': 'N', 'CONSOLETYPE': 'vt', 'SHELL': '/bin/bash', 'PREVLEVEL': 'N', 'LANGSH_SOURCED': '1', 'UPSTART_INSTANCE': '', 'runlevel': '3', 'SGE_STDERR_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv9/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955508', 'JOB_ID': '8955508', 'PYTHONPATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi', 'REQUEST': 'nup84.isd.modeling500_batchsubmit.sh', 'SGE_CLUSTER_NAME': 'qb3cluster', 'SGE_TASK_STEPSIZE': 'undefined', 'HOSTNAME': 'iq255', 'OMPI_MCA_orte_ess_num_procs': '6', 'SELINUX_LEVEL_REQUESTED': '', 'SGE_O_HOST': 'chef', 'RUNLEVEL': '3', 'MAIL': '/var/spool/mail/saxen', 'MPI_INCLUDE': '/netopt/mpi/openmpi-1.6.5-nodlopen/include', 'SSH_CONNECTION': '24.4.149.176 58609 169.230.126.5 22', 'SGE_STDOUT_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv9/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955508', 'SGE_O_SHELL': '/bin/bash', 'PE_HOSTFILE': '/var/spool/sge/qb3cell/iq255/active_jobs/8955508.1/pe_hostfile', 'OMPI_MCA_orte_num_restarts': '0', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'CVS_RSH': 'ssh', 'USER': 'saxen', 'HOME': '/netapp/home/saxen', 'SHLVL': '2', 'JOB_NAME': 'nup84.isd.modeling500_batchsubmit.sh', 'OMPI_MCA_orte_local_daemon_uri': '3307274240.0;tcp://172.19.13.1:33907', 'PE': 'ompi', 'NQUEUES': '5', 'JOB_SCRIPT': '/var/spool/sge/qb3cell/iq255/job_scripts/8955508', 'MODULESHOME': '/usr/share/Modules', 'SGE_ROOT': '/usr/local/sge', 'OMPI_MCA_orte_ess_node_rank': '0', 'OMPI_COMM_WORLD_NODE_RANK': '0', 'UPSTART_JOB': 'rc', 'SGE_O_HOME': '/netapp/home/saxen', 'OMPI_COMM_WORLD_LOCAL_SIZE': '1', 'TMPDIR': '/tmp/8955508.1.long.q', 'MODULEPATH': '/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles', 'OMPI_MCA_orte_cpu_model': 'Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz', 'SGE_BINARY_PATH': '/usr/local/sge/bin/linux-x64', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:', 'OMPI_MCA_orte_hnp_uri': '3307274240.0;tcp://172.19.13.1:33907', 'OMPI_COMM_WORLD_SIZE': '6', '_LMFILES_': '/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64', 'TMP': '/tmp/8955508.1.long.q', 'RESTARTED': '0', 'SGE_O_MAIL': '/var/spool/mail/saxen', 'QUEUE': 'long.q', 'SELINUX_USE_CURRENT_RANGE': '', 'SGE_TASK_FIRST': 'undefined', 'MPI_BIN': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin', 'HISTSIZE': '1000', 'LD_LIBRARY_PATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'MPI_LIB': '/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'LANG': 'en_US.UTF-8', 'G_BROKEN_FILENAMES': '1', 'SGE_CWD_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv9/scripts', '_': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin/mpirun', 'OMPI_MCA_orte_precondition_transports': 'afeb8eafacb00505-43181c2d3b704041', 'SGE_TASK_ID': 'undefined', 'MPI_SYSCONFIG': '/netopt/mpi/openmpi-1.6.5-nodlopen/etc', 'SELINUX_ROLE_REQUESTED': '', 'OMPI_COMM_WORLD_LOCAL_RANK': '0', 'BASH_FUNC_module()': '() {  eval `/usr/bin/modulecmd bash $*`\\n}', 'OMPI_UNIVERSE_SIZE': '6', 'OMPI_COMM_WORLD_RANK': '0', 'SSH_TTY': '/dev/pts/41', 'OMPI_MCA_mpi_yield_when_idle': '0', 'SGE_CELL': 'qb3cell', 'OMPI_MCA_ess': 'env', 'OMPI_MCA_shmem_RUNTIME_QUERY_hint': 'mmap', 'NSLOTS': '6', 'OMPI_MCA_orte_ess_vpid': '0', 'REQNAME': 'nup84.isd.modeling500_batchsubmit.sh', 'SSH_CLIENT': '24.4.149.176 58609 22', 'LOGNAME': 'saxen', 'SGE_QMASTER_PORT': '6444', 'PATH': '/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955508.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin', 'OMPI_MCA_orte_ess_jobid': '3307274241', 'SGE_O_WORKDIR': '/netapp/home/saxen/bmi206_final_project/nup84_cv9/scripts', 'TERM': 'ansi', 'SGE_O_PATH': '/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin', 'OPAL_OUTPUT_STDERR_FD': '28', 'SGE_ACCOUNT': 'sge', 'SGE_EXECD_PORT': '6445', 'ROSETTADIR': '/netapp/home/thompson/Rosetta/rosetta_2014.35', 'OMPI_MCA_orte_cpu_type': 'GenuineIntel', 'MPI_HOME': '/netopt/mpi/openmpi-1.6.5-nodlopen', 'KRB5CCNAME': 'FILE:/tmp/krb5cc_60484_VVpK9q', 'SGE_O_LOGNAME': 'saxen', 'WISECONFIGDIR': '/usr/share/wise2/', 'SGE_ARCH': 'linux-x64', 'SGE_TASK_LAST': 'undefined', 'LOADEDMODULES': 'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64', 'SGE_RSH_COMMAND': 'builtin', 'HISTCONTROL': 'ignoredups', 'PWD': '/netapp/home/saxen/bmi206_final_project/nup84_cv9/scripts', 'ARC': 'linux-x64', 'MPI_MAN': '/netopt/mpi/openmpi-1.6.5-nodlopen/share/man'}"} 
{0: '0', 1: '1.0', 2: 6296730.4412536016, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.2011244297', 2: 5842900.0133857252, 3: '0.0', 4: '1.0'} 
{0: '1.0', 1: '1.44269990921', 2: 5325030.017231795, 3: '0.0', 4: '0.5'} 
{0: '1.0', 1: '1.73286211491', 2: 4725992.552680701, 3: '0.0', 4: '0.333333333333'} 
{0: '1.0', 1: '2.08138298988', 2: 4247749.2167380527, 3: '0.0', 4: '0.25'} 
{0: '1.0', 1: '2.5', 2: 3881303.6448022947, 3: '0.0', 4: '0.2'} 
{0: '0.833333333333', 1: '2.5', 2: 3341908.4785216232, 3: '0.166666666667', 4: '0.166666666667'} 
{0: '0.714285714286', 1: '2.5', 2: 2943592.2843890139, 3: '0.285714285714', 4: '0.142857142857'} 
{0: '0.625', 1: '2.5', 2: 2602537.6675436795, 3: '0.375', 4: '0.125'} 
{0: '0.555555555556', 1: '2.5', 2: 2190896.0079611689, 3: '0.444444444444', 4: '0.111111111111'} 
{0: '0.5', 1: '2.5', 2: 1906364.2218206506, 3: '0.5', 4: '0.1'} 
{0: '0.454545454545', 1: '2.5', 2: 1621079.8630884595, 3: '0.545454545455', 4: '0.0909090909091'} 
{0: '0.416666666667', 1: '2.5', 2: 1438475.0238804747, 3: '0.583333333333', 4: '0.0833333333333'} 
{0: '0.384615384615', 1: '2.5', 2: 1306483.5341865921, 3: '0.615384615385', 4: '0.0769230769231'} 
{0: '0.357142857143', 1: '2.5', 2: 1156528.2044937168, 3: '0.642857142857', 4: '0.0714285714286'} 
{0: '0.333333333333', 1: '2.5', 2: 971051.01608001639, 3: '0.666666666667', 4: '0.0666666666667'} 
{0: '0.3125', 1: '2.5', 2: 797623.71708031511, 3: '0.6875', 4: '0.0625'} 
{0: '0.294117647059', 1: '2.5', 2: 655364.38491250575, 3: '0.705882352941', 4: '0.0588235294118'} 
{0: '0.277777777778', 1: '2.5', 2: 577157.45118286845, 3: '0.722222222222', 4: '0.0555555555556'} 
{0: '0.263157894737', 1: '2.5', 2: 475166.47281377116, 3: '0.736842105263', 4: '0.0526315789474'} 
{0: '0.25', 1: '2.5', 2: 420818.5008218257, 3: '0.75', 4: '0.05'} 
{0: '0.238095238095', 1: '2.5', 2: 366316.2763295286, 3: '0.761904761905', 4: '0.047619047619'} 
{0: '0.227272727273', 1: '2.5', 2: 301994.54420534172, 3: '0.772727272727', 4: '0.0454545454545'} 
{0: '0.217391304348', 1: '2.5', 2: 244220.93629548748, 3: '0.782608695652', 4: '0.0434782608696'} 
{0: '0.208333333333', 1: '2.5', 2: 213947.44309015266, 3: '0.791666666667', 4: '0.0416666666667'} 
{0: '0.2', 1: '2.5', 2: 183298.25201515309, 3: '0.8', 4: '0.04'} 
{0: '0.192307692308', 1: '2.5', 2: 161610.3048438245, 3: '0.807692307692', 4: '0.0384615384615'} 
{0: '0.185185185185', 1: '2.5', 2: 114093.59903858155, 3: '0.814814814815', 4: '0.037037037037'} 
{0: '0.178571428571', 1: '2.5', 2: 93441.818637406439, 3: '0.821428571429', 4: '0.0357142857143'} 
{0: '0.172413793103', 1: '2.5', 2: 69583.488161703295, 3: '0.827586206897', 4: '0.0344827586207'} 
{0: '0.166666666667', 1: '2.5', 2: 54485.305263305796, 3: '0.833333333333', 4: '0.0333333333333'} 
{0: '0.161290322581', 1: '2.5', 2: 39780.188152704861, 3: '0.838709677419', 4: '0.0322580645161'} 
{0: '0.15625', 1: '2.5', 2: 26968.746084794795, 3: '0.84375', 4: '0.03125'} 
{0: '0.151515151515', 1: '2.5', 2: 16166.422367521971, 3: '0.848484848485', 4: '0.030303030303'} 
{0: '0.147058823529', 1: '2.5', 2: 8662.9574389430036, 3: '0.852941176471', 4: '0.0294117647059'} 
{0: '0.142857142857', 1: '2.5', 2: 5063.0888245033411, 3: '0.857142857143', 4: '0.0285714285714'} 
{0: '0.138888888889', 1: '2.5', 2: 2697.7768403887171, 3: '0.861111111111', 4: '0.0277777777778'} 
{0: '0.135135135135', 1: '2.5', 2: 1129.4401542352182, 3: '0.864864864865', 4: '0.027027027027'} 
{0: '0.131578947368', 1: '2.5', 2: 620.23963026642309, 3: '0.868421052632', 4: '0.0263157894737'} 
{0: '0.128205128205', 1: '2.5', 2: 525.74844294403567, 3: '0.871794871795', 4: '0.025641025641'} 
{0: '0.125', 1: '2.5', 2: 556.59304805503598, 3: '0.875', 4: '0.025'} 
{0: '0.146341463415', 1: '2.08138298988', 2: 544.34080817552717, 3: '0.878048780488', 4: '0.0243902439024'} 
{0: '0.166666666667', 1: '1.73286211491', 2: 535.76561026866557, 3: '0.857142857143', 4: '0.0238095238095'} 
{0: '0.186046511628', 1: '1.44269990921', 2: 531.15823843875103, 3: '0.837209302326', 4: '0.0232558139535'} 
{0: '0.181818181818', 1: '1.44269990921', 2: 526.53724341604232, 3: '0.818181818182', 4: '0.0227272727273'} 
{0: '0.177777777778', 1: '1.44269990921', 2: 516.10220418355118, 3: '0.8', 4: '0.0222222222222'} 
{0: '0.173913043478', 1: '1.44269990921', 2: 512.67503806604179, 3: '0.782608695652', 4: '0.0217391304348'} 
{0: '0.170212765957', 1: '1.44269990921', 2: 513.39780895625836, 3: '0.765957446809', 4: '0.0212765957447'} 
{0: '0.166666666667', 1: '1.44269990921', 2: 528.90040582220013, 3: '0.75', 4: '0.0208333333333'} 
{0: '0.183673469388', 1: '1.73286211491', 2: 513.21736564845889, 3: '0.734693877551', 4: '0.0204081632653'} 
{0: '0.18', 1: '1.73286211491', 2: 512.71576575557879, 3: '0.72', 4: '0.02'} 
{0: '0.176470588235', 1: '1.73286211491', 2: 516.23214742300411, 3: '0.705882352941', 4: '0.0196078431373'} 
{0: '0.192307692308', 1: '2.08138298988', 2: 508.51788449551321, 3: '0.692307692308', 4: '0.0192307692308'} 
{0: '0.188679245283', 1: '2.08138298988', 2: 505.11488831515788, 3: '0.679245283019', 4: '0.0188679245283'} 
{0: '0.203703703704', 1: '1.73286211491', 2: 507.36971442164401, 3: '0.666666666667', 4: '0.0185185185185'} 
{0: '0.2', 1: '1.73286211491', 2: 514.08496867907388, 3: '0.654545454545', 4: '0.0181818181818'} 
{0: '0.196428571429', 1: '1.73286211491', 2: 515.37185002896808, 3: '0.642857142857', 4: '0.0178571428571'} 
{0: '0.19298245614', 1: '1.73286211491', 2: 516.99304364714465, 3: '0.631578947368', 4: '0.0175438596491'} 
{0: '0.206896551724', 1: '2.08138298988', 2: 520.91291498207113, 3: '0.620689655172', 4: '0.0172413793103'} 
{0: '0.203389830508', 1: '2.08138298988', 2: 512.45671352833722, 3: '0.610169491525', 4: '0.0169491525424'} 
{0: '0.216666666667', 1: '1.73286211491', 2: 506.34072256228995, 3: '0.6', 4: '0.0166666666667'} 
{0: '0.213114754098', 1: '1.73286211491', 2: 509.26022808645996, 3: '0.590163934426', 4: '0.016393442623'} 
{0: '0.209677419355', 1: '1.73286211491', 2: 516.98441580911469, 3: '0.58064516129', 4: '0.0161290322581'} 
{0: '0.206349206349', 1: '1.73286211491', 2: 514.08014853002192, 3: '0.571428571429', 4: '0.015873015873'} 
{0: '0.21875', 1: '2.08138298988', 2: 506.27127053845487, 3: '0.5625', 4: '0.015625'} 
{0: '0.215384615385', 1: '2.08138298988', 2: 514.0671296859573, 3: '0.553846153846', 4: '0.0153846153846'} 
{0: '0.212121212121', 1: '2.08138298988', 2: 505.71586605788605, 3: '0.545454545455', 4: '0.0151515151515'} 
{0: '0.208955223881', 1: '2.08138298988', 2: 513.54392895961894, 3: '0.537313432836', 4: '0.0149253731343'} 
{0: '0.220588235294', 1: '1.73286211491', 2: 506.77704679357782, 3: '0.529411764706', 4: '0.0147058823529'} 
{0: '0.217391304348', 1: '1.73286211491', 2: 500.77495133386333, 3: '0.521739130435', 4: '0.0144927536232'} 
{0: '0.214285714286', 1: '1.73286211491', 2: 486.90702175017032, 3: '0.514285714286', 4: '0.0142857142857'} 
{0: '0.211267605634', 1: '1.73286211491', 2: 494.30948100759412, 3: '0.507042253521', 4: '0.0140845070423'} 
{0: '0.208333333333', 1: '1.73286211491', 2: 511.21565609696023, 3: '0.5', 4: '0.0138888888889'} 
{0: '0.205479452055', 1: '1.73286211491', 2: 513.25142141962749, 3: '0.493150684932', 4: '0.013698630137'} 
{0: '0.216216216216', 1: '2.08138298988', 2: 502.8442031871158, 3: '0.486486486486', 4: '0.0135135135135'} 
{0: '0.213333333333', 1: '2.08138298988', 2: 510.66214919502966, 3: '0.48', 4: '0.0133333333333'} 
{0: '0.210526315789', 1: '2.08138298988', 2: 527.78130369362452, 3: '0.473684210526', 4: '0.0131578947368'} 
{0: '0.220779220779', 1: '2.5', 2: 523.10291383442495, 3: '0.467532467532', 4: '0.012987012987'} 
{0: '0.217948717949', 1: '2.5', 2: 522.46493956568213, 3: '0.474358974359', 4: '0.0128205128205'} 
{0: '0.215189873418', 1: '2.5', 2: 508.73076632472942, 3: '0.481012658228', 4: '0.0126582278481'} 
{0: '0.2125', 1: '2.5', 2: 509.41075556440194, 3: '0.4875', 4: '0.0125'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 494.59166640236992, 3: '0.493827160494', 4: '0.0123456790123'} 
