{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/ih58/active_jobs/8955490.1/1.ih58\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'5\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate/scripts/nup84.isd.modeling_batchsubmit.sh.e8955490\', \'JOB_ID\': \'8955490\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'ih58\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'ih6\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 56941 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate/scripts/nup84.isd.modeling_batchsubmit.sh.o8955490\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/ih6/active_jobs/8955490.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'45613056.1;tcp://172.19.15.58:34893\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'2\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'45613056.0;tcp://172.19.15.6:56675\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8955490.1.lab.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'lab.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'ih6:59005\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate/scripts\', \'TMPDIR\': \'/tmp/8955490.1.lab.q\', \'OMPI_MCA_orte_precondition_transports\': \'01c8d7af97a65e26-abf1b53f2d14b5f2\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'1\', \'SSH_TTY\': \'/dev/pts/17\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'2\', \'OMPI_MCA_orte_ess_vpid\': \'1\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 56941 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8955490.1.lab.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955490.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'45613057\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955490.1.lab.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'21\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff45613056\\xff-mca\\xfforte_ess_vpid\\xff1\\xff-mca\\xfforte_ess_num_procs\\xff5\\xff--hnp-uri\\xff"45613056.0;tcp://172.19.15.6:56675"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_SloLm2\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.73286211491', 2: 577.18195053484339, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.73286211491', 2: 545.82144918905908, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 499.89225356257032, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 472.50248087795586, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 474.82442746765389, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 481.93419872478773, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 478.77997103415106, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 462.3966678010031, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 461.86482597692384, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 449.07659998765274, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 436.2563681669298, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 438.61988306177926, 3: '0.0', 4: '0.0'} 
{0: '0.0', 1: '1.73286211491', 2: 433.53070973014968, 3: '0.0', 4: '0.0'} 
{0: '0.0769230769231', 1: '1.44269990921', 2: 417.2231858429937, 3: '0.0', 4: '0.0'} 
{0: '0.0714285714286', 1: '1.44269990921', 2: 410.1140106450722, 3: '0.0', 4: '0.0'} 
{0: '0.0666666666667', 1: '1.44269990921', 2: 425.56830388656221, 3: '0.0', 4: '0.0'} 
{0: '0.0625', 1: '1.44269990921', 2: 413.75522125882111, 3: '0.0', 4: '0.0'} 
{0: '0.0588235294118', 1: '1.44269990921', 2: 421.03339044401957, 3: '0.0', 4: '0.0'} 
{0: '0.0555555555556', 1: '1.44269990921', 2: 404.11434538849022, 3: '0.0', 4: '0.0'} 
{0: '0.0526315789474', 1: '1.44269990921', 2: 404.35467110063792, 3: '0.0', 4: '0.0'} 
{0: '0.05', 1: '1.44269990921', 2: 412.84402680343749, 3: '0.0', 4: '0.0'} 
{0: '0.047619047619', 1: '1.44269990921', 2: 415.81042535607082, 3: '0.0', 4: '0.0'} 
{0: '0.0454545454545', 1: '1.44269990921', 2: 424.3051353315447, 3: '0.0', 4: '0.0'} 
{0: '0.0434782608696', 1: '1.44269990921', 2: 420.72484192707265, 3: '0.0', 4: '0.0'} 
{0: '0.0416666666667', 1: '1.44269990921', 2: 416.88738579552535, 3: '0.0', 4: '0.0'} 
{0: '0.04', 1: '1.44269990921', 2: 390.0072298076999, 3: '0.0', 4: '0.0'} 
{0: '0.0384615384615', 1: '1.44269990921', 2: 399.4302726317726, 3: '0.0', 4: '0.0'} 
{0: '0.037037037037', 1: '1.44269990921', 2: 421.62073159876661, 3: '0.0', 4: '0.0'} 
{0: '0.0357142857143', 1: '1.44269990921', 2: 413.10652839035413, 3: '0.0', 4: '0.0'} 
{0: '0.0344827586207', 1: '1.44269990921', 2: 401.37349066539184, 3: '0.0', 4: '0.0'} 
{0: '0.0333333333333', 1: '1.44269990921', 2: 389.16137415177207, 3: '0.0', 4: '0.0'} 
{0: '0.0322580645161', 1: '1.44269990921', 2: 414.45623902798485, 3: '0.0', 4: '0.0'} 
{0: '0.03125', 1: '1.44269990921', 2: 387.91203425571689, 3: '0.0', 4: '0.0'} 
{0: '0.030303030303', 1: '1.44269990921', 2: 400.37941520116919, 3: '0.0', 4: '0.0'} 
{0: '0.0294117647059', 1: '1.44269990921', 2: 388.30583545713989, 3: '0.0', 4: '0.0'} 
{0: '0.0285714285714', 1: '1.44269990921', 2: 376.18891482424385, 3: '0.0', 4: '0.0'} 
{0: '0.0555555555556', 1: '1.2011244297', 2: 373.83866368732242, 3: '0.0', 4: '0.0'} 
{0: '0.0540540540541', 1: '1.2011244297', 2: 363.36276791990582, 3: '0.0', 4: '0.0'} 
{0: '0.0526315789474', 1: '1.2011244297', 2: 371.04833204753857, 3: '0.0', 4: '0.0'} 
{0: '0.0512820512821', 1: '1.2011244297', 2: 366.42792351860288, 3: '0.0', 4: '0.0'} 
{0: '0.075', 1: '1.44269990921', 2: 377.93411871647527, 3: '0.0', 4: '0.0'} 
{0: '0.0731707317073', 1: '1.44269990921', 2: 383.06610836460311, 3: '0.0', 4: '0.0'} 
{0: '0.0714285714286', 1: '1.44269990921', 2: 376.95300396716817, 3: '0.0', 4: '0.0'} 
{0: '0.0697674418605', 1: '1.44269990921', 2: 389.63697004274428, 3: '0.0', 4: '0.0'} 
{0: '0.0681818181818', 1: '1.44269990921', 2: 381.88897081594661, 3: '0.0', 4: '0.0'} 
{0: '0.0666666666667', 1: '1.44269990921', 2: 386.76759937754758, 3: '0.0', 4: '0.0'} 
{0: '0.0652173913043', 1: '1.44269990921', 2: 379.52477145891203, 3: '0.0', 4: '0.0'} 
{0: '0.063829787234', 1: '1.44269990921', 2: 380.07628855714125, 3: '0.0', 4: '0.0'} 
{0: '0.0625', 1: '1.44269990921', 2: 381.02172754318161, 3: '0.0', 4: '0.0'} 
{0: '0.0612244897959', 1: '1.44269990921', 2: 386.35973638986127, 3: '0.0', 4: '0.0'} 
{0: '0.06', 1: '1.44269990921', 2: 366.71861522274548, 3: '0.0', 4: '0.0'} 
{0: '0.078431372549', 1: '1.73286211491', 2: 387.75607583360329, 3: '0.0', 4: '0.0'} 
{0: '0.0769230769231', 1: '1.73286211491', 2: 385.42734190438148, 3: '0.0', 4: '0.0'} 
{0: '0.0943396226415', 1: '1.44269990921', 2: 389.6422797036625, 3: '0.0', 4: '0.0'} 
{0: '0.0925925925926', 1: '1.44269990921', 2: 397.36903344569407, 3: '0.0', 4: '0.0'} 
{0: '0.109090909091', 1: '1.73286211491', 2: 382.59765861860029, 3: '0.0', 4: '0.0'} 
{0: '0.107142857143', 1: '1.73286211491', 2: 400.87184430620425, 3: '0.0', 4: '0.0'} 
{0: '0.122807017544', 1: '1.44269990921', 2: 387.73694982785071, 3: '0.0', 4: '0.0'} 
{0: '0.120689655172', 1: '1.44269990921', 2: 376.27864795068837, 3: '0.0', 4: '0.0'} 
{0: '0.118644067797', 1: '1.44269990921', 2: 379.14457525753267, 3: '0.0', 4: '0.0'} 
{0: '0.116666666667', 1: '1.44269990921', 2: 383.54603198747736, 3: '0.0', 4: '0.0'} 
{0: '0.114754098361', 1: '1.44269990921', 2: 386.09922986345742, 3: '0.0', 4: '0.0'} 
{0: '0.112903225806', 1: '1.44269990921', 2: 394.58916612369831, 3: '0.0', 4: '0.0'} 
{0: '0.126984126984', 1: '1.73286211491', 2: 406.47186368019157, 3: '0.0', 4: '0.0'} 
{0: '0.125', 1: '1.73286211491', 2: 401.04055562018954, 3: '0.0', 4: '0.0'} 
{0: '0.123076923077', 1: '1.73286211491', 2: 393.08607077972573, 3: '0.0', 4: '0.0'} 
{0: '0.121212121212', 1: '1.73286211491', 2: 379.00132113489116, 3: '0.0', 4: '0.0'} 
{0: '0.119402985075', 1: '1.73286211491', 2: 380.42386723604835, 3: '0.0', 4: '0.0'} 
{0: '0.117647058824', 1: '1.73286211491', 2: 398.82945612631954, 3: '0.0', 4: '0.0'} 
{0: '0.115942028986', 1: '1.73286211491', 2: 386.80172756398116, 3: '0.0', 4: '0.0'} 
{0: '0.114285714286', 1: '1.73286211491', 2: 403.12789572714792, 3: '0.0', 4: '0.0'} 
{0: '0.112676056338', 1: '1.73286211491', 2: 394.25983279731838, 3: '0.0', 4: '0.0'} 
{0: '0.111111111111', 1: '1.73286211491', 2: 399.0991163243242, 3: '0.0', 4: '0.0'} 
{0: '0.109589041096', 1: '1.73286211491', 2: 420.6659411952196, 3: '0.0', 4: '0.0'} 
{0: '0.108108108108', 1: '1.73286211491', 2: 408.10408117841791, 3: '0.0', 4: '0.0'} 
{0: '0.106666666667', 1: '1.73286211491', 2: 406.51370975436834, 3: '0.0', 4: '0.0'} 
{0: '0.105263157895', 1: '1.73286211491', 2: 395.82457251104898, 3: '0.0', 4: '0.0'} 
{0: '0.103896103896', 1: '1.73286211491', 2: 405.25161099743002, 3: '0.0', 4: '0.0'} 
{0: '0.102564102564', 1: '1.73286211491', 2: 403.30746842700842, 3: '0.0', 4: '0.0'} 
{0: '0.101265822785', 1: '1.73286211491', 2: 407.41221569595473, 3: '0.0', 4: '0.0'} 
{0: '0.1', 1: '1.73286211491', 2: 409.11360122643356, 3: '0.0', 4: '0.0'} 
{0: '0.0987654320988', 1: '1.73286211491', 2: 421.68016806685023, 3: '0.0', 4: '0.0'} 
{0: '0.0975609756098', 1: '1.73286211491', 2: 409.18027545058078, 3: '0.0', 4: '0.0'} 
{0: '0.0963855421687', 1: '1.73286211491', 2: 414.93251167199105, 3: '0.0', 4: '0.0'} 
{0: '0.0952380952381', 1: '1.73286211491', 2: 402.112719933341, 3: '0.0', 4: '0.0'} 
{0: '0.0941176470588', 1: '1.73286211491', 2: 402.73497170194548, 3: '0.0', 4: '0.0'} 
{0: '0.093023255814', 1: '1.73286211491', 2: 415.8963777067022, 3: '0.0', 4: '0.0'} 
{0: '0.0919540229885', 1: '1.73286211491', 2: 406.48649714517461, 3: '0.0', 4: '0.0'} 
{0: '0.0909090909091', 1: '1.73286211491', 2: 402.64922838331267, 3: '0.0', 4: '0.0'} 
{0: '0.0898876404494', 1: '1.73286211491', 2: 419.02690191789799, 3: '0.0', 4: '0.0'} 
{0: '0.0888888888889', 1: '1.73286211491', 2: 418.99099313546691, 3: '0.0', 4: '0.0'} 
{0: '0.0879120879121', 1: '1.73286211491', 2: 398.46215058098653, 3: '0.0', 4: '0.0'} 
{0: '0.0869565217391', 1: '1.73286211491', 2: 416.33883655269773, 3: '0.0', 4: '0.0'} 
{0: '0.0860215053763', 1: '1.73286211491', 2: 414.77100058473218, 3: '0.0', 4: '0.0'} 
{0: '0.0851063829787', 1: '1.73286211491', 2: 407.03141193067984, 3: '0.0', 4: '0.0'} 
{0: '0.0842105263158', 1: '1.73286211491', 2: 410.1064672917754, 3: '0.0', 4: '0.0'} 
{0: '0.0833333333333', 1: '1.73286211491', 2: 427.97943339759092, 3: '0.0', 4: '0.0'} 
{0: '0.0824742268041', 1: '1.73286211491', 2: 405.03775665316971, 3: '0.0', 4: '0.0'} 
{0: '0.0816326530612', 1: '1.73286211491', 2: 410.29983602051021, 3: '0.0', 4: '0.0'} 
