{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': "{'SGE_STDIN_PATH': '/dev/null', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:', 'SGE_JOB_SPOOL_DIR': '/var/spool/sge/qb3cell/ih15/active_jobs/8955473.1', 'UPSTART_EVENTS': 'runlevel', 'ENVIRONMENT': 'BATCH', 'NHOSTS': '3', 'OMPI_MCA_orte_num_nodes': '3', 'OMPI_MCA_orte_app_num': '0', 'previous': 'N', 'CONSOLETYPE': 'vt', 'SHELL': '/bin/bash', 'PREVLEVEL': 'N', 'LANGSH_SOURCED': '1', 'UPSTART_INSTANCE': '', 'MANPATH': '/usr/share/man:/netopt/share/man', 'runlevel': '3', 'SGE_STDERR_PATH': '/netapp/home/saxen/bmi206_final_project/nup84/scripts/nup84.isd.modeling_batchsubmit.sh.e8955473', 'JOB_ID': '8955473', 'PYTHONPATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/imp/master/2.3.1/lib/release64', 'REQUEST': 'nup84.isd.modeling_batchsubmit.sh', 'SGE_CLUSTER_NAME': 'qb3cluster', 'SGE_TASK_STEPSIZE': 'undefined', 'HOSTNAME': 'ih15', 'OMPI_MCA_orte_ess_num_procs': '6', 'SGE_O_HOST': 'iq218', 'RUNLEVEL': '3', 'MAIL': '/var/spool/mail/saxen', 'MPI_INCLUDE': '/netopt/mpi/openmpi-1.6.5-nodlopen/include', 'SSH_CONNECTION': '169.230.126.5 39962 172.21.0.5 22', 'SGE_STDOUT_PATH': '/netapp/home/saxen/bmi206_final_project/nup84/scripts/nup84.isd.modeling_batchsubmit.sh.o8955473', 'SGE_O_SHELL': '/bin/bash', 'PE_HOSTFILE': '/var/spool/sge/qb3cell/ih15/active_jobs/8955473.1/pe_hostfile', 'OMPI_MCA_orte_num_restarts': '0', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'CVS_RSH': 'ssh', 'USER': 'saxen', 'HOME': '/netapp/home/saxen', 'SHLVL': '2', 'JOB_NAME': 'nup84.isd.modeling_batchsubmit.sh', 'OMPI_MCA_orte_local_daemon_uri': '1209401344.0;tcp://172.19.15.15:35214', 'PE': 'ompi', 'NQUEUES': '3', 'JOB_SCRIPT': '/var/spool/sge/qb3cell/ih15/job_scripts/8955473', 'MODULESHOME': '/usr/share/Modules', 'SGE_ROOT': '/usr/local/sge', 'OMPI_MCA_orte_ess_node_rank': '0', 'OMPI_COMM_WORLD_NODE_RANK': '0', 'UPSTART_JOB': 'rc', 'SGE_O_HOME': '/netapp/home/saxen', 'OMPI_COMM_WORLD_LOCAL_SIZE': '4', 'TMPDIR': '/tmp/8955473.1.lab.q', 'MODULEPATH': '/usr/share/Modules:/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles', 'OMPI_MCA_orte_cpu_model': 'Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz', 'SGE_BINARY_PATH': '/usr/local/sge/bin/linux-x64', 'NSLOTS': '6', 'OMPI_MCA_orte_hnp_uri': '1209401344.0;tcp://172.19.15.15:35214', 'OMPI_COMM_WORLD_SIZE': '6', '_LMFILES_': '/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp/2.3.1-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64:/usr/share/Modules/modulefiles/modules:/etc/modulefiles/openmpi-1.6-nodlopen', 'TMP': '/tmp/8955473.1.lab.q', 'RESTARTED': '0', 'SGE_O_MAIL': '/var/spool/mail/saxen', 'QUEUE': 'lab.q', 'SGE_TASK_FIRST': 'undefined', 'MPI_BIN': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin', 'HISTSIZE': '1000', 'LD_LIBRARY_PATH': '/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib:/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/imp/master/2.3.1/lib/release64', 'MPI_LIB': '/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'LANG': 'en_US.UTF-8', 'G_BROKEN_FILENAMES': '1', 'SGE_CWD_PATH': '/netapp/home/saxen/bmi206_final_project/nup84/scripts', '_': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin/mpirun', 'OMPI_MCA_orte_precondition_transports': '9fa1557bf94a8b23-776f27808827ef6c', 'SGE_TASK_ID': 'undefined', 'MPI_SYSCONFIG': '/netopt/mpi/openmpi-1.6.5-nodlopen/etc', 'OMPI_COMM_WORLD_LOCAL_RANK': '0', 'BASH_FUNC_module()': '() {  eval `/usr/bin/modulecmd bash $*`\\n}', 'OMPI_UNIVERSE_SIZE': '6', 'OMPI_COMM_WORLD_RANK': '0', 'SSH_TTY': '/dev/pts/25', 'OMPI_MCA_mpi_yield_when_idle': '0', 'SSH_CLIENT': '169.230.126.5 39962 22', 'OMPI_MCA_ess': 'env', 'OMPI_MCA_shmem_RUNTIME_QUERY_hint': 'mmap', 'OMPI_MCA_orte_ess_vpid': '0', 'REQNAME': 'nup84.isd.modeling_batchsubmit.sh', 'SGE_CELL': 'qb3cell', 'LOGNAME': 'saxen', 'SGE_QMASTER_PORT': '6444', 'PATH': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955473.1.lab.q:/usr/bin:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/salilab/diva1/home/imp/master/2.3.1/bin/release64:/usr/local/sge/bin/linux-x64:/usr/local/bin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/netopt/bin:/netapp/home/saxen/bin:/netapp/home/saxen/bin', 'OMPI_MCA_orte_ess_jobid': '1209401345', 'SGE_O_WORKDIR': '/netapp/home/saxen/bmi206_final_project/nup84/scripts', 'TERM': 'ansi', 'SGE_O_PATH': '/usr/bin:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/salilab/diva1/home/imp/master/2.3.1/bin/release64:/usr/local/sge/bin/linux-x64:/usr/local/bin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/netopt/bin:/netapp/home/saxen/bin', 'OPAL_OUTPUT_STDERR_FD': '26', 'SGE_ACCOUNT': 'sge', 'SGE_EXECD_PORT': '6445', 'ROSETTADIR': '/netapp/home/thompson/Rosetta/rosetta_2014.35', 'OMPI_MCA_orte_cpu_type': 'GenuineIntel', 'MPI_HOME': '/netopt/mpi/openmpi-1.6.5-nodlopen', 'KRB5CCNAME': 'FILE:/tmp/krb5cc_60484_PYCrO26467', 'SGE_O_LOGNAME': 'saxen', 'WISECONFIGDIR': '/usr/share/wise2/', 'SGE_ARCH': 'linux-x64', 'SGE_TASK_LAST': 'undefined', 'LOADEDMODULES': 'sali-libraries-x86_64:imp/2.3.1-x86_64:imp-fast-mpi/2.3.1-x86_64:modules:openmpi-1.6-nodlopen', 'SGE_RSH_COMMAND': 'builtin', 'HISTCONTROL': 'ignoredups', 'PWD': '/netapp/home/saxen/bmi206_final_project/nup84/scripts', 'ARC': 'linux-x64', 'MPI_MAN': '/netopt/mpi/openmpi-1.6.5-nodlopen/share/man'}"} 
{0: '0', 1: '1.0', 2: 4932539.1047695549, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.2011244297', 2: 4465475.5994256092, 3: '0.0', 4: '1.0'} 
{0: '1.0', 1: '1.44269990921', 2: 4009845.526307262, 3: '0.0', 4: '0.5'} 
{0: '1.0', 1: '1.73286211491', 2: 3573157.4523580768, 3: '0.0', 4: '0.333333333333'} 
{0: '1.0', 1: '2.08138298988', 2: 3096274.4847720317, 3: '0.0', 4: '0.25'} 
{0: '1.0', 1: '2.5', 2: 2705628.7234501336, 3: '0.0', 4: '0.2'} 
{0: '0.833333333333', 1: '2.5', 2: 2268204.801790046, 3: '0.166666666667', 4: '0.166666666667'} 
{0: '0.714285714286', 1: '2.5', 2: 1880076.8380743091, 3: '0.285714285714', 4: '0.142857142857'} 
{0: '0.625', 1: '2.5', 2: 1596343.6344023275, 3: '0.375', 4: '0.125'} 
{0: '0.555555555556', 1: '2.5', 2: 1327274.3660304623, 3: '0.444444444444', 4: '0.111111111111'} 
{0: '0.5', 1: '2.5', 2: 1124637.2558260213, 3: '0.5', 4: '0.1'} 
{0: '0.454545454545', 1: '2.5', 2: 910448.60288802464, 3: '0.545454545455', 4: '0.0909090909091'} 
{0: '0.416666666667', 1: '2.5', 2: 808067.698685018, 3: '0.583333333333', 4: '0.0833333333333'} 
{0: '0.384615384615', 1: '2.5', 2: 630878.62106192484, 3: '0.615384615385', 4: '0.0769230769231'} 
{0: '0.357142857143', 1: '2.5', 2: 522551.98501264356, 3: '0.642857142857', 4: '0.0714285714286'} 
{0: '0.333333333333', 1: '2.5', 2: 425164.57659989985, 3: '0.666666666667', 4: '0.0666666666667'} 
{0: '0.3125', 1: '2.5', 2: 298039.160352087, 3: '0.6875', 4: '0.0625'} 
{0: '0.294117647059', 1: '2.5', 2: 221194.15633257941, 3: '0.705882352941', 4: '0.0588235294118'} 
{0: '0.277777777778', 1: '2.5', 2: 172411.87299550953, 3: '0.722222222222', 4: '0.0555555555556'} 
{0: '0.263157894737', 1: '2.5', 2: 131676.47391820757, 3: '0.736842105263', 4: '0.0526315789474'} 
{0: '0.25', 1: '2.5', 2: 88237.868184105857, 3: '0.75', 4: '0.05'} 
{0: '0.238095238095', 1: '2.5', 2: 55511.645324483005, 3: '0.761904761905', 4: '0.047619047619'} 
{0: '0.227272727273', 1: '2.5', 2: 27898.257402636129, 3: '0.772727272727', 4: '0.0454545454545'} 
{0: '0.217391304348', 1: '2.5', 2: 14604.40250242589, 3: '0.782608695652', 4: '0.0434782608696'} 
{0: '0.208333333333', 1: '2.5', 2: 4160.6748880766827, 3: '0.791666666667', 4: '0.0416666666667'} 
{0: '0.2', 1: '2.5', 2: 752.77751579283381, 3: '0.8', 4: '0.04'} 
{0: '0.192307692308', 1: '2.5', 2: 689.52924546531972, 3: '0.807692307692', 4: '0.0384615384615'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 648.54282283224279, 3: '0.814814814815', 4: '0.037037037037'} 
{0: '0.214285714286', 1: '2.08138298988', 2: 638.02591171295228, 3: '0.785714285714', 4: '0.0357142857143'} 
{0: '0.241379310345', 1: '2.5', 2: 644.26313476182236, 3: '0.758620689655', 4: '0.0344827586207'} 
{0: '0.233333333333', 1: '2.5', 2: 644.97829771303657, 3: '0.766666666667', 4: '0.0333333333333'} 
{0: '0.225806451613', 1: '2.5', 2: 655.75016829552612, 3: '0.774193548387', 4: '0.0322580645161'} 
{0: '0.21875', 1: '2.5', 2: 635.41973270316089, 3: '0.78125', 4: '0.03125'} 
{0: '0.212121212121', 1: '2.5', 2: 632.91844795226018, 3: '0.787878787879', 4: '0.030303030303'} 
{0: '0.205882352941', 1: '2.5', 2: 636.26750592252517, 3: '0.794117647059', 4: '0.0294117647059'} 
{0: '0.2', 1: '2.5', 2: 625.54464455709274, 3: '0.8', 4: '0.0285714285714'} 
{0: '0.194444444444', 1: '2.5', 2: 622.5602068288282, 3: '0.805555555556', 4: '0.0277777777778'} 
{0: '0.189189189189', 1: '2.5', 2: 632.58386701020424, 3: '0.810810810811', 4: '0.027027027027'} 
{0: '0.184210526316', 1: '2.5', 2: 626.98201497728019, 3: '0.815789473684', 4: '0.0263157894737'} 
{0: '0.179487179487', 1: '2.5', 2: 608.07418098175719, 3: '0.820512820513', 4: '0.025641025641'} 
{0: '0.175', 1: '2.5', 2: 635.96357553908433, 3: '0.825', 4: '0.025'} 
{0: '0.170731707317', 1: '2.5', 2: 635.82361656368505, 3: '0.829268292683', 4: '0.0243902439024'} 
{0: '0.166666666667', 1: '2.5', 2: 633.76339021251044, 3: '0.833333333333', 4: '0.0238095238095'} 
{0: '0.162790697674', 1: '2.5', 2: 626.11742996708858, 3: '0.837209302326', 4: '0.0232558139535'} 
{0: '0.159090909091', 1: '2.5', 2: 620.02912848758422, 3: '0.840909090909', 4: '0.0227272727273'} 
{0: '0.155555555556', 1: '2.5', 2: 610.35861126491227, 3: '0.844444444444', 4: '0.0222222222222'} 
{0: '0.152173913043', 1: '2.5', 2: 642.33737558323276, 3: '0.847826086957', 4: '0.0217391304348'} 
{0: '0.148936170213', 1: '2.5', 2: 620.77032347608736, 3: '0.851063829787', 4: '0.0212765957447'} 
{0: '0.145833333333', 1: '2.5', 2: 640.37963537176279, 3: '0.854166666667', 4: '0.0208333333333'} 
{0: '0.142857142857', 1: '2.5', 2: 617.22261734144342, 3: '0.857142857143', 4: '0.0204081632653'} 
{0: '0.14', 1: '2.5', 2: 616.73057144733741, 3: '0.86', 4: '0.02'} 
{0: '0.137254901961', 1: '2.5', 2: 622.19721264045984, 3: '0.862745098039', 4: '0.0196078431373'} 
{0: '0.134615384615', 1: '2.5', 2: 621.72774243394554, 3: '0.865384615385', 4: '0.0192307692308'} 
{0: '0.132075471698', 1: '2.5', 2: 628.01617767923426, 3: '0.867924528302', 4: '0.0188679245283'} 
{0: '0.12962962963', 1: '2.5', 2: 624.54094692123181, 3: '0.87037037037', 4: '0.0185185185185'} 
{0: '0.127272727273', 1: '2.5', 2: 644.62165641943841, 3: '0.872727272727', 4: '0.0181818181818'} 
{0: '0.125', 1: '2.5', 2: 643.4900060190472, 3: '0.875', 4: '0.0178571428571'} 
{0: '0.122807017544', 1: '2.5', 2: 626.95498751820367, 3: '0.877192982456', 4: '0.0175438596491'} 
{0: '0.120689655172', 1: '2.5', 2: 636.10178213514848, 3: '0.879310344828', 4: '0.0172413793103'} 
{0: '0.118644067797', 1: '2.5', 2: 649.70590270204593, 3: '0.881355932203', 4: '0.0169491525424'} 
{0: '0.116666666667', 1: '2.5', 2: 634.10229852074906, 3: '0.883333333333', 4: '0.0166666666667'} 
{0: '0.114754098361', 1: '2.5', 2: 633.99533142871337, 3: '0.885245901639', 4: '0.016393442623'} 
{0: '0.112903225806', 1: '2.5', 2: 625.53404253018368, 3: '0.887096774194', 4: '0.0161290322581'} 
{0: '0.111111111111', 1: '2.5', 2: 624.09882119730025, 3: '0.888888888889', 4: '0.015873015873'} 
{0: '0.109375', 1: '2.5', 2: 618.58683607395562, 3: '0.890625', 4: '0.015625'} 
{0: '0.107692307692', 1: '2.5', 2: 609.78019419512782, 3: '0.892307692308', 4: '0.0153846153846'} 
{0: '0.106060606061', 1: '2.5', 2: 612.73508696578585, 3: '0.893939393939', 4: '0.0151515151515'} 
{0: '0.10447761194', 1: '2.5', 2: 601.03420516639449, 3: '0.89552238806', 4: '0.0149253731343'} 
{0: '0.102941176471', 1: '2.5', 2: 600.32130107952776, 3: '0.897058823529', 4: '0.0147058823529'} 
{0: '0.101449275362', 1: '2.5', 2: 604.55553012898224, 3: '0.898550724638', 4: '0.0144927536232'} 
{0: '0.1', 1: '2.5', 2: 610.35298849731976, 3: '0.9', 4: '0.0142857142857'} 
{0: '0.0985915492958', 1: '2.5', 2: 623.69118507864789, 3: '0.901408450704', 4: '0.0140845070423'} 
{0: '0.0972222222222', 1: '2.5', 2: 603.44729245947292, 3: '0.902777777778', 4: '0.0138888888889'} 
{0: '0.0958904109589', 1: '2.5', 2: 613.62181182625329, 3: '0.904109589041', 4: '0.013698630137'} 
{0: '0.0945945945946', 1: '2.5', 2: 607.99365216855495, 3: '0.905405405405', 4: '0.0135135135135'} 
{0: '0.0933333333333', 1: '2.5', 2: 594.27058304889749, 3: '0.906666666667', 4: '0.0133333333333'} 
{0: '0.0921052631579', 1: '2.5', 2: 593.18598814159463, 3: '0.907894736842', 4: '0.0131578947368'} 
{0: '0.0909090909091', 1: '2.5', 2: 601.58245283872384, 3: '0.909090909091', 4: '0.012987012987'} 
{0: '0.0897435897436', 1: '2.5', 2: 589.84841016776954, 3: '0.910256410256', 4: '0.0128205128205'} 
{0: '0.0886075949367', 1: '2.5', 2: 600.13442519426303, 3: '0.911392405063', 4: '0.0126582278481'} 
{0: '0.0875', 1: '2.5', 2: 586.96078981825303, 3: '0.9125', 4: '0.0125'} 
{0: '0.0864197530864', 1: '2.5', 2: 586.63287049908479, 3: '0.913580246914', 4: '0.0123456790123'} 
{0: '0.0853658536585', 1: '2.5', 2: 595.0545158159656, 3: '0.914634146341', 4: '0.0121951219512'} 
{0: '0.0843373493976', 1: '2.5', 2: 584.96447029461103, 3: '0.915662650602', 4: '0.0120481927711'} 
{0: '0.0833333333333', 1: '2.5', 2: 591.47246708115858, 3: '0.916666666667', 4: '0.0119047619048'} 
{0: '0.0823529411765', 1: '2.5', 2: 583.72040401834738, 3: '0.917647058824', 4: '0.0117647058824'} 
{0: '0.0813953488372', 1: '2.5', 2: 595.35200560710473, 3: '0.918604651163', 4: '0.0116279069767'} 
