{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': "{'SGE_STDIN_PATH': '/dev/null', 'SGE_JOB_SPOOL_DIR': '/var/spool/sge/qb3cell/iq197/active_jobs/8956020.1', 'UPSTART_EVENTS': 'runlevel', 'ENVIRONMENT': 'BATCH', 'NHOSTS': '6', 'OMPI_MCA_orte_num_nodes': '6', 'OMPI_MCA_orte_app_num': '0', 'previous': 'N', 'CONSOLETYPE': 'vt', 'SHELL': '/bin/bash', 'PREVLEVEL': 'N', 'LANGSH_SOURCED': '1', 'UPSTART_INSTANCE': '', 'runlevel': '3', 'SGE_STDERR_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts/nup84.isd.modeling681_batchsubmit.sh.e8956020', 'JOB_ID': '8956020', 'PYTHONPATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi', 'REQUEST': 'nup84.isd.modeling681_batchsubmit.sh', 'SGE_CLUSTER_NAME': 'qb3cluster', 'SGE_TASK_STEPSIZE': 'undefined', 'HOSTNAME': 'iq197', 'OMPI_MCA_orte_ess_num_procs': '6', 'SELINUX_LEVEL_REQUESTED': '', 'SGE_O_HOST': 'chef', 'RUNLEVEL': '3', 'MAIL': '/var/spool/mail/saxen', 'MPI_INCLUDE': '/netopt/mpi/openmpi-1.6.5-nodlopen/include', 'SSH_CONNECTION': '24.4.149.176 50423 169.230.126.5 22', 'SGE_STDOUT_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts/nup84.isd.modeling681_batchsubmit.sh.o8956020', 'SGE_O_SHELL': '/bin/bash', 'PE_HOSTFILE': '/var/spool/sge/qb3cell/iq197/active_jobs/8956020.1/pe_hostfile', 'OMPI_MCA_orte_num_restarts': '0', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'CVS_RSH': 'ssh', 'USER': 'saxen', 'HOME': '/netapp/home/saxen', 'SHLVL': '2', 'JOB_NAME': 'nup84.isd.modeling681_batchsubmit.sh', 'OMPI_MCA_orte_local_daemon_uri': '2824011776.0;tcp://172.19.12.197:38247', 'PE': 'ompi', 'NQUEUES': '6', 'JOB_SCRIPT': '/var/spool/sge/qb3cell/iq197/job_scripts/8956020', 'MODULESHOME': '/usr/share/Modules', 'SGE_ROOT': '/usr/local/sge', 'OMPI_MCA_orte_ess_node_rank': '0', 'OMPI_COMM_WORLD_NODE_RANK': '0', 'UPSTART_JOB': 'rc', 'SGE_O_HOME': '/netapp/home/saxen', 'OMPI_COMM_WORLD_LOCAL_SIZE': '1', 'TMPDIR': '/tmp/8956020.1.long.q', 'MODULEPATH': '/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles', 'OMPI_MCA_orte_cpu_model': 'Intel(R) Xeon(R) CPU           E5430  @ 2.66GHz', 'SGE_BINARY_PATH': '/usr/local/sge/bin/linux-x64', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:', 'OMPI_MCA_orte_hnp_uri': '2824011776.0;tcp://172.19.12.197:38247', 'OMPI_COMM_WORLD_SIZE': '6', '_LMFILES_': '/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64', 'TMP': '/tmp/8956020.1.long.q', 'RESTARTED': '0', 'SGE_O_MAIL': '/var/spool/mail/saxen', 'QUEUE': 'long.q', 'SELINUX_USE_CURRENT_RANGE': '', 'SGE_TASK_FIRST': 'undefined', 'MPI_BIN': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin', 'HISTSIZE': '1000', 'LD_LIBRARY_PATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'MPI_LIB': '/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'LANG': 'en_US.UTF-8', 'G_BROKEN_FILENAMES': '1', 'SGE_CWD_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts', '_': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin/mpirun', 'OMPI_MCA_orte_precondition_transports': 'c759799dd951af4c-5b0e5b0e923eed0c', 'SGE_TASK_ID': 'undefined', 'MPI_SYSCONFIG': '/netopt/mpi/openmpi-1.6.5-nodlopen/etc', 'SELINUX_ROLE_REQUESTED': '', 'OMPI_COMM_WORLD_LOCAL_RANK': '0', 'BASH_FUNC_module()': '() {  eval `/usr/bin/modulecmd bash $*`\\n}', 'OMPI_UNIVERSE_SIZE': '6', 'OMPI_COMM_WORLD_RANK': '0', 'SSH_TTY': '/dev/pts/17', 'OMPI_MCA_mpi_yield_when_idle': '0', 'SGE_CELL': 'qb3cell', 'OMPI_MCA_ess': 'env', 'OMPI_MCA_shmem_RUNTIME_QUERY_hint': 'mmap', 'NSLOTS': '6', 'OMPI_MCA_orte_ess_vpid': '0', 'REQNAME': 'nup84.isd.modeling681_batchsubmit.sh', 'SSH_CLIENT': '24.4.149.176 50423 22', 'LOGNAME': 'saxen', 'SGE_QMASTER_PORT': '6444', 'PATH': '/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956020.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin', 'OMPI_MCA_orte_ess_jobid': '2824011777', 'SGE_O_WORKDIR': '/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts', 'TERM': 'ansi', 'SGE_O_PATH': '/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin', 'OPAL_OUTPUT_STDERR_FD': '29', 'SGE_ACCOUNT': 'sge', 'SGE_EXECD_PORT': '6445', 'ROSETTADIR': '/netapp/home/thompson/Rosetta/rosetta_2014.35', 'OMPI_MCA_orte_cpu_type': 'GenuineIntel', 'MPI_HOME': '/netopt/mpi/openmpi-1.6.5-nodlopen', 'KRB5CCNAME': 'FILE:/tmp/krb5cc_60484_vdPK8p', 'SGE_O_LOGNAME': 'saxen', 'WISECONFIGDIR': '/usr/share/wise2/', 'SGE_ARCH': 'linux-x64', 'SGE_TASK_LAST': 'undefined', 'LOADEDMODULES': 'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64', 'SGE_RSH_COMMAND': 'builtin', 'HISTCONTROL': 'ignoredups', 'PWD': '/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts', 'ARC': 'linux-x64', 'MPI_MAN': '/netopt/mpi/openmpi-1.6.5-nodlopen/share/man'}"} 
{0: '0', 1: '1.44269990921', 2: 572.46514109039606, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.73286211491', 2: 548.57335503171157, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '2.08138298988', 2: 562.14856777966315, 3: '0.0', 4: '0.0'} 
{0: '0.666666666667', 1: '2.08138298988', 2: 566.38558957189605, 3: '0.0', 4: '0.0'} 
{0: '0.5', 1: '2.08138298988', 2: 563.95177873316106, 3: '0.0', 4: '0.0'} 
{0: '0.4', 1: '2.08138298988', 2: 549.80467808144158, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '2.08138298988', 2: 574.70670836205284, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '2.08138298988', 2: 553.78231418904511, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 536.70518323351848, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 526.74354948957955, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '2.08138298988', 2: 514.15291636056781, 3: '0.0', 4: '0.0'} 
{0: '0.181818181818', 1: '2.08138298988', 2: 512.18137000113916, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.73286211491', 2: 503.40737719276262, 3: '0.0', 4: '0.0'} 
{0: '0.230769230769', 1: '1.73286211491', 2: 494.3207211415496, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '2.08138298988', 2: 503.08807049921182, 3: '0.0', 4: '0.0'} 
{0: '0.266666666667', 1: '2.08138298988', 2: 521.23026224737441, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 506.84868077578625, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '2.08138298988', 2: 501.39604332003802, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 524.994996042406, 3: '0.0', 4: '0.0'} 
{0: '0.210526315789', 1: '2.08138298988', 2: 488.21436599589299, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '2.08138298988', 2: 481.73475933483644, 3: '0.0', 4: '0.0'} 
{0: '0.190476190476', 1: '2.08138298988', 2: 474.57065757354758, 3: '0.0', 4: '0.0'} 
{0: '0.227272727273', 1: '1.73286211491', 2: 483.84054548528826, 3: '0.0', 4: '0.0'} 
{0: '0.217391304348', 1: '1.73286211491', 2: 497.83850553748664, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 476.77227016399775, 3: '0.0', 4: '0.0'} 
{0: '0.24', 1: '2.08138298988', 2: 492.03367641760212, 3: '0.0', 4: '0.0'} 
{0: '0.230769230769', 1: '2.08138298988', 2: 517.34520117937507, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 499.93339145487653, 3: '0.0', 4: '0.0'} 
{0: '0.214285714286', 1: '2.08138298988', 2: 493.6755262072075, 3: '0.0', 4: '0.0'} 
{0: '0.206896551724', 1: '2.08138298988', 2: 502.55809014877531, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '2.08138298988', 2: 489.94669415329184, 3: '0.0', 4: '0.0'} 
{0: '0.193548387097', 1: '2.08138298988', 2: 478.31244139838145, 3: '0.0', 4: '0.0'} 
{0: '0.21875', 1: '1.73286211491', 2: 488.96107527408969, 3: '0.0', 4: '0.0'} 
{0: '0.212121212121', 1: '1.73286211491', 2: 491.60380257003209, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '2.08138298988', 2: 491.31811924997396, 3: '0.0', 4: '0.0'} 
{0: '0.228571428571', 1: '2.08138298988', 2: 479.9238461171754, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.73286211491', 2: 485.83100964746467, 3: '0.0', 4: '0.0'} 
{0: '0.243243243243', 1: '1.73286211491', 2: 470.69385537300383, 3: '0.0', 4: '0.0'} 
{0: '0.236842105263', 1: '1.73286211491', 2: 464.70524961909609, 3: '0.0', 4: '0.0'} 
{0: '0.230769230769', 1: '1.73286211491', 2: 465.57901998837235, 3: '0.0', 4: '0.0'} 
{0: '0.225', 1: '1.73286211491', 2: 466.55164144395076, 3: '0.0', 4: '0.0'} 
{0: '0.219512195122', 1: '1.73286211491', 2: 465.60232377078097, 3: '0.0', 4: '0.0'} 
{0: '0.214285714286', 1: '1.73286211491', 2: 471.66860523606556, 3: '0.0', 4: '0.0'} 
{0: '0.209302325581', 1: '1.73286211491', 2: 476.73702998896647, 3: '0.0', 4: '0.0'} 
{0: '0.227272727273', 1: '2.08138298988', 2: 476.38607060241986, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 459.46143373867852, 3: '0.0', 4: '0.0'} 
{0: '0.217391304348', 1: '2.08138298988', 2: 484.46979401775491, 3: '0.0', 4: '0.0'} 
{0: '0.212765957447', 1: '2.08138298988', 2: 471.0304676337712, 3: '0.0', 4: '0.0'} 
{0: '0.229166666667', 1: '1.73286211491', 2: 462.11433886256418, 3: '0.0', 4: '0.0'} 
{0: '0.224489795918', 1: '1.73286211491', 2: 530.47557643077903, 3: '0.0', 4: '0.0'} 
{0: '0.24', 1: '2.08138298988', 2: 459.70734435786358, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '2.08138298988', 2: 461.14990263800803, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.73286211491', 2: 456.67494383092514, 3: '0.0', 4: '0.0'} 
{0: '0.245283018868', 1: '1.73286211491', 2: 448.6139100996013, 3: '0.0', 4: '0.0'} 
{0: '0.240740740741', 1: '1.73286211491', 2: 475.09556520970881, 3: '0.0', 4: '0.0'} 
{0: '0.236363636364', 1: '1.73286211491', 2: 471.23940005322737, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '2.08138298988', 2: 477.56981495702598, 3: '0.0', 4: '0.0'} 
{0: '0.245614035088', 1: '2.08138298988', 2: 495.50036165424655, 3: '0.0', 4: '0.0'} 
{0: '0.241379310345', 1: '2.08138298988', 2: 465.78923137729066, 3: '0.0', 4: '0.0'} 
{0: '0.237288135593', 1: '2.08138298988', 2: 475.36466998586229, 3: '0.0', 4: '0.0'} 
{0: '0.233333333333', 1: '2.08138298988', 2: 464.44804014065278, 3: '0.0', 4: '0.0'} 
{0: '0.229508196721', 1: '2.08138298988', 2: 479.55110299855392, 3: '0.0', 4: '0.0'} 
{0: '0.225806451613', 1: '2.08138298988', 2: 483.77474770510128, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '2.08138298988', 2: 482.01870165894854, 3: '0.0', 4: '0.0'} 
{0: '0.21875', 1: '2.08138298988', 2: 470.01531539069668, 3: '0.0', 4: '0.0'} 
{0: '0.215384615385', 1: '2.08138298988', 2: 488.83197541466649, 3: '0.0', 4: '0.0'} 
{0: '0.212121212121', 1: '2.08138298988', 2: 478.22053269156316, 3: '0.0', 4: '0.0'} 
{0: '0.208955223881', 1: '2.08138298988', 2: 489.66711342251983, 3: '0.0', 4: '0.0'} 
{0: '0.205882352941', 1: '2.08138298988', 2: 486.6542222793438, 3: '0.0', 4: '0.0'} 
{0: '0.202898550725', 1: '2.08138298988', 2: 499.2242190503764, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '2.08138298988', 2: 489.68791532193546, 3: '0.0', 4: '0.0'} 
{0: '0.211267605634', 1: '2.5', 2: 500.44447586869478, 3: '0.0', 4: '0.0'} 
{0: '0.208333333333', 1: '2.5', 2: 512.7009287243045, 3: '0.0138888888889', 4: '0.0'} 
{0: '0.205479452055', 1: '2.5', 2: 515.45260435146633, 3: '0.027397260274', 4: '0.0'} 
{0: '0.202702702703', 1: '2.5', 2: 490.6221429677496, 3: '0.0405405405405', 4: '0.0'} 
{0: '0.2', 1: '2.5', 2: 497.47883123027464, 3: '0.0533333333333', 4: '0.0'} 
{0: '0.197368421053', 1: '2.5', 2: 499.36930859602199, 3: '0.0657894736842', 4: '0.0'} 
{0: '0.194805194805', 1: '2.5', 2: 484.1327797455084, 3: '0.0779220779221', 4: '0.0'} 
{0: '0.192307692308', 1: '2.5', 2: 489.57641497578186, 3: '0.0897435897436', 4: '0.0'} 
{0: '0.20253164557', 1: '2.08138298988', 2: 476.80068675441009, 3: '0.101265822785', 4: '0.0'} 
{0: '0.2', 1: '2.08138298988', 2: 481.3255090649472, 3: '0.1', 4: '0.0'} 
{0: '0.197530864198', 1: '2.08138298988', 2: 492.31131858720886, 3: '0.0987654320988', 4: '0.0'} 
{0: '0.19512195122', 1: '2.08138298988', 2: 486.93434121691121, 3: '0.0975609756098', 4: '0.0'} 
{0: '0.192771084337', 1: '2.08138298988', 2: 466.34358121287585, 3: '0.0963855421687', 4: '0.0'} 
{0: '0.190476190476', 1: '2.08138298988', 2: 475.6378226530212, 3: '0.0952380952381', 4: '0.0'} 
{0: '0.188235294118', 1: '2.08138298988', 2: 461.50498071862285, 3: '0.0941176470588', 4: '0.0'} 
{0: '0.186046511628', 1: '2.08138298988', 2: 466.41630282750134, 3: '0.093023255814', 4: '0.0'} 
{0: '0.183908045977', 1: '2.08138298988', 2: 458.77121845338934, 3: '0.0919540229885', 4: '0.0'} 
