{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': '{\'SGE_STDIN_PATH\': \'/dev/null\', \'SGE_JOB_SPOOL_DIR\': \'/var/spool/sge/qb3cell/iq27/active_jobs/8956020.1/1.iq27\', \'UPSTART_EVENTS\': \'runlevel\', \'ENVIRONMENT\': \'BATCH\', \'NHOSTS\': \'1\', \'OMPI_MCA_orte_num_nodes\': \'6\', \'OMPI_MCA_orte_app_num\': \'0\', \'previous\': \'N\', \'CONSOLETYPE\': \'vt\', \'SHELL\': \'/bin/bash\', \'LANGSH_SOURCED\': \'1\', \'PREVLEVEL\': \'N\', \'HISTSIZE\': \'1000\', \'UPSTART_INSTANCE\': \'\', \'runlevel\': \'3\', \'SGE_STDERR_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts/nup84.isd.modeling681_batchsubmit.sh.e8956020\', \'JOB_ID\': \'8956020\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi\', \'REQUEST\': \'petask\', \'SGE_CLUSTER_NAME\': \'qb3cluster\', \'SGE_TASK_STEPSIZE\': \'undefined\', \'OMPI_MCA_plm\': \'rsh\', \'HOSTNAME\': \'iq27\', \'OMPI_MCA_orte_ess_num_procs\': \'6\', \'SELINUX_LEVEL_REQUESTED\': \'\', \'SGE_O_HOST\': \'iq197\', \'RUNLEVEL\': \'3\', \'MAIL\': \'/var/spool/mail/saxen\', \'MPI_INCLUDE\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/include\', \'SSH_CONNECTION\': \'24.4.149.176 50423 169.230.126.5 22\', \'SGE_STDOUT_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts/nup84.isd.modeling681_batchsubmit.sh.o8956020\', \'SGE_O_SHELL\': \'/bin/bash\', \'PE_HOSTFILE\': \'/var/spool/sge/qb3cell/iq197/active_jobs/8956020.1/pe_hostfile\', \'OMPI_MCA_orte_num_restarts\': \'0\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'CVS_RSH\': \'ssh\', \'USER\': \'saxen\', \'HOME\': \'/netapp/home/saxen\', \'SHLVL\': \'3\', \'JOB_NAME\': \'petask\', \'OMPI_MCA_orte_local_daemon_uri\': \'2824011776.4;tcp://172.19.12.27:53498\', \'PE\': \'ompi\', \'NQUEUES\': \'1\', \'JOB_SCRIPT\': \'QRSH\', \'MODULESHOME\': \'/usr/share/Modules\', \'SGE_ROOT\': \'/usr/local/sge\', \'OMPI_MCA_orte_ess_node_rank\': \'0\', \'OMPI_COMM_WORLD_NODE_RANK\': \'0\', \'UPSTART_JOB\': \'rc\', \'SGE_O_HOME\': \'/netapp/home/saxen\', \'OMPI_COMM_WORLD_LOCAL_SIZE\': \'1\', \'_\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin/orted\', \'MODULEPATH\': \'/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles\', \'OMPI_MCA_orte_cpu_model\': \'Intel(R) Xeon(R) CPU           E5345  @ 2.33GHz\', \'SGE_BINARY_PATH\': \'/usr/local/sge/bin/linux-x64\', \'LS_COLORS\': \'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:\', \'OMPI_MCA_orte_hnp_uri\': \'2824011776.0;tcp://172.19.12.197:38247\', \'OMPI_COMM_WORLD_SIZE\': \'6\', \'_LMFILES_\': \'/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64\', \'TMP\': \'/tmp/8956020.1.long.q\', \'RESTARTED\': \'0\', \'SGE_O_MAIL\': \'/var/spool/mail/saxen\', \'QUEUE\': \'long.q\', \'SELINUX_USE_CURRENT_RANGE\': \'\', \'SGE_TASK_FIRST\': \'undefined\', \'MPI_BIN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/bin\', \'QRSH_PORT\': \'iq197:58289\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'MPI_LIB\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/lib\', \'LANG\': \'en_US.UTF-8\', \'G_BROKEN_FILENAMES\': \'1\', \'SGE_CWD_PATH\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts\', \'TMPDIR\': \'/tmp/8956020.1.long.q\', \'OMPI_MCA_orte_precondition_transports\': \'c759799dd951af4c-5b0e5b0e923eed0c\', \'SGE_TASK_ID\': \'undefined\', \'MPI_SYSCONFIG\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/etc\', \'SELINUX_ROLE_REQUESTED\': \'\', \'OMPI_COMM_WORLD_LOCAL_RANK\': \'0\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'OMPI_UNIVERSE_SIZE\': \'6\', \'OMPI_COMM_WORLD_RANK\': \'4\', \'SSH_TTY\': \'/dev/pts/17\', \'OMPI_MCA_mpi_yield_when_idle\': \'0\', \'SGE_CELL\': \'qb3cell\', \'OMPI_MCA_ess\': \'env\', \'OMPI_MCA_shmem_RUNTIME_QUERY_hint\': \'mmap\', \'NSLOTS\': \'1\', \'OMPI_MCA_orte_ess_vpid\': \'4\', \'REQNAME\': \'petask\', \'SSH_CLIENT\': \'24.4.149.176 50423 22\', \'LOGNAME\': \'saxen\', \'SGE_QMASTER_PORT\': \'6444\', \'PATH\': \'/tmp/8956020.1.long.q:/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956020.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OMPI_MCA_orte_ess_jobid\': \'2824011777\', \'SGE_O_WORKDIR\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts\', \'TERM\': \'ansi\', \'SGE_O_PATH\': \'/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8956020.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin\', \'OPAL_OUTPUT_STDERR_FD\': \'20\', \'SGE_ACCOUNT\': \'sge\', \'SGE_EXECD_PORT\': \'6445\', \'ROSETTADIR\': \'/netapp/home/thompson/Rosetta/rosetta_2014.35\', \'OMPI_MCA_orte_cpu_type\': \'GenuineIntel\', \'QRSH_COMMAND\': \' orted\\xff-mca\\xffess\\xffenv\\xff-mca\\xfforte_ess_jobid\\xff2824011776\\xff-mca\\xfforte_ess_vpid\\xff4\\xff-mca\\xfforte_ess_num_procs\\xff6\\xff--hnp-uri\\xff"2824011776.0;tcp://172.19.12.197:38247"\\xff-mca\\xffplm\\xffrsh\', \'MPI_HOME\': \'/netopt/mpi/openmpi-1.6.5-nodlopen\', \'KRB5CCNAME\': \'FILE:/tmp/krb5cc_60484_vdPK8p\', \'SGE_O_LOGNAME\': \'saxen\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'SGE_ARCH\': \'linux-x64\', \'SGE_TASK_LAST\': \'undefined\', \'LOADEDMODULES\': \'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64\', \'SGE_RSH_COMMAND\': \'builtin\', \'HISTCONTROL\': \'ignoredups\', \'PWD\': \'/netapp/home/saxen/bmi206_final_project/nup84_replicate2/scripts\', \'ARC\': \'linux-x64\', \'MPI_MAN\': \'/netopt/mpi/openmpi-1.6.5-nodlopen/share/man\'}'} 
{0: '0', 1: '1.73286211491', 2: 522.98129523390048, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.44269990921', 2: 497.66900754796131, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '1.2011244297', 2: 474.6434855264738, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '1.0', 2: 446.96790254021113, 3: '0.0', 4: '0.0'} 
{0: '0.75', 1: '1.0', 2: 433.40615990219936, 3: '0.0', 4: '0.25'} 
{0: '0.6', 1: '1.0', 2: 418.23522606034783, 3: '0.0', 4: '0.4'} 
{0: '0.5', 1: '1.0', 2: 408.54254150749125, 3: '0.0', 4: '0.5'} 
{0: '0.428571428571', 1: '1.0', 2: 399.88928418703318, 3: '0.0', 4: '0.571428571429'} 
{0: '0.375', 1: '1.0', 2: 388.12158885480386, 3: '0.0', 4: '0.625'} 
{0: '0.333333333333', 1: '1.0', 2: 393.59654650338916, 3: '0.0', 4: '0.666666666667'} 
{0: '0.3', 1: '1.0', 2: 398.96165493650284, 3: '0.0', 4: '0.7'} 
{0: '0.272727272727', 1: '1.0', 2: 389.4874996564659, 3: '0.0', 4: '0.727272727273'} 
{0: '0.25', 1: '1.0', 2: 382.50787399328374, 3: '0.0', 4: '0.75'} 
{0: '0.230769230769', 1: '1.0', 2: 385.25856104750358, 3: '0.0', 4: '0.769230769231'} 
{0: '0.214285714286', 1: '1.0', 2: 378.97960518964055, 3: '0.0', 4: '0.785714285714'} 
{0: '0.2', 1: '1.0', 2: 381.6790449754447, 3: '0.0', 4: '0.8'} 
{0: '0.1875', 1: '1.0', 2: 379.64990508509374, 3: '0.0', 4: '0.8125'} 
{0: '0.176470588235', 1: '1.0', 2: 386.46132156473504, 3: '0.0', 4: '0.823529411765'} 
{0: '0.166666666667', 1: '1.0', 2: 385.42322813666885, 3: '0.0', 4: '0.833333333333'} 
{0: '0.157894736842', 1: '1.0', 2: 388.09314312971054, 3: '0.0', 4: '0.842105263158'} 
{0: '0.15', 1: '1.0', 2: 378.56763000879727, 3: '0.0', 4: '0.85'} 
{0: '0.142857142857', 1: '1.0', 2: 380.31572759022589, 3: '0.0', 4: '0.857142857143'} 
{0: '0.136363636364', 1: '1.0', 2: 374.27496325242504, 3: '0.0', 4: '0.863636363636'} 
{0: '0.130434782609', 1: '1.0', 2: 376.51555536179791, 3: '0.0', 4: '0.869565217391'} 
{0: '0.125', 1: '1.0', 2: 372.54246057191824, 3: '0.0', 4: '0.875'} 
{0: '0.12', 1: '1.0', 2: 377.80175715119896, 3: '0.0', 4: '0.88'} 
{0: '0.115384615385', 1: '1.0', 2: 383.30646562804594, 3: '0.0', 4: '0.884615384615'} 
{0: '0.111111111111', 1: '1.0', 2: 387.84497612896655, 3: '0.0', 4: '0.888888888889'} 
{0: '0.107142857143', 1: '1.0', 2: 378.30944082684067, 3: '0.0', 4: '0.892857142857'} 
{0: '0.103448275862', 1: '1.0', 2: 378.77705063817717, 3: '0.0', 4: '0.896551724138'} 
{0: '0.1', 1: '1.0', 2: 385.58289125163958, 3: '0.0', 4: '0.9'} 
{0: '0.0967741935484', 1: '1.0', 2: 394.65910685120514, 3: '0.0', 4: '0.903225806452'} 
{0: '0.09375', 1: '1.0', 2: 388.90802436669884, 3: '0.0', 4: '0.90625'} 
{0: '0.0909090909091', 1: '1.0', 2: 390.35907968673143, 3: '0.0', 4: '0.909090909091'} 
{0: '0.0882352941176', 1: '1.0', 2: 381.71845881342898, 3: '0.0', 4: '0.911764705882'} 
{0: '0.114285714286', 1: '1.2011244297', 2: 391.69139404449675, 3: '0.0', 4: '0.914285714286'} 
{0: '0.111111111111', 1: '1.2011244297', 2: 397.83208261316895, 3: '0.0', 4: '0.888888888889'} 
{0: '0.108108108108', 1: '1.2011244297', 2: 396.23746505386771, 3: '0.0', 4: '0.864864864865'} 
{0: '0.105263157895', 1: '1.2011244297', 2: 395.29129990374412, 3: '0.0', 4: '0.842105263158'} 
{0: '0.102564102564', 1: '1.2011244297', 2: 380.47469280224567, 3: '0.0', 4: '0.820512820513'} 
{0: '0.1', 1: '1.2011244297', 2: 380.30513732181657, 3: '0.0', 4: '0.8'} 
{0: '0.0975609756098', 1: '1.2011244297', 2: 379.88792836720575, 3: '0.0', 4: '0.780487804878'} 
{0: '0.0952380952381', 1: '1.2011244297', 2: 381.24903041826133, 3: '0.0', 4: '0.761904761905'} 
{0: '0.116279069767', 1: '1.0', 2: 367.18147110437553, 3: '0.0', 4: '0.744186046512'} 
{0: '0.113636363636', 1: '1.0', 2: 361.98484835272927, 3: '0.0', 4: '0.75'} 
{0: '0.111111111111', 1: '1.0', 2: 361.89429883044352, 3: '0.0', 4: '0.755555555556'} 
{0: '0.108695652174', 1: '1.0', 2: 343.98976343415455, 3: '0.0', 4: '0.760869565217'} 
{0: '0.106382978723', 1: '1.0', 2: 347.44136984402411, 3: '0.0', 4: '0.765957446809'} 
{0: '0.104166666667', 1: '1.0', 2: 351.49771787400954, 3: '0.0', 4: '0.770833333333'} 
{0: '0.102040816327', 1: '1.0', 2: 350.5311746536201, 3: '0.0', 4: '0.775510204082'} 
{0: '0.1', 1: '1.0', 2: 350.87600543921309, 3: '0.0', 4: '0.78'} 
{0: '0.0980392156863', 1: '1.0', 2: 348.97483213465154, 3: '0.0', 4: '0.78431372549'} 
{0: '0.0961538461538', 1: '1.0', 2: 354.08541627584145, 3: '0.0', 4: '0.788461538462'} 
{0: '0.0943396226415', 1: '1.0', 2: 341.95592317818443, 3: '0.0', 4: '0.792452830189'} 
{0: '0.0925925925926', 1: '1.0', 2: 343.08419001266265, 3: '0.0', 4: '0.796296296296'} 
{0: '0.0909090909091', 1: '1.0', 2: 349.21346302610948, 3: '0.0', 4: '0.8'} 
{0: '0.0892857142857', 1: '1.0', 2: 353.07670332997401, 3: '0.0', 4: '0.803571428571'} 
{0: '0.105263157895', 1: '1.2011244297', 2: 353.53878374140953, 3: '0.0', 4: '0.80701754386'} 
{0: '0.103448275862', 1: '1.2011244297', 2: 350.89150358648067, 3: '0.0', 4: '0.793103448276'} 
{0: '0.101694915254', 1: '1.2011244297', 2: 358.2658664477205, 3: '0.0', 4: '0.779661016949'} 
{0: '0.1', 1: '1.2011244297', 2: 347.62537605268949, 3: '0.0', 4: '0.766666666667'} 
{0: '0.0983606557377', 1: '1.2011244297', 2: 347.62670340718205, 3: '0.0', 4: '0.754098360656'} 
{0: '0.0967741935484', 1: '1.2011244297', 2: 353.22641127653822, 3: '0.0', 4: '0.741935483871'} 
{0: '0.0952380952381', 1: '1.2011244297', 2: 353.34044766504888, 3: '0.0', 4: '0.730158730159'} 
{0: '0.09375', 1: '1.2011244297', 2: 353.60351908398059, 3: '0.0', 4: '0.71875'} 
{0: '0.0923076923077', 1: '1.2011244297', 2: 353.74029440310153, 3: '0.0', 4: '0.707692307692'} 
{0: '0.0909090909091', 1: '1.2011244297', 2: 368.96392943205655, 3: '0.0', 4: '0.69696969697'} 
{0: '0.089552238806', 1: '1.2011244297', 2: 354.3866223579513, 3: '0.0', 4: '0.686567164179'} 
{0: '0.0882352941176', 1: '1.2011244297', 2: 354.67327493212974, 3: '0.0', 4: '0.676470588235'} 
{0: '0.0869565217391', 1: '1.2011244297', 2: 342.57524598499685, 3: '0.0', 4: '0.666666666667'} 
{0: '0.0857142857143', 1: '1.2011244297', 2: 343.39399080122001, 3: '0.0', 4: '0.657142857143'} 
{0: '0.0845070422535', 1: '1.2011244297', 2: 332.74926393780595, 3: '0.0', 4: '0.647887323944'} 
{0: '0.0833333333333', 1: '1.2011244297', 2: 341.47951170908391, 3: '0.0', 4: '0.638888888889'} 
{0: '0.0821917808219', 1: '1.2011244297', 2: 345.96797276304801, 3: '0.0', 4: '0.630136986301'} 
{0: '0.0810810810811', 1: '1.2011244297', 2: 346.59883058674961, 3: '0.0', 4: '0.621621621622'} 
{0: '0.08', 1: '1.2011244297', 2: 338.99428979774103, 3: '0.0', 4: '0.613333333333'} 
{0: '0.0789473684211', 1: '1.2011244297', 2: 350.10321198007904, 3: '0.0', 4: '0.605263157895'} 
{0: '0.0779220779221', 1: '1.2011244297', 2: 347.31828269805544, 3: '0.0', 4: '0.597402597403'} 
{0: '0.0769230769231', 1: '1.2011244297', 2: 355.79869091272059, 3: '0.0', 4: '0.589743589744'} 
{0: '0.0759493670886', 1: '1.2011244297', 2: 359.03029554972875, 3: '0.0', 4: '0.582278481013'} 
{0: '0.075', 1: '1.2011244297', 2: 346.60482977481746, 3: '0.0', 4: '0.575'} 
{0: '0.0740740740741', 1: '1.2011244297', 2: 359.12041780593597, 3: '0.0', 4: '0.567901234568'} 
{0: '0.0853658536585', 1: '1.44269990921', 2: 359.38182629731597, 3: '0.0', 4: '0.560975609756'} 
{0: '0.0843373493976', 1: '1.44269990921', 2: 362.55531906503506, 3: '0.0', 4: '0.55421686747'} 
{0: '0.0833333333333', 1: '1.44269990921', 2: 368.4566803758787, 3: '0.0', 4: '0.547619047619'} 
{0: '0.0823529411765', 1: '1.44269990921', 2: 359.93174129513227, 3: '0.0', 4: '0.541176470588'} 
{0: '0.093023255814', 1: '1.2011244297', 2: 362.99174137273758, 3: '0.0', 4: '0.53488372093'} 
{0: '0.0919540229885', 1: '1.2011244297', 2: 360.23635659405642, 3: '0.0', 4: '0.528735632184'} 
{0: '0.102272727273', 1: '1.44269990921', 2: 353.96714911153379, 3: '0.0', 4: '0.522727272727'} 
{0: '0.101123595506', 1: '1.44269990921', 2: 362.02321064184991, 3: '0.0', 4: '0.516853932584'} 
{0: '0.111111111111', 1: '1.2011244297', 2: 356.68708743618328, 3: '0.0', 4: '0.511111111111'} 
{0: '0.10989010989', 1: '1.2011244297', 2: 364.69632675751075, 3: '0.0', 4: '0.505494505495'} 
{0: '0.108695652174', 1: '1.2011244297', 2: 351.1445248638704, 3: '0.0', 4: '0.5'} 
{0: '0.10752688172', 1: '1.2011244297', 2: 349.71452806664598, 3: '0.0', 4: '0.494623655914'} 
{0: '0.106382978723', 1: '1.2011244297', 2: 357.07628061599866, 3: '0.0', 4: '0.489361702128'} 
{0: '0.105263157895', 1: '1.2011244297', 2: 368.39743805666689, 3: '0.0', 4: '0.484210526316'} 
{0: '0.114583333333', 1: '1.44269990921', 2: 387.33038717294789, 3: '0.0', 4: '0.479166666667'} 
{0: '0.113402061856', 1: '1.44269990921', 2: 374.28641254473911, 3: '0.0', 4: '0.474226804124'} 
